UTC time,creation_time (UTC),version,coal,nat_gas,oil,hydro,solar,wind
2023-08-03 00:00:00,2023-08-13 18:54:59,3.0,1480.0,87.0,50.0,373.0,18.0,138.0
2023-08-03 01:00:00,2023-08-13 18:54:59,3.0,1480.0,87.0,54.0,376.0,21.0,130.0
2023-08-03 02:00:00,2023-08-13 18:54:59,3.0,1482.0,84.0,55.0,377.0,9.0,192.0
2023-08-03 03:00:00,2023-08-13 18:54:59,3.0,1484.0,39.0,56.0,372.0,0.0,255.0
2023-08-03 04:00:00,2023-08-13 18:54:59,3.0,1486.0,40.0,56.0,375.0,0.0,320.0
2023-08-03 05:00:00,2023-08-13 18:54:59,3.0,1491.0,38.0,58.0,373.0,0.0,369.0
2023-08-03 06:00:00,2023-08-13 18:54:59,3.0,1486.0,37.0,59.0,375.0,0.0,366.0
2023-08-03 07:00:00,2023-08-13 18:54:59,3.0,1484.0,36.0,59.0,377.0,0.0,237.0
2023-08-03 08:00:00,2023-08-13 18:54:59,3.0,1485.0,37.0,60.0,375.0,0.0,100.0
2023-08-03 09:00:00,2023-08-13 18:54:59,3.0,1485.0,36.0,60.0,379.0,0.0,59.0
2023-08-03 10:00:00,2023-08-13 18:54:59,3.0,1487.0,37.0,60.0,369.0,0.0,37.0
2023-08-03 11:00:00,2023-08-13 18:54:59,3.0,1489.0,35.0,59.0,378.0,0.0,22.0
2023-08-03 12:00:00,2023-08-13 18:54:59,3.0,1492.0,36.0,59.0,377.0,0.0,8.0
2023-08-03 13:00:00,2023-08-13 18:54:59,3.0,1494.0,37.0,59.0,375.0,1.0,10.0
2023-08-03 14:00:00,2023-08-13 18:54:59,3.0,1483.0,35.0,58.0,375.0,10.0,25.0
2023-08-03 15:00:00,2023-08-13 18:54:59,3.0,1484.0,22.0,58.0,374.0,22.0,29.0
2023-08-03 16:00:00,2023-08-13 18:54:59,3.0,1484.0,15.0,58.0,376.0,51.0,62.0
2023-08-03 17:00:00,2023-08-13 18:54:59,3.0,1481.0,16.0,57.0,375.0,58.0,65.0
2023-08-03 18:00:00,2023-08-13 18:54:59,3.0,1482.0,35.0,57.0,377.0,71.0,80.0
2023-08-03 19:00:00,2023-08-13 18:54:59,3.0,1484.0,36.0,55.0,376.0,68.0,73.0
2023-08-03 20:00:00,2023-08-13 18:54:59,3.0,1484.0,41.0,56.0,373.0,42.0,56.0
2023-08-03 21:00:00,2023-08-13 18:54:59,3.0,1487.0,81.0,57.0,383.0,32.0,153.0
2023-08-03 22:00:00,2023-08-13 18:54:59,3.0,1484.0,80.0,58.0,374.0,24.0,353.0
2023-08-03 23:00:00,2023-08-13 18:54:59,3.0,1486.0,81.0,59.0,377.0,26.0,384.0
