,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
0,2023-08-28 00:00:00,2023-08-30 02:35:36,3.0,492.9,767.0,76.0,50.0,357.0,27.0,164.0
1,2023-08-28 01:00:00,2023-08-30 02:35:36,3.0,495.93,770.0,86.0,51.0,354.0,11.0,175.0
2,2023-08-28 02:00:00,2023-08-30 02:35:36,3.0,502.38,770.0,119.0,52.0,357.0,3.0,160.0
3,2023-08-28 03:00:00,2023-08-30 02:35:36,3.0,505.35,769.0,84.0,50.0,362.0,0.0,149.0
4,2023-08-28 04:00:00,2023-08-30 02:35:36,3.0,482.46,773.0,77.0,52.0,358.0,0.0,225.0
5,2023-08-28 05:00:00,2023-08-30 02:35:36,3.0,472.95,776.0,70.0,53.0,359.0,0.0,257.0
6,2023-08-28 06:00:00,2023-08-30 02:35:36,3.0,479.88,775.0,70.0,56.0,360.0,0.0,234.0
7,2023-08-28 07:00:00,2023-08-30 02:35:36,3.0,516.87,774.0,54.0,57.0,353.0,0.0,132.0
8,2023-08-28 08:00:00,2023-08-30 02:35:36,3.0,544.99,774.0,36.0,58.0,357.0,0.0,58.0
9,2023-08-28 09:00:00,2023-08-30 02:35:36,3.0,551.67,773.0,16.0,58.0,359.0,0.0,42.0
10,2023-08-28 10:00:00,2023-08-30 02:35:36,3.0,564.16,775.0,28.0,58.0,354.0,0.0,18.0
11,2023-08-28 11:00:00,2023-08-30 02:35:36,3.0,567.52,774.0,52.0,59.0,358.0,0.0,3.0
12,2023-08-28 12:00:00,2023-08-30 02:35:36,3.0,564.05,773.0,75.0,57.0,359.0,0.0,6.0
13,2023-08-28 13:00:00,2023-08-30 02:35:36,3.0,564.16,775.0,73.0,58.0,355.0,0.0,11.0
14,2023-08-28 14:00:00,2023-08-30 02:35:36,3.0,548.63,775.0,75.0,58.0,356.0,23.0,25.0
15,2023-08-28 15:00:00,2023-08-30 02:35:36,3.0,531.95,776.0,62.0,59.0,360.0,70.0,21.0
16,2023-08-28 16:00:00,2023-08-30 02:35:36,3.0,529.54,773.0,56.0,58.0,363.0,87.0,7.0
17,2023-08-28 17:00:00,2023-08-30 02:35:36,3.0,532.46,773.0,70.0,56.0,357.0,91.0,0.0
18,2023-08-28 18:00:00,2023-08-30 02:35:36,3.0,531.78,774.0,74.0,56.0,360.0,90.0,0.0
19,2023-08-28 19:00:00,2023-08-30 02:35:36,3.0,531.71,774.0,75.0,52.0,360.0,87.0,2.0
20,2023-08-28 20:00:00,2023-08-30 02:35:36,3.0,524.05,770.0,75.0,48.0,363.0,88.0,15.0
21,2023-08-28 21:00:00,2023-08-30 02:35:36,3.0,496.53,772.0,75.0,47.0,361.0,88.0,95.0
22,2023-08-28 22:00:00,2023-08-30 02:35:36,3.0,474.55,771.0,78.0,46.0,360.0,86.0,165.0
23,2023-08-28 23:00:00,2023-08-30 02:35:36,3.0,498.91,770.0,79.0,46.0,361.0,84.0,90.0
