UTC time,creation_time (UTC),version,coal,nat_gas,oil,hydro,solar,wind
2023-08-31 00:00:00,2023-09-03 15:38:40,3.0,767.0,29.0,53.0,362.0,32.0,437.0
2023-08-31 01:00:00,2023-09-03 15:38:40,3.0,768.0,20.0,55.0,367.0,45.0,565.0
2023-08-31 02:00:00,2023-09-03 15:38:40,3.0,770.0,26.0,56.0,362.0,4.0,696.0
2023-08-31 03:00:00,2023-09-03 15:38:40,3.0,773.0,20.0,56.0,362.0,0.0,605.0
2023-08-31 04:00:00,2023-09-03 15:38:40,3.0,768.0,21.0,56.0,364.0,0.0,419.0
2023-08-31 05:00:00,2023-09-03 15:38:40,3.0,768.0,19.0,58.0,360.0,0.0,353.0
2023-08-31 06:00:00,2023-09-03 15:38:40,3.0,768.0,33.0,59.0,363.0,0.0,421.0
2023-08-31 07:00:00,2023-09-03 15:38:40,3.0,770.0,28.0,59.0,366.0,0.0,564.0
2023-08-31 08:00:00,2023-09-03 15:38:40,3.0,771.0,18.0,59.0,360.0,0.0,557.0
2023-08-31 09:00:00,2023-09-03 15:38:40,3.0,770.0,18.0,59.0,364.0,0.0,619.0
2023-08-31 10:00:00,2023-09-03 15:38:40,3.0,772.0,23.0,59.0,361.0,0.0,679.0
2023-08-31 11:00:00,2023-09-03 15:38:40,3.0,775.0,18.0,58.0,360.0,0.0,573.0
2023-08-31 12:00:00,2023-09-03 15:38:40,3.0,772.0,25.0,58.0,363.0,0.0,588.0
2023-08-31 13:00:00,2023-09-03 15:38:40,3.0,774.0,40.0,57.0,364.0,1.0,660.0
2023-08-31 14:00:00,2023-09-03 15:38:40,3.0,771.0,40.0,57.0,358.0,14.0,734.0
2023-08-31 15:00:00,2023-09-03 15:38:40,3.0,773.0,25.0,57.0,365.0,53.0,729.0
2023-08-31 16:00:00,2023-09-03 15:38:40,3.0,769.0,18.0,55.0,362.0,86.0,740.0
2023-08-31 17:00:00,2023-09-03 15:38:40,3.0,770.0,19.0,56.0,363.0,81.0,746.0
2023-08-31 18:00:00,2023-09-03 15:38:40,3.0,768.0,18.0,54.0,362.0,82.0,714.0
2023-08-31 19:00:00,2023-09-03 15:38:40,3.0,769.0,25.0,52.0,367.0,91.0,685.0
2023-08-31 20:00:00,2023-09-03 15:38:40,3.0,771.0,38.0,52.0,359.0,88.0,639.0
2023-08-31 21:00:00,2023-09-03 15:38:40,3.0,769.0,42.0,51.0,361.0,89.0,619.0
2023-08-31 22:00:00,2023-09-03 15:38:40,3.0,773.0,42.0,51.0,356.0,86.0,586.0
2023-08-31 23:00:00,2023-09-03 15:38:40,3.0,772.0,40.0,51.0,362.0,89.0,539.0
