,Solar,Wind Onshore
2019-01-01 02:00:00+02:00,0.0,1360.0
2019-01-01 03:00:00+02:00,0.0,1390.0
2019-01-01 04:00:00+02:00,0.0,1400.0
2019-01-01 05:00:00+02:00,0.0,1420.0
2019-01-01 06:00:00+02:00,0.0,1430.0
2019-01-01 07:00:00+02:00,4.0,1440.0
2019-01-01 08:00:00+02:00,53.0,1450.0
2019-01-01 09:00:00+02:00,160.0,1440.0
2019-01-01 10:00:00+02:00,292.0,1430.0
2019-01-01 11:00:00+02:00,427.0,1410.0
2019-01-01 12:00:00+02:00,499.0,1410.0
2019-01-01 13:00:00+02:00,490.0,1400.0
2019-01-01 14:00:00+02:00,431.0,1380.0
2019-01-01 15:00:00+02:00,280.0,1360.0
2019-01-01 16:00:00+02:00,102.0,1340.0
2019-01-01 17:00:00+02:00,13.0,1330.0
2019-01-01 18:00:00+02:00,0.0,1320.0
2019-01-01 19:00:00+02:00,0.0,1300.0
2019-01-01 20:00:00+02:00,0.0,1270.0
2019-01-01 21:00:00+02:00,0.0,1240.0
2019-01-01 22:00:00+02:00,0.0,1210.0
2019-01-01 23:00:00+02:00,0.0,1160.0
2019-01-02 00:00:00+02:00,0.0,1410.0
2019-01-02 01:00:00+02:00,0.0,1330.0
2019-01-02 02:00:00+02:00,0.0,1260.0
2019-01-02 03:00:00+02:00,0.0,1160.0
2019-01-02 04:00:00+02:00,0.0,1050.0
2019-01-02 05:00:00+02:00,0.0,960.0
2019-01-02 06:00:00+02:00,0.0,870.0
2019-01-02 07:00:00+02:00,24.0,760.0
2019-01-02 08:00:00+02:00,205.0,650.0
2019-01-02 09:00:00+02:00,569.0,560.0
2019-01-02 10:00:00+02:00,929.0,480.0
2019-01-02 11:00:00+02:00,1160.0,420.0
2019-01-02 12:00:00+02:00,1241.0,370.0
2019-01-02 13:00:00+02:00,1177.0,350.0
2019-01-02 14:00:00+02:00,943.0,350.0
2019-01-02 15:00:00+02:00,579.0,330.0
