UTC time,creation_time (UTC),version,coal,nat_gas,nuclear,hydro,solar,other
2023-09-05 00:00:00,2023-09-08 17:38:55,3.0,3386.0,5968.0,7132.0,2106.0,19.0,10.0
2023-09-05 01:00:00,2023-09-08 17:38:55,3.0,3244.0,5731.0,7127.0,1931.0,0.0,10.0
2023-09-05 02:00:00,2023-09-08 17:38:55,3.0,3007.0,4933.0,7136.0,1638.0,0.0,11.0
2023-09-05 03:00:00,2023-09-08 17:38:55,3.0,2845.0,3611.0,7137.0,1291.0,0.0,10.0
2023-09-05 04:00:00,2023-09-08 17:38:55,3.0,2531.0,2992.0,7140.0,476.0,0.0,11.0
2023-09-05 05:00:00,2023-09-08 17:38:55,3.0,2207.0,2863.0,7138.0,0.0,0.0,10.0
2023-09-05 06:00:00,2023-09-08 17:38:55,3.0,2133.0,2763.0,7136.0,0.0,0.0,10.0
2023-09-05 07:00:00,2023-09-08 17:38:55,3.0,2084.0,2653.0,7143.0,0.0,0.0,11.0
2023-09-05 08:00:00,2023-09-08 17:38:55,3.0,2061.0,2615.0,7140.0,0.0,0.0,10.0
2023-09-05 09:00:00,2023-09-08 17:38:55,3.0,2013.0,2637.0,7151.0,0.0,0.0,10.0
2023-09-05 10:00:00,2023-09-08 17:38:55,3.0,2048.0,2655.0,7147.0,0.0,0.0,11.0
2023-09-05 11:00:00,2023-09-08 17:38:55,3.0,2320.0,2789.0,7148.0,0.0,0.0,10.0
2023-09-05 12:00:00,2023-09-08 17:38:55,3.0,2728.0,2833.0,7148.0,0.0,35.0,9.0
2023-09-05 13:00:00,2023-09-08 17:38:55,3.0,2724.0,2796.0,7144.0,0.0,289.0,11.0
2023-09-05 14:00:00,2023-09-08 17:38:55,3.0,2756.0,2935.0,7134.0,0.0,563.0,14.0
2023-09-05 15:00:00,2023-09-08 17:38:55,3.0,2970.0,3197.0,7134.0,0.0,735.0,15.0
2023-09-05 16:00:00,2023-09-08 17:38:55,3.0,3181.0,3706.0,7134.0,262.0,854.0,14.0
2023-09-05 17:00:00,2023-09-08 17:38:55,3.0,3434.0,4727.0,7128.0,440.0,902.0,15.0
2023-09-05 18:00:00,2023-09-08 17:38:55,3.0,3745.0,5180.0,7125.0,785.0,867.0,14.0
2023-09-05 19:00:00,2023-09-08 17:38:55,3.0,3794.0,5794.0,7124.0,1240.0,900.0,15.0
2023-09-05 20:00:00,2023-09-08 17:38:55,3.0,3963.0,5968.0,7122.0,1536.0,813.0,14.0
2023-09-05 21:00:00,2023-09-08 17:38:55,3.0,4064.0,6084.0,7115.0,1745.0,711.0,12.0
2023-09-05 22:00:00,2023-09-08 17:38:55,3.0,4107.0,6198.0,7122.0,2213.0,485.0,12.0
2023-09-05 23:00:00,2023-09-08 17:38:55,3.0,4100.0,6741.0,7120.0,2432.0,168.0,13.0
