datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-06-27 00:00:00,3.2898909757350827,295.1053928667009,291.97596388177385,5.487813798544407,1.895319135868478,4335.78594,5197.54596,6371.02874,2528.92848,11036.2603,363.67905
2023-06-27 01:00:00,3.2898909757350827,295.1053928667009,291.97596388177385,5.487813798544407,1.895319135868478,4218.78259,4935.0184,6375.96591,2256.89278,6677.43967,220.04237
2023-06-27 02:00:00,3.2898909757350827,295.1053928667009,291.97596388177385,5.487813798544407,1.895319135868478,4088.15099,4574.65942,6379.87997,1882.62814,1746.83,57.56347
2023-06-27 03:00:00,3.2898909757350827,295.1053928667009,291.97596388177385,5.487813798544407,1.895319135868478,3897.94578,4228.88805,6384.08326,1289.31111,6.09,0.20068
2023-06-27 04:00:00,2.9315284382396563,293.6715608279789,291.5459499037778,5.487813798544407,1.895319135868478,3779.88952,3766.23529,6386.80221,621.41685,0.0,0.0
2023-06-27 05:00:00,2.9315284382396563,293.6715608279789,291.5459499037778,5.487813798544407,1.895319135868478,3518.62851,3293.95173,6388.97377,209.39796,0.0,0.0
2023-06-27 06:00:00,2.9315284382396563,293.6715608279789,291.5459499037778,5.487813798544407,1.895319135868478,3259.7631,2820.98246,6391.44235,0.0,0.0,0.0
2023-06-27 07:00:00,2.665499070120384,292.5889712614862,290.7359448816469,2.743827686278734,2.654435776759408,3034.78094,2665.84432,6396.3292,0.0,0.0,0.0
2023-06-27 08:00:00,2.665499070120384,292.5889712614862,290.7359448816469,2.743827686278734,2.654435776759408,2776.71926,2475.93921,6404.2438,0.0,0.0,0.0
2023-06-27 09:00:00,2.665499070120384,292.5889712614862,290.7359448816469,2.743827686278734,2.654435776759408,2577.72941,2383.37426,6410.90628,0.0,0.0,0.0
2023-06-27 10:00:00,2.712688213594842,294.3362350399438,291.281648608011,0.0,3.027284162642231,2478.77028,2427.24934,6416.07104,0.0,0.0,0.0
2023-06-27 11:00:00,2.712688213594842,294.3362350399438,291.281648608011,0.0,3.027284162642231,2517.13988,2436.85073,6420.05932,0.0,0.0,0.0
2023-06-27 12:00:00,2.712688213594842,294.3362350399438,291.281648608011,0.0,3.027284162642231,2608.92311,2560.40483,6427.29833,0.0,45.7,1.50596
2023-06-27 13:00:00,4.172455476245194,299.973576460395,289.33165010857937,31.252154440420668,3.124405410039193,2730.13227,2624.50446,6431.80835,0.0,2600.85006,85.70609
2023-06-27 14:00:00,4.172455476245194,299.973576460395,289.33165010857937,31.252154440420668,3.124405410039193,2995.71061,2765.34863,6438.65653,0.0,8045.61022,265.12784
