,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
0,2023-08-04 00:00:00,265.02,3347.0,3011.0,7222.0,223.0,12.0,11.0
1,2023-08-04 01:00:00,255.28,3206.0,2715.0,7221.0,353.0,0.0,12.0
2,2023-08-04 02:00:00,247.3,3044.0,2674.0,7223.0,428.0,0.0,10.0
3,2023-08-04 03:00:00,243.41,2809.0,2647.0,7228.0,125.0,0.0,11.0
4,2023-08-04 04:00:00,223.05,2354.0,2531.0,7234.0,116.0,0.0,10.0
5,2023-08-04 05:00:00,219.24,2230.0,2488.0,7226.0,0.0,0.0,9.0
6,2023-08-04 06:00:00,216.45,2220.0,2308.0,7229.0,0.0,0.0,10.0
7,2023-08-04 07:00:00,216.86,2235.0,2292.0,7233.0,0.0,0.0,10.0
8,2023-08-04 08:00:00,216.18,2219.0,2290.0,7228.0,0.0,0.0,10.0
9,2023-08-04 09:00:00,216.03,2214.0,2299.0,7230.0,0.0,0.0,10.0
10,2023-08-04 10:00:00,217.76,2250.0,2304.0,7230.0,0.0,0.0,10.0
11,2023-08-04 11:00:00,223.85,2376.0,2336.0,7230.0,0.0,0.0,9.0
12,2023-08-04 12:00:00,227.34,2409.0,2533.0,7226.0,0.0,23.0,10.0
13,2023-08-04 13:00:00,227.64,2451.0,2596.0,7230.0,44.0,98.0,11.0
14,2023-08-04 14:00:00,226.93,2522.0,2641.0,7225.0,159.0,224.0,12.0
15,2023-08-04 15:00:00,235.33,2736.0,2809.0,7224.0,170.0,331.0,12.0
16,2023-08-04 16:00:00,240.49,2930.0,2831.0,7219.0,172.0,481.0,13.0
17,2023-08-04 17:00:00,247.56,3178.0,2815.0,7217.0,154.0,618.0,14.0
18,2023-08-04 18:00:00,259.0,3527.0,2727.0,7212.0,165.0,630.0,13.0
19,2023-08-04 19:00:00,267.98,3837.0,2848.0,7208.0,279.0,658.0,14.0
20,2023-08-04 20:00:00,271.77,3946.0,3072.0,7204.0,364.0,646.0,13.0
21,2023-08-04 21:00:00,267.91,4029.0,3164.0,7206.0,884.0,532.0,14.0
22,2023-08-04 22:00:00,257.49,4030.0,3101.0,7206.0,1577.0,453.0,13.0
23,2023-08-04 23:00:00,255.17,4055.0,3034.0,7211.0,1897.0,296.0,13.0
