UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,avg_solar_production_forecast,avg_wind_production_forecast
2019-01-01 00:00:00,0.0,2526.0,55113.0,215.0,4084.0,0.0,1637.0,604.0,0.0,1680.0
2019-01-01 01:00:00,0.0,2425.0,54780.0,214.0,3665.0,0.0,1567.0,605.0,0.0,1675.0
2019-01-01 02:00:00,0.0,2435.0,53162.0,215.0,3231.0,0.0,1556.0,605.0,0.0,1670.0
2019-01-01 03:00:00,0.0,2440.0,50137.0,215.0,3106.0,0.0,1595.0,608.0,0.0,1664.0
2019-01-01 04:00:00,0.0,2434.0,48465.0,215.0,3000.0,0.0,1719.0,607.0,0.0,1687.0
2019-01-01 05:00:00,0.0,2436.0,48269.0,215.0,3015.0,0.0,1794.0,605.0,0.0,1711.0
2019-01-01 06:00:00,0.0,2771.0,47783.0,213.0,3196.0,0.0,1780.0,604.0,0.0,1736.0
2019-01-01 07:00:00,0.0,2820.0,48379.0,214.0,3487.0,132.0,1730.0,603.0,0.0,1840.0
2019-01-01 08:00:00,0.0,2825.0,49885.0,215.0,3910.0,503.0,1670.0,605.0,151.0,1943.0
2019-01-01 09:00:00,0.0,2825.0,50895.0,215.0,4035.0,1067.0,1589.0,604.0,924.0,2047.0
2019-01-01 10:00:00,0.0,2843.0,51689.0,216.0,4361.0,1456.0,1602.0,602.0,1804.0,2167.0
2019-01-01 11:00:00,0.0,2830.0,52526.0,216.0,4802.0,1628.0,1725.0,604.0,2398.0,2288.0
2019-01-01 12:00:00,0.0,2807.0,52413.0,215.0,4058.0,1747.0,1971.0,602.0,2602.0,2408.0
2019-01-01 13:00:00,0.0,2824.0,52719.0,216.0,3952.0,1474.0,2096.0,603.0,2350.0,2543.0
2019-01-01 14:00:00,0.0,2838.0,52859.0,215.0,3499.0,904.0,2108.0,603.0,1671.0,2679.0
2019-01-01 15:00:00,0.0,2821.0,53311.0,215.0,3622.0,324.0,2104.0,604.0,658.0,2814.0
2019-01-01 16:00:00,0.0,2750.0,54453.0,215.0,4156.0,107.0,2185.0,603.0,38.0,2953.0
2019-01-01 17:00:00,0.0,3101.0,55312.0,215.0,5538.0,0.0,2444.0,605.0,0.0,3093.0
2019-01-01 18:00:00,0.0,3209.0,55600.0,215.0,5748.0,0.0,2596.0,602.0,0.0,3232.0
2019-01-01 19:00:00,0.0,3111.0,55649.0,215.0,5400.0,0.0,2772.0,601.0,0.0,3332.0
2019-01-01 20:00:00,0.0,2898.0,55435.0,215.0,4977.0,0.0,3018.0,598.0,0.0,3432.0
2019-01-01 21:00:00,0.0,3164.0,55303.0,216.0,4757.0,0.0,3014.0,601.0,0.0,3532.0
2019-01-01 22:00:00,0.0,3167.0,55107.0,215.0,4047.0,0.0,3011.0,602.0,0.0,3707.0
2019-01-01 23:00:00,0.0,3177.0,54788.0,217.0,3521.0,0.0,3356.0,604.0,0.0,3323.0
2019-01-02 00:00:00,0.0,2886.0,54287.0,218.0,3126.0,0.0,3417.0,605.0,0.0,3570.0
2019-01-02 01:00:00,0.0,2887.0,53570.0,218.0,3066.0,0.0,3359.0,604.0,0.0,3724.0
2019-01-02 02:00:00,0.0,2843.0,51857.0,218.0,3049.0,0.0,3281.0,602.0,0.0,3878.0
2019-01-02 03:00:00,0.0,2903.0,51689.0,218.0,2900.0,0.0,3147.0,599.0,0.0,4031.0
2019-01-02 04:00:00,0.0,3205.0,53302.0,218.0,3043.0,0.0,3146.0,599.0,0.0,4063.0
2019-01-02 05:00:00,0.0,4068.0,54784.0,218.0,3689.0,0.0,3072.0,599.0,0.0,4095.0
2019-01-02 06:00:00,0.0,5430.0,55513.0,217.0,4251.0,0.0,3138.0,598.0,0.0,4126.0
2019-01-02 07:00:00,0.0,6582.0,55883.0,218.0,4711.0,141.0,3179.0,597.0,0.0,4186.0
2019-01-02 08:00:00,0.0,7188.0,56021.0,218.0,5621.0,582.0,3069.0,597.0,157.0,4246.0
2019-01-02 09:00:00,0.0,7447.0,56033.0,218.0,5982.0,1432.0,2922.0,597.0,963.0,4307.0
2019-01-02 10:00:00,0.0,7424.0,56058.0,218.0,5660.0,2304.0,2772.0,596.0,1905.0,4280.0
2019-01-02 11:00:00,0.0,7380.0,56039.0,218.0,5476.0,2788.0,2979.0,598.0,2536.0,4253.0
2019-01-02 12:00:00,0.0,7441.0,55962.0,218.0,5041.0,2746.0,3161.0,601.0,2673.0,4225.0
2019-01-02 13:00:00,0.0,7544.0,55971.0,218.0,4887.0,2325.0,3383.0,605.0,2384.0,4113.0
2019-01-02 14:00:00,0.0,7483.0,55893.0,218.0,4784.0,1504.0,3427.0,609.0,1684.0,4000.0
2019-01-02 15:00:00,0.0,7472.0,55834.0,218.0,5422.0,552.0,3380.0,609.0,684.0,3889.0
2019-01-02 16:00:00,0.0,7481.0,55816.0,218.0,6636.0,119.0,3147.0,609.0,43.0,3871.0
2019-01-02 17:00:00,0.0,7550.0,55971.0,218.0,7257.0,0.0,3263.0,608.0,0.0,3853.0
2019-01-02 18:00:00,0.0,7614.0,56006.0,218.0,7159.0,0.0,3353.0,608.0,0.0,3834.0
2019-01-02 19:00:00,0.0,7501.0,55966.0,217.0,6618.0,0.0,3252.0,603.0,0.0,3814.0
2019-01-02 20:00:00,0.0,7395.0,55980.0,218.0,6092.0,0.0,3198.0,608.0,0.0,3796.0
2019-01-02 21:00:00,0.0,7071.0,55787.0,218.0,5393.0,0.0,3073.0,608.0,0.0,3776.0
2019-01-02 22:00:00,0.0,7236.0,55826.0,217.0,5090.0,0.0,3077.0,611.0,0.0,3619.0
2019-01-02 23:00:00,0.0,6673.0,55663.0,218.0,4505.0,0.0,3043.0,611.0,0.0,3330.0
2019-01-03 00:00:00,0.0,6016.0,55467.0,217.0,3941.0,0.0,2952.0,610.0,0.0,3160.0
2019-01-03 01:00:00,0.0,5986.0,55489.0,218.0,3388.0,0.0,2875.0,610.0,0.0,3022.0
2019-01-03 02:00:00,0.0,5672.0,55561.0,218.0,3160.0,0.0,2803.0,611.0,0.0,2882.0
2019-01-03 03:00:00,0.0,5584.0,55473.0,218.0,3077.0,0.0,2763.0,610.0,0.0,2743.0
2019-01-03 04:00:00,0.0,5815.0,55755.0,217.0,3279.0,0.0,2650.0,606.0,0.0,2576.0
2019-01-03 05:00:00,0.0,7172.0,55737.0,217.0,4136.0,0.0,2541.0,604.0,0.0,2409.0
2019-01-03 06:00:00,0.0,7242.0,55863.0,217.0,5420.0,0.0,2513.0,606.0,0.0,2243.0
2019-01-03 07:00:00,0.0,7307.0,56015.0,217.0,6097.0,146.0,2511.0,609.0,0.0,2165.0
2019-01-03 08:00:00,0.0,7293.0,56174.0,217.0,6720.0,796.0,2381.0,612.0,171.0,2089.0
2019-01-03 09:00:00,0.0,7262.0,56186.0,217.0,6849.0,2087.0,2043.0,607.0,1039.0,2012.0
2019-01-03 10:00:00,0.0,7268.0,56172.0,217.0,6370.0,3141.0,1739.0,605.0,2054.0,2044.0
2019-01-03 11:00:00,0.0,7228.0,56135.0,217.0,6048.0,3655.0,1756.0,606.0,2758.0,2075.0
2019-01-03 12:00:00,0.0,7164.0,56120.0,218.0,5658.0,3641.0,2077.0,608.0,2969.0,2105.0
2019-01-03 13:00:00,0.0,7147.0,56087.0,218.0,5664.0,3088.0,2444.0,609.0,2657.0,2202.0
2019-01-03 14:00:00,0.0,7324.0,56066.0,218.0,5697.0,1959.0,2536.0,607.0,1870.0,2300.0
2019-01-03 15:00:00,0.0,7293.0,56040.0,217.0,6064.0,674.0,2554.0,609.0,757.0,2396.0
2019-01-03 16:00:00,0.0,7245.0,55882.0,217.0,7114.0,120.0,2661.0,609.0,48.0,2428.0
2019-01-03 17:00:00,0.0,7191.0,55949.0,217.0,7856.0,0.0,2872.0,609.0,0.0,2460.0
2019-01-03 18:00:00,0.0,7233.0,56045.0,217.0,8389.0,0.0,2935.0,610.0,0.0,2492.0
2019-01-03 19:00:00,0.0,7199.0,56044.0,217.0,7216.0,0.0,2966.0,610.0,0.0,2525.0
2019-01-03 20:00:00,0.0,7259.0,55999.0,217.0,6146.0,0.0,2958.0,611.0,0.0,2558.0
2019-01-03 21:00:00,0.0,7273.0,55985.0,217.0,5317.0,0.0,2961.0,611.0,0.0,2590.0
2019-01-03 22:00:00,0.0,7150.0,55821.0,217.0,5351.0,0.0,2890.0,612.0,0.0,2514.0
2019-01-03 23:00:00,0.0,7263.0,55871.0,216.0,5149.0,0.0,2827.0,612.0,0.0,2438.0
2019-01-04 00:00:00,0.0,7247.0,55836.0,217.0,4325.0,0.0,2839.0,611.0,0.0,2361.0
2019-01-04 01:00:00,0.0,7187.0,55822.0,217.0,4043.0,0.0,2835.0,610.0,0.0,2285.0
2019-01-04 02:00:00,0.0,6878.0,55503.0,217.0,3494.0,0.0,2868.0,610.0,0.0,2210.0
2019-01-04 03:00:00,0.0,6362.0,55337.0,216.0,3384.0,0.0,2834.0,608.0,0.0,2134.0
2019-01-04 04:00:00,0.0,7177.0,55717.0,216.0,3469.0,0.0,2877.0,601.0,0.0,2145.0
2019-01-04 05:00:00,0.0,7303.0,55806.0,216.0,4725.0,0.0,2935.0,598.0,0.0,2157.0
