datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_other_production_forecast
2023-08-15 00:00:00,2023-08-21 20:44:56,3.0,4.473657965619141,301.0126185532501,296.91838682709886,0.1951763380101346,0.4292672366436697,707.4527,2312.49405,986.41331,256.317,8490.20979,742.2145
2023-08-15 01:00:00,2023-08-21 20:44:56,3.0,4.473657965619141,301.0126185532501,296.91838682709886,0.1951763380101346,0.4292672366436697,694.00537,2301.2476,985.90184,264.08078,3869.55996,338.2771
2023-08-15 02:00:00,2023-08-21 20:44:56,3.0,4.473657965619141,301.0126185532501,296.91838682709886,0.1951763380101346,0.4292672366436697,706.68855,2210.77252,983.22948,236.26589,504.79997,44.12964
2023-08-15 03:00:00,2023-08-21 20:44:56,3.0,4.473657965619141,301.0126185532501,296.91838682709886,0.1951763380101346,0.4292672366436697,704.41458,2123.42047,980.80447,218.81233,0.0,0.0
2023-08-15 04:00:00,2023-08-21 20:44:56,3.0,3.998569921159086,300.0173905221659,296.75614605958,0.1951763380101346,0.4292672366436697,688.73979,2029.41977,981.78225,177.53126,0.0,0.0
2023-08-15 05:00:00,2023-08-21 20:44:56,3.0,3.998569921159086,300.0173905221659,296.75614605958,0.1951763380101346,0.4292672366436697,668.08612,1994.86818,983.56539,122.53701,0.0,0.0
2023-08-15 06:00:00,2023-08-21 20:44:56,3.0,3.998569921159086,300.0173905221659,296.75614605958,0.1951763380101346,0.4292672366436697,652.99518,1943.59324,983.7782,77.64413,0.0,0.0
2023-08-15 07:00:00,2023-08-21 20:44:56,3.0,3.71342528798239,299.1692570974692,296.497309454733,0.0981747198916201,0.508359777029541,631.40341,1945.59511,982.73384,41.2685,0.0,0.0
2023-08-15 08:00:00,2023-08-21 20:44:56,3.0,3.71342528798239,299.1692570974692,296.497309454733,0.0981747198916201,0.508359777029541,607.32504,1907.88567,982.49436,4.94269,0.0,0.0
2023-08-15 09:00:00,2023-08-21 20:44:56,3.0,3.71342528798239,299.1692570974692,296.497309454733,0.0981747198916201,0.508359777029541,594.95438,1906.85272,982.02661,0.0,0.0,0.0
