UTC time,creation_time (UTC),version,coal,nat_gas,nuclear,hydro,solar,other
2023-08-17 00:00:00,2023-08-18 22:28:40,3.0,479.0,2183.0,980.0,328.0,70.0,0.0
2023-08-17 01:00:00,2023-08-18 22:28:40,3.0,432.0,2197.0,980.0,324.0,0.0,0.0
2023-08-17 02:00:00,2023-08-18 22:28:40,3.0,437.0,2144.0,978.0,167.0,0.0,0.0
2023-08-17 03:00:00,2023-08-18 22:28:40,3.0,436.0,1952.0,981.0,89.0,0.0,0.0
2023-08-17 04:00:00,2023-08-18 22:28:40,3.0,439.0,1763.0,980.0,26.0,0.0,0.0
2023-08-17 05:00:00,2023-08-18 22:28:40,3.0,435.0,1662.0,981.0,22.0,0.0,0.0
2023-08-17 06:00:00,2023-08-18 22:28:40,3.0,436.0,1539.0,980.0,19.0,0.0,0.0
2023-08-17 07:00:00,2023-08-18 22:28:40,3.0,432.0,1510.0,980.0,20.0,0.0,0.0
2023-08-17 08:00:00,2023-08-18 22:28:40,3.0,435.0,1499.0,981.0,20.0,0.0,0.0
2023-08-17 09:00:00,2023-08-18 22:28:40,3.0,438.0,1500.0,980.0,18.0,0.0,0.0
2023-08-17 10:00:00,2023-08-18 22:28:40,3.0,436.0,1506.0,982.0,17.0,0.0,0.0
2023-08-17 11:00:00,2023-08-18 22:28:40,3.0,439.0,1586.0,980.0,19.0,0.0,0.0
2023-08-17 12:00:00,2023-08-18 22:28:40,3.0,439.0,1631.0,981.0,16.0,50.0,0.0
2023-08-17 13:00:00,2023-08-18 22:28:40,3.0,438.0,1674.0,982.0,19.0,149.0,0.0
2023-08-17 14:00:00,2023-08-18 22:28:40,3.0,438.0,1771.0,982.0,16.0,265.0,0.0
2023-08-17 15:00:00,2023-08-18 22:28:40,3.0,437.0,1867.0,982.0,17.0,430.0,0.0
2023-08-17 16:00:00,2023-08-18 22:28:40,3.0,438.0,1880.0,980.0,17.0,627.0,0.0
2023-08-17 17:00:00,2023-08-18 22:28:40,3.0,434.0,2006.0,983.0,18.0,760.0,0.0
2023-08-17 18:00:00,2023-08-18 22:28:40,3.0,439.0,2084.0,980.0,16.0,805.0,0.0
2023-08-17 19:00:00,2023-08-18 22:28:40,3.0,436.0,2133.0,981.0,15.0,728.0,0.0
2023-08-17 20:00:00,2023-08-18 22:28:40,3.0,440.0,2318.0,981.0,18.0,701.0,0.0
2023-08-17 21:00:00,2023-08-18 22:28:40,3.0,492.0,2324.0,980.0,17.0,678.0,0.0
2023-08-17 22:00:00,2023-08-18 22:28:40,3.0,548.0,2242.0,981.0,19.0,673.0,0.0
2023-08-17 23:00:00,2023-08-18 22:28:40,3.0,550.0,2346.0,980.0,63.0,428.0,0.0
