UTC Time,Biomass,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Waste,Wind Onshore,Wind Offshore
2019-01-01 00:00:00+00:00,501.0,775.0,7614.0,2090.0,8.0,673.0,1708.0,145.0,3092.0,0.0,41.0,5088.0,
2019-01-01 01:00:00+00:00,499.0,773.0,7090.0,2177.0,8.0,673.0,1613.0,164.0,2859.0,0.0,36.0,5086.0,
2019-01-01 02:00:00+00:00,503.0,774.0,6032.0,1827.0,8.0,672.0,1481.0,126.0,2452.0,0.0,41.0,5131.0,
2019-01-01 03:00:00+00:00,509.0,774.0,5795.0,1714.0,8.0,674.0,1475.0,124.0,2376.0,0.0,38.0,5235.0,
2019-01-01 04:00:00+00:00,509.0,774.0,6175.0,1712.0,8.0,674.0,1485.0,116.0,2545.0,0.0,34.0,4950.0,
2019-01-01 05:00:00+00:00,509.0,775.0,5995.0,1717.0,8.0,674.0,1439.0,134.0,2746.0,0.0,35.0,4741.0,
2019-01-01 06:00:00+00:00,507.0,774.0,5869.0,1713.0,8.0,673.0,1570.0,109.0,2468.0,44.0,37.0,4418.0,
2019-01-01 07:00:00+00:00,519.0,775.0,5174.0,1706.0,8.0,672.0,1877.0,272.0,2283.0,1052.0,33.0,4210.0,
2019-01-01 08:00:00+00:00,513.0,774.0,5209.0,1725.0,8.0,673.0,2030.0,257.0,2169.0,2840.0,34.0,3656.0,
2019-01-01 09:00:00+00:00,517.0,774.0,5172.0,1777.0,8.0,673.0,2028.0,259.0,2108.0,4601.0,37.0,3262.0,
2019-01-01 10:00:00+00:00,522.0,769.0,5134.0,1726.0,8.0,673.0,1771.0,253.0,2188.0,5270.0,34.0,3477.0,
2019-01-01 11:00:00+00:00,527.0,770.0,5507.0,1739.0,8.0,670.0,1804.0,149.0,2459.0,5453.0,40.0,3892.0,
2019-01-01 12:00:00+00:00,529.0,768.0,5802.0,1729.0,8.0,669.0,1726.0,178.0,2374.0,4925.0,40.0,3460.0,
2019-01-01 13:00:00+00:00,520.0,763.0,5530.0,1819.0,8.0,667.0,1651.0,150.0,2234.0,3427.0,39.0,3213.0,
2019-01-01 14:00:00+00:00,524.0,761.0,5941.0,1766.0,8.0,668.0,1723.0,208.0,2588.0,1788.0,36.0,3308.0,
2019-01-01 15:00:00+00:00,517.0,761.0,7689.0,1773.0,19.0,669.0,2603.0,421.0,2853.0,225.0,37.0,3468.0,
2019-01-01 16:00:00+00:00,524.0,766.0,8901.0,1765.0,58.0,671.0,3637.0,888.0,2989.0,1.0,36.0,3078.0,
2019-01-01 17:00:00+00:00,522.0,777.0,9253.0,1767.0,67.0,673.0,4131.0,675.0,3018.0,0.0,37.0,3058.0,
2019-01-01 18:00:00+00:00,520.0,771.0,9440.0,1754.0,67.0,671.0,4321.0,906.0,3019.0,0.0,39.0,3124.0,
2019-01-01 19:00:00+00:00,520.0,776.0,9757.0,1804.0,67.0,669.0,3217.0,1122.0,2886.0,0.0,39.0,3091.0,
2019-01-01 20:00:00+00:00,506.0,778.0,10024.0,1820.0,67.0,669.0,2627.0,708.0,2877.0,0.0,39.0,2923.0,
2019-01-01 21:00:00+00:00,496.0,777.0,10282.0,1768.0,67.0,669.0,2283.0,458.0,2769.0,0.0,37.0,2674.0,
2019-01-01 22:00:00+00:00,510.0,774.0,8930.0,1751.0,66.0,668.0,1994.0,189.0,2644.0,0.0,38.0,2362.0,
2019-01-01 23:00:00+00:00,516.0,,6995.0,1753.0,66.0,666.0,1596.0,122.0,2701.0,0.0,40.0,2202.0,
2019-01-02 00:00:00+00:00,517.0,,6029.0,1724.0,67.0,667.0,1425.0,99.0,2490.0,0.0,38.0,2255.0,
2019-01-02 01:00:00+00:00,521.0,,5478.0,1712.0,67.0,666.0,1368.0,98.0,2407.0,0.0,41.0,2412.0,
2019-01-02 02:00:00+00:00,522.0,,5341.0,1689.0,67.0,666.0,1340.0,98.0,2281.0,0.0,37.0,2719.0,
2019-01-02 03:00:00+00:00,521.0,,5611.0,1690.0,67.0,666.0,1391.0,98.0,2302.0,0.0,36.0,3179.0,
2019-01-02 04:00:00+00:00,518.0,,6472.0,1742.0,66.0,667.0,1392.0,118.0,2572.0,0.0,38.0,3248.0,
2019-01-02 05:00:00+00:00,519.0,,8099.0,1835.0,67.0,667.0,1429.0,142.0,2999.0,0.0,38.0,2904.0,
2019-01-02 06:00:00+00:00,503.0,,10713.0,2402.0,66.0,667.0,2046.0,522.0,3391.0,53.0,37.0,2654.0,
2019-01-02 07:00:00+00:00,503.0,,11743.0,2577.0,66.0,666.0,2797.0,810.0,3452.0,739.0,37.0,2131.0,
2019-01-02 08:00:00+00:00,505.0,,13043.0,2661.0,67.0,664.0,2987.0,753.0,3485.0,2284.0,37.0,1777.0,
2019-01-02 09:00:00+00:00,492.0,,13377.0,2789.0,69.0,665.0,2814.0,755.0,3458.0,3273.0,37.0,1735.0,
2019-01-02 10:00:00+00:00,510.0,,13739.0,2779.0,74.0,667.0,2600.0,700.0,3387.0,3921.0,39.0,1718.0,
2019-01-02 11:00:00+00:00,514.0,,13927.0,2694.0,67.0,667.0,2190.0,688.0,3476.0,5048.0,41.0,2110.0,
2019-01-02 12:00:00+00:00,522.0,,12364.0,2477.0,67.0,667.0,1969.0,331.0,3167.0,5033.0,41.0,3380.0,
2019-01-02 13:00:00+00:00,522.0,,11538.0,2422.0,67.0,659.0,1913.0,330.0,3164.0,3738.0,39.0,4997.0,
2019-01-02 14:00:00+00:00,521.0,,12393.0,2583.0,83.0,661.0,2193.0,669.0,3486.0,1500.0,40.0,5294.0,
2019-01-02 15:00:00+00:00,519.0,,14106.0,2383.0,131.0,661.0,3004.0,970.0,3618.0,171.0,39.0,4874.0,
2019-01-02 16:00:00+00:00,525.0,,15172.0,2386.0,109.0,661.0,4019.0,1213.0,3644.0,0.0,40.0,4165.0,
2019-01-02 17:00:00+00:00,520.0,,15317.0,2445.0,67.0,661.0,4203.0,1277.0,3602.0,0.0,37.0,4365.0,
2019-01-02 18:00:00+00:00,517.0,,14784.0,2291.0,67.0,673.0,3778.0,1229.0,3511.0,0.0,37.0,4711.0,
