UTC time,solar,nuclear,nat_gas,other,hydro,coal,wind
2019-01-01 00:00:00,0.0,11970.0,11458.0,1012.0,1231.0,30814.0,13981.0
2019-01-01 01:00:00,0.0,11987.0,11139.0,1015.0,1247.0,30051.0,14254.0
2019-01-01 02:00:00,0.0,11995.0,10730.0,1038.0,1173.0,28954.0,13915.0
2019-01-01 03:00:00,0.0,12001.0,10304.0,1021.0,1105.0,27801.0,13946.0
2019-01-01 04:00:00,0.0,12006.0,10030.0,1012.0,1069.0,26168.0,13858.0
2019-01-01 05:00:00,0.0,12006.0,9536.0,1001.0,1062.0,26082.0,12958.0
2019-01-01 06:00:00,0.0,12007.0,8996.0,1015.0,1043.0,25332.0,11820.0
2019-01-01 07:00:00,0.0,12008.0,8630.0,1017.0,1011.0,23070.0,11799.0
2019-01-01 08:00:00,0.0,12010.0,8493.0,1021.0,822.0,22429.0,11352.0
2019-01-01 09:00:00,0.0,12015.0,8655.0,1029.0,780.0,22221.0,10452.0
2019-01-01 10:00:00,0.0,12019.0,8978.0,1021.0,771.0,22285.0,9571.0
2019-01-01 11:00:00,0.0,12028.0,9117.0,1035.0,790.0,23263.0,8483.0
2019-01-01 12:00:00,0.0,12046.0,9278.0,1052.0,936.0,24774.0,7499.0
2019-01-01 13:00:00,0.0,12061.0,9917.0,1060.0,1046.0,26110.0,7088.0
2019-01-01 14:00:00,2.0,12070.0,10366.0,1059.0,1067.0,27086.0,6578.0
2019-01-01 15:00:00,27.0,12085.0,11073.0,1059.0,1029.0,28983.0,5605.0
2019-01-01 16:00:00,65.0,12098.0,12082.0,1051.0,956.0,30868.0,4423.0
2019-01-01 17:00:00,85.0,12105.0,12376.0,1048.0,949.0,32809.0,3392.0
2019-01-01 18:00:00,91.0,12118.0,12478.0,1053.0,939.0,34058.0,2898.0
2019-01-01 19:00:00,97.0,12127.0,12856.0,1061.0,783.0,35234.0,2630.0
2019-01-01 20:00:00,91.0,12124.0,12949.0,1056.0,758.0,35626.0,2726.0
2019-01-01 21:00:00,74.0,12125.0,13047.0,1064.0,774.0,36133.0,2357.0
2019-01-01 22:00:00,42.0,12125.0,13184.0,1067.0,863.0,36435.0,1793.0
2019-01-01 23:00:00,13.0,12178.0,14202.0,1098.0,1706.0,36689.0,1639.0
2019-01-02 00:00:00,0.0,12300.0,14601.0,1141.0,2048.0,36933.0,1759.0
2019-01-02 01:00:00,0.0,12314.0,14814.0,1102.0,2151.0,37094.0,1962.0
2019-01-02 02:00:00,0.0,12323.0,14815.0,1177.0,1850.0,37529.0,1984.0
2019-01-02 03:00:00,0.0,12337.0,13621.0,1129.0,1053.0,36183.0,2084.0
2019-01-02 04:00:00,0.0,12342.0,13065.0,1068.0,926.0,34177.0,2319.0
2019-01-02 05:00:00,0.0,12344.0,13033.0,1063.0,923.0,33963.0,2742.0
2019-01-02 06:00:00,0.0,12353.0,11273.0,1072.0,853.0,31963.0,3505.0
2019-01-02 07:00:00,0.0,12367.0,10476.0,1045.0,761.0,28649.0,4232.0
2019-01-02 08:00:00,0.0,12373.0,10555.0,1036.0,749.0,27500.0,4715.0
2019-01-02 09:00:00,0.0,12371.0,10582.0,1038.0,748.0,26718.0,5433.0
2019-01-02 10:00:00,0.0,12369.0,10703.0,1037.0,744.0,26681.0,6259.0
2019-01-02 11:00:00,0.0,12365.0,11004.0,1043.0,794.0,27486.0,6891.0
2019-01-02 12:00:00,0.0,12360.0,12078.0,1049.0,900.0,29583.0,7710.0
2019-01-02 13:00:00,0.0,12355.0,13390.0,1054.0,1200.0,32350.0,8366.0
2019-01-02 14:00:00,0.0,12348.0,13966.0,1065.0,1222.0,34692.0,9043.0
2019-01-02 15:00:00,5.0,12346.0,14074.0,1064.0,1157.0,34895.0,9564.0
2019-01-02 16:00:00,20.0,12342.0,13939.0,1034.0,1220.0,34559.0,10436.0
2019-01-02 17:00:00,43.0,12340.0,14096.0,1029.0,1211.0,34017.0,11181.0
2019-01-02 18:00:00,59.0,12358.0,14437.0,1035.0,1069.0,34115.0,11159.0
2019-01-02 19:00:00,45.0,12358.0,14318.0,1036.0,1045.0,34711.0,11111.0
2019-01-02 20:00:00,45.0,12353.0,14401.0,1021.0,1178.0,35001.0,10721.0
2019-01-02 21:00:00,41.0,12366.0,14448.0,1049.0,1170.0,35493.0,9917.0
2019-01-02 22:00:00,27.0,12396.0,14589.0,1053.0,1162.0,35658.0,8923.0
2019-01-02 23:00:00,5.0,12465.0,15124.0,1071.0,1857.0,36079.0,8767.0
2019-01-03 00:00:00,0.0,12536.0,15581.0,1116.0,2164.0,37091.0,9638.0
2019-01-03 01:00:00,0.0,12556.0,15781.0,1081.0,1659.0,36950.0,10592.0
2019-01-03 02:00:00,0.0,12574.0,15304.0,1093.0,1111.0,36325.0,10703.0
2019-01-03 03:00:00,0.0,12604.0,14587.0,1036.0,1185.0,34334.0,11223.0
2019-01-03 04:00:00,0.0,12718.0,13360.0,1001.0,987.0,32691.0,11601.0
2019-01-03 05:00:00,0.0,12802.0,12726.0,999.0,917.0,31440.0,11142.0
2019-01-03 06:00:00,0.0,12850.0,12471.0,1010.0,902.0,30139.0,10309.0
2019-01-03 07:00:00,0.0,12911.0,12156.0,1004.0,803.0,28069.0,10424.0
2019-01-03 08:00:00,0.0,12986.0,12158.0,1002.0,793.0,26725.0,10596.0
2019-01-03 09:00:00,0.0,13034.0,12247.0,1006.0,857.0,25469.0,10766.0
2019-01-03 10:00:00,0.0,13038.0,12417.0,1005.0,876.0,25631.0,10600.0
2019-01-03 11:00:00,0.0,13016.0,13172.0,1003.0,849.0,26687.0,10602.0
2019-01-03 12:00:00,0.0,13007.0,14912.0,1011.0,1195.0,28455.0,10522.0
2019-01-03 13:00:00,0.0,13010.0,15802.0,1022.0,1719.0,31193.0,10290.0
2019-01-03 14:00:00,0.0,13021.0,16347.0,1045.0,1878.0,33257.0,10443.0
2019-01-03 15:00:00,10.0,13034.0,16332.0,1042.0,1597.0,33192.0,10616.0
2019-01-03 16:00:00,51.0,13047.0,16175.0,1043.0,1303.0,33878.0,9794.0
2019-01-03 17:00:00,95.0,13052.0,16325.0,1049.0,1028.0,34210.0,8952.0
2019-01-03 18:00:00,89.0,13062.0,16148.0,1049.0,1005.0,33321.0,8665.0
2019-01-03 19:00:00,102.0,13074.0,15780.0,1044.0,978.0,32109.0,9283.0
2019-01-03 20:00:00,99.0,13082.0,16130.0,1030.0,992.0,31343.0,9558.0
2019-01-03 21:00:00,62.0,13065.0,15251.0,1029.0,954.0,31402.0,9764.0
2019-01-03 22:00:00,47.0,13033.0,15158.0,1024.0,1007.0,31337.0,10292.0
2019-01-03 23:00:00,7.0,12992.0,15324.0,1023.0,1680.0,31678.0,11445.0
2019-01-04 00:00:00,0.0,12987.0,15308.0,1023.0,2087.0,32125.0,13556.0
2019-01-04 01:00:00,0.0,12978.0,15669.0,1028.0,1447.0,32365.0,14414.0
2019-01-04 02:00:00,0.0,12706.0,15695.0,1030.0,1157.0,32008.0,14259.0
2019-01-04 03:00:00,0.0,12311.0,15351.0,1025.0,1064.0,31840.0,14023.0
2019-01-04 04:00:00,0.0,12309.0,14533.0,1028.0,965.0,29910.0,13578.0
2019-01-04 05:00:00,0.0,12305.0,13846.0,1032.0,929.0,27936.0,13348.0
2019-01-04 06:00:00,0.0,12303.0,13531.0,1035.0,865.0,26230.0,12818.0
2019-01-04 07:00:00,0.0,12302.0,13390.0,1034.0,889.0,25226.0,12000.0
2019-01-04 08:00:00,0.0,12295.0,13450.0,1028.0,873.0,24415.0,10860.0
2019-01-04 09:00:00,0.0,12290.0,13671.0,1025.0,863.0,24617.0,9851.0
2019-01-04 10:00:00,0.0,12203.0,13932.0,1020.0,902.0,25361.0,9151.0
2019-01-04 11:00:00,0.0,12159.0,14762.0,1029.0,869.0,26757.0,8829.0
2019-01-04 12:00:00,0.0,12198.0,16266.0,1030.0,1025.0,28673.0,8581.0
2019-01-04 13:00:00,0.0,12223.0,17227.0,1038.0,1982.0,31671.0,7724.0
2019-01-04 14:00:00,2.0,12247.0,18335.0,1091.0,1477.0,35531.0,6747.0
2019-01-04 15:00:00,27.0,12329.0,18359.0,1105.0,1066.0,36883.0,5623.0
2019-01-04 16:00:00,77.0,12346.0,18632.0,1074.0,1007.0,37323.0,4458.0
2019-01-04 17:00:00,122.0,12348.0,18411.0,1070.0,955.0,37129.0,3874.0
2019-01-04 18:00:00,126.0,12361.0,18414.0,1077.0,988.0,36606.0,3263.0
2019-01-04 19:00:00,133.0,12369.0,18107.0,1076.0,935.0,35960.0,2787.0
2019-01-04 20:00:00,124.0,12287.0,17758.0,1064.0,918.0,35091.0,2836.0
2019-01-04 21:00:00,116.0,12240.0,17500.0,1060.0,964.0,34225.0,2674.0
2019-01-04 22:00:00,99.0,12254.0,17381.0,1058.0,932.0,33769.0,2779.0
2019-01-04 23:00:00,18.0,12260.0,17421.0,1060.0,1066.0,33983.0,3509.0
2019-01-05 00:00:00,0.0,12245.0,17685.0,1053.0,1360.0,35181.0,4644.0
2019-01-05 01:00:00,0.0,12271.0,17616.0,1045.0,1106.0,35058.0,6121.0
2019-01-05 02:00:00,0.0,12257.0,17301.0,1033.0,1085.0,33085.0,7924.0
2019-01-05 03:00:00,0.0,12282.0,16878.0,1020.0,1077.0,31534.0,8823.0
