UTC time,coal,nat_gas,oil,hydro,solar,wind
2023-09-18 00:00:00,302.0,1629.0,0.0,133.0,0.0,2163.0
2023-09-18 01:00:00,302.0,1427.0,0.0,133.0,0.0,2185.0
2023-09-18 02:00:00,301.0,1414.0,0.0,171.0,99.0,2225.0
2023-09-18 03:00:00,301.0,1581.0,0.0,196.0,108.0,2309.0
2023-09-18 04:00:00,302.0,2004.0,0.0,648.0,118.0,2349.0
2023-09-18 05:00:00,301.0,1985.0,0.0,696.0,944.0,2354.0
2023-09-18 06:00:00,305.0,1620.0,0.0,879.0,2195.0,2384.0
2023-09-18 07:00:00,307.0,1267.0,0.0,525.0,3283.0,2355.0
2023-09-18 08:00:00,302.0,1165.0,0.0,430.0,3784.0,2345.0
2023-09-18 09:00:00,302.0,996.0,0.0,155.0,4185.0,2389.0
2023-09-18 10:00:00,301.0,986.0,0.0,108.0,4061.0,2392.0
2023-09-18 11:00:00,301.0,1136.0,0.0,146.0,4079.0,2368.0
2023-09-18 12:00:00,302.0,1050.0,0.0,85.0,3958.0,2368.0
2023-09-18 13:00:00,302.0,1103.0,0.0,90.0,3239.0,2359.0
2023-09-18 14:00:00,354.0,1760.0,0.0,367.0,2087.0,2368.0
2023-09-18 15:00:00,590.0,2187.0,0.0,673.0,752.0,2327.0
2023-09-18 16:00:00,615.0,2627.0,0.0,955.0,50.0,2279.0
2023-09-18 17:00:00,616.0,2912.0,0.0,971.0,84.0,2199.0
2023-09-18 18:00:00,615.0,2821.0,0.0,856.0,83.0,2119.0
2023-09-18 19:00:00,614.0,2414.0,0.0,779.0,0.0,2173.0
2023-09-18 20:00:00,612.0,2328.0,0.0,451.0,0.0,2158.0
2023-09-18 21:00:00,548.0,2223.0,0.0,274.0,0.0,2188.0
2023-09-18 22:00:00,304.0,2039.0,0.0,9.0,0.0,2198.0
2023-09-18 23:00:00,296.0,1979.0,0.0,7.0,0.0,2201.0
