Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
36264,2023-02-20 00:00:00,345.24,634.0,442.0,0.0,52.0,0.0,1042.0
36265,2023-02-20 01:00:00,348.21,622.0,365.0,0.0,59.0,0.0,967.0
36266,2023-02-20 02:00:00,342.71,616.0,364.0,0.0,77.0,0.0,974.0
36267,2023-02-20 03:00:00,334.0,608.0,412.0,0.0,80.0,0.0,1037.0
36268,2023-02-20 04:00:00,325.36,615.0,621.0,0.0,122.0,0.0,1176.0
36269,2023-02-20 05:00:00,308.23,627.0,963.0,0.0,332.0,105.0,1258.0
36270,2023-02-20 06:00:00,253.85,627.0,983.0,0.0,215.0,1013.0,1343.0
36271,2023-02-20 07:00:00,203.05,597.0,920.0,0.0,235.0,2139.0,1313.0
36272,2023-02-20 08:00:00,193.67,704.0,910.0,0.0,119.0,3043.0,1303.0
36273,2023-02-20 09:00:00,189.59,747.0,969.0,0.0,88.0,3540.0,1319.0
36274,2023-02-20 10:00:00,179.82,665.0,1005.0,0.0,91.0,3763.0,1279.0
36275,2023-02-20 11:00:00,183.65,670.0,1046.0,0.0,92.0,3670.0,1293.0
36276,2023-02-20 12:00:00,196.65,701.0,1105.0,0.0,161.0,3326.0,1233.0
36277,2023-02-20 13:00:00,249.48,905.0,1319.0,0.0,125.0,2686.0,1074.0
36278,2023-02-20 14:00:00,286.9,849.0,1532.0,0.0,319.0,1669.0,1001.0
36279,2023-02-20 15:00:00,327.04,617.0,2016.0,0.0,825.0,448.0,811.0
36280,2023-02-20 16:00:00,342.82,639.0,2223.0,0.0,1343.0,4.0,611.0
36281,2023-02-20 17:00:00,388.25,873.0,2522.0,0.0,1151.0,0.0,568.0
36282,2023-02-20 18:00:00,418.18,1005.0,2546.0,0.0,976.0,0.0,496.0
36283,2023-02-20 19:00:00,472.49,1024.0,2614.0,0.0,451.0,0.0,432.0
36284,2023-02-20 20:00:00,492.3,1046.0,2585.0,0.0,304.0,0.0,404.0
36285,2023-02-20 21:00:00,521.59,1047.0,2251.0,0.0,131.0,0.0,345.0
36286,2023-02-20 22:00:00,547.46,1047.0,1811.0,0.0,85.0,0.0,255.0
36287,2023-02-20 23:00:00,577.15,1008.0,1725.0,0.0,7.0,0.0,160.0
