Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
38472,2023-05-23 00:00:00,2024-07-17 00:00:00,3.1,172.54,34.0,26.0,0.0,84.0,88.0,3.0
38473,2023-05-23 01:00:00,2024-07-17 00:00:00,3.1,186.41,34.0,26.0,3.0,63.0,88.0,3.0
38474,2023-05-23 02:00:00,2024-07-17 00:00:00,3.1,187.14,34.0,26.0,18.0,50.0,88.0,3.0
38475,2023-05-23 03:00:00,2024-07-17 00:00:00,3.1,172.8,34.0,26.0,51.0,43.0,87.0,3.0
38476,2023-05-23 04:00:00,2024-07-17 00:00:00,3.1,133.18,34.0,74.0,107.0,38.0,86.0,3.0
38477,2023-05-23 05:00:00,2024-07-17 00:00:00,3.1,120.23,34.0,74.0,192.0,20.0,86.0,3.0
38478,2023-05-23 06:00:00,2024-07-17 00:00:00,3.1,112.71,34.0,68.0,275.0,6.0,86.0,4.0
38479,2023-05-23 07:00:00,2024-07-17 00:00:00,3.1,108.24,34.0,47.0,324.0,8.0,86.0,3.0
38480,2023-05-23 08:00:00,2024-07-17 00:00:00,3.1,105.94,34.0,25.0,359.0,18.0,87.0,3.0
38481,2023-05-23 09:00:00,2024-07-17 00:00:00,3.1,99.95,34.0,47.0,381.0,21.0,87.0,3.0
38482,2023-05-23 10:00:00,2024-07-17 00:00:00,3.1,99.27,35.0,60.0,375.0,21.0,86.0,3.0
38483,2023-05-23 11:00:00,2024-07-17 00:00:00,3.1,102.24,37.0,66.0,348.0,21.0,85.0,3.0
38484,2023-05-23 12:00:00,2024-07-17 00:00:00,3.1,108.88,40.0,74.0,294.0,23.0,85.0,3.0
38485,2023-05-23 13:00:00,2024-07-17 00:00:00,3.1,117.2,42.0,74.0,221.0,39.0,85.0,3.0
38486,2023-05-23 14:00:00,2024-07-17 00:00:00,3.1,139.88,41.0,48.0,149.0,31.0,85.0,3.0
38487,2023-05-23 15:00:00,2024-07-17 00:00:00,3.1,169.77,41.0,48.0,81.0,18.0,87.0,3.0
38488,2023-05-23 16:00:00,2024-07-17 00:00:00,3.1,182.32,41.0,73.0,33.0,13.0,87.0,3.0
38489,2023-05-23 17:00:00,2024-07-17 00:00:00,3.1,196.81,41.0,74.0,9.0,12.0,86.0,3.0
38490,2023-05-23 18:00:00,2024-07-17 00:00:00,3.1,199.43,42.0,72.0,1.0,19.0,87.0,3.0
38491,2023-05-23 19:00:00,2024-07-17 00:00:00,3.1,184.43,42.0,83.0,0.0,29.0,87.0,3.0
38492,2023-05-23 20:00:00,2024-07-17 00:00:00,3.1,212.83,42.0,26.0,0.0,48.0,87.0,3.0
38493,2023-05-23 21:00:00,2024-07-17 00:00:00,3.1,200.84,42.0,26.0,0.0,61.0,87.0,3.0
38494,2023-05-23 22:00:00,2024-07-17 00:00:00,3.1,182.8,42.0,26.0,0.0,84.0,87.0,3.0
38495,2023-05-23 23:00:00,2024-07-17 00:00:00,3.1,175.93,42.0,25.0,0.0,95.0,87.0,3.0
