Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
41232,2023-09-15 00:00:00,205.74,268.0,23.0,0.0,181.0,71.0,34.0
41233,2023-09-15 01:00:00,219.19,293.0,23.0,0.0,192.0,71.0,52.0
41234,2023-09-15 02:00:00,240.69,383.0,23.0,0.0,184.0,71.0,52.0
41235,2023-09-15 03:00:00,209.62,272.0,23.0,35.0,169.0,70.0,51.0
41236,2023-09-15 04:00:00,230.42,371.0,23.0,47.0,161.0,70.0,51.0
41237,2023-09-15 05:00:00,218.57,426.0,23.0,138.0,131.0,70.0,41.0
41238,2023-09-15 06:00:00,204.31,394.0,23.0,253.0,57.0,70.0,46.0
41239,2023-09-15 07:00:00,187.92,346.0,23.0,326.0,11.0,70.0,46.0
41240,2023-09-15 08:00:00,183.86,386.0,23.0,370.0,15.0,70.0,41.0
41241,2023-09-15 09:00:00,198.85,415.0,23.0,344.0,12.0,69.0,48.0
41242,2023-09-15 10:00:00,182.13,364.0,24.0,377.0,9.0,69.0,48.0
41243,2023-09-15 11:00:00,176.18,360.0,23.0,381.0,11.0,58.0,34.0
41244,2023-09-15 12:00:00,187.99,377.0,23.0,352.0,12.0,48.0,34.0
41245,2023-09-15 13:00:00,219.66,401.0,24.0,260.0,12.0,48.0,43.0
41246,2023-09-15 14:00:00,226.66,379.0,24.0,210.0,14.0,47.0,36.0
41247,2023-09-15 15:00:00,282.78,423.0,24.0,94.0,13.0,47.0,46.0
41248,2023-09-15 16:00:00,312.83,452.0,24.0,34.0,17.0,47.0,47.0
41249,2023-09-15 17:00:00,318.28,456.0,24.0,12.0,29.0,47.0,47.0
41250,2023-09-15 18:00:00,309.25,457.0,24.0,0.0,54.0,47.0,41.0
41251,2023-09-15 19:00:00,272.66,434.0,24.0,0.0,105.0,47.0,19.0
41252,2023-09-15 20:00:00,220.49,244.0,24.0,0.0,124.0,48.0,19.0
41253,2023-09-15 21:00:00,89.57,48.0,24.0,0.0,165.0,48.0,16.0
41254,2023-09-15 22:00:00,91.21,48.0,24.0,0.0,202.0,48.0,24.0
41255,2023-09-15 23:00:00,79.68,48.0,24.0,0.0,221.0,48.0,19.0
