Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
36480,2023-03-01 00:00:00,2024-07-17 00:00:00,3.1,83.04,22.0,47.0,0.0,291.0,88.0,3.0
36481,2023-03-01 01:00:00,2024-07-17 00:00:00,3.1,89.66,22.0,47.0,0.0,253.0,88.0,3.0
36482,2023-03-01 02:00:00,2024-07-17 00:00:00,3.1,91.6,22.0,65.0,0.0,228.0,88.0,3.0
36483,2023-03-01 03:00:00,2024-07-17 00:00:00,3.1,90.69,22.0,95.0,0.0,204.0,86.0,3.0
36484,2023-03-01 04:00:00,2024-07-17 00:00:00,3.1,104.16,22.0,97.0,0.0,143.0,86.0,3.0
36485,2023-03-01 05:00:00,2024-07-17 00:00:00,3.1,117.29,22.0,90.0,4.0,102.0,85.0,3.0
36486,2023-03-01 06:00:00,2024-07-17 00:00:00,3.1,132.22,22.0,88.0,25.0,51.0,85.0,3.0
36487,2023-03-01 07:00:00,2024-07-17 00:00:00,3.1,129.9,20.0,88.0,52.0,31.0,85.0,3.0
36488,2023-03-01 08:00:00,2024-07-17 00:00:00,3.1,127.3,23.0,88.0,91.0,19.0,85.0,3.0
36489,2023-03-01 09:00:00,2024-07-17 00:00:00,3.1,111.47,22.0,86.0,154.0,24.0,85.0,3.0
36490,2023-03-01 10:00:00,2024-07-17 00:00:00,3.1,105.31,23.0,92.0,167.0,39.0,85.0,3.0
36491,2023-03-01 11:00:00,2024-07-17 00:00:00,3.1,110.54,23.0,88.0,143.0,38.0,86.0,3.0
36492,2023-03-01 12:00:00,2024-07-17 00:00:00,3.1,112.34,23.0,88.0,107.0,54.0,85.0,3.0
36493,2023-03-01 13:00:00,2024-07-17 00:00:00,3.1,123.47,23.0,88.0,76.0,40.0,85.0,3.0
36494,2023-03-01 14:00:00,2024-07-17 00:00:00,3.1,126.56,22.0,88.0,44.0,51.0,85.0,3.0
36495,2023-03-01 15:00:00,2024-07-17 00:00:00,3.1,124.18,22.0,88.0,7.0,84.0,86.0,3.0
36496,2023-03-01 16:00:00,2024-07-17 00:00:00,3.1,109.14,22.0,88.0,0.0,133.0,86.0,3.0
36497,2023-03-01 17:00:00,2024-07-17 00:00:00,3.1,88.14,21.0,88.0,0.0,220.0,87.0,3.0
36498,2023-03-01 18:00:00,2024-07-17 00:00:00,3.1,80.39,21.0,88.0,0.0,269.0,88.0,3.0
36499,2023-03-01 19:00:00,2024-07-17 00:00:00,3.1,77.67,22.0,88.0,0.0,292.0,87.0,3.0
36500,2023-03-01 20:00:00,2024-07-17 00:00:00,3.1,74.69,22.0,88.0,0.0,315.0,87.0,3.0
36501,2023-03-01 21:00:00,2024-07-17 00:00:00,3.1,79.23,22.0,88.0,0.0,283.0,88.0,3.0
36502,2023-03-01 22:00:00,2024-07-17 00:00:00,3.1,79.51,22.0,88.0,0.0,281.0,88.0,3.0
36503,2023-03-01 23:00:00,2024-07-17 00:00:00,3.1,84.29,22.0,68.0,0.0,268.0,89.0,3.0
