UTC time,nat_gas,hydro,solar,wind,biomass,unknown
2023-09-04 00:00:00,51.0,23.0,0.0,66.0,70.0,22.0
2023-09-04 01:00:00,51.0,23.0,0.0,62.0,71.0,22.0
2023-09-04 02:00:00,51.0,23.0,1.0,41.0,71.0,22.0
2023-09-04 03:00:00,51.0,23.0,8.0,58.0,68.0,30.0
2023-09-04 04:00:00,52.0,23.0,35.0,73.0,67.0,30.0
2023-09-04 05:00:00,52.0,23.0,100.0,103.0,67.0,42.0
2023-09-04 06:00:00,52.0,23.0,179.0,101.0,66.0,42.0
2023-09-04 07:00:00,51.0,23.0,279.0,75.0,66.0,42.0
2023-09-04 08:00:00,51.0,23.0,323.0,94.0,66.0,35.0
2023-09-04 09:00:00,51.0,23.0,367.0,88.0,66.0,24.0
2023-09-04 10:00:00,51.0,23.0,352.0,64.0,67.0,24.0
2023-09-04 11:00:00,51.0,23.0,348.0,73.0,68.0,23.0
2023-09-04 12:00:00,51.0,23.0,280.0,84.0,69.0,22.0
2023-09-04 13:00:00,51.0,23.0,203.0,95.0,70.0,31.0
2023-09-04 14:00:00,51.0,23.0,149.0,67.0,70.0,38.0
2023-09-04 15:00:00,51.0,23.0,81.0,57.0,70.0,43.0
2023-09-04 16:00:00,51.0,23.0,23.0,62.0,71.0,49.0
2023-09-04 17:00:00,51.0,23.0,7.0,95.0,70.0,42.0
2023-09-04 18:00:00,52.0,23.0,0.0,131.0,70.0,49.0
2023-09-04 19:00:00,52.0,23.0,0.0,161.0,70.0,49.0
2023-09-04 20:00:00,51.0,23.0,0.0,187.0,70.0,26.0
2023-09-04 21:00:00,51.0,23.0,0.0,169.0,70.0,24.0
2023-09-04 22:00:00,51.0,23.0,0.0,172.0,71.0,24.0
2023-09-04 23:00:00,51.0,23.0,0.0,167.0,71.0,24.0
