Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
37704,2023-04-21 00:00:00,57.63,11.0,47.0,0.0,431.0,87.0,3.0
37705,2023-04-21 01:00:00,63.73,11.0,47.0,0.0,364.0,87.0,3.0
37706,2023-04-21 02:00:00,72.24,11.0,47.0,3.0,289.0,86.0,3.0
37707,2023-04-21 03:00:00,84.43,11.0,47.0,20.0,207.0,86.0,3.0
37708,2023-04-21 04:00:00,85.8,11.0,74.0,73.0,147.0,85.0,3.0
37709,2023-04-21 05:00:00,87.08,11.0,98.0,157.0,74.0,85.0,3.0
37710,2023-04-21 06:00:00,87.31,11.0,98.0,242.0,20.0,82.0,3.0
37711,2023-04-21 07:00:00,85.0,11.0,88.0,302.0,12.0,83.0,3.0
37712,2023-04-21 08:00:00,95.71,30.0,88.0,326.0,23.0,83.0,3.0
37713,2023-04-21 09:00:00,104.71,44.0,88.0,322.0,30.0,83.0,3.0
37714,2023-04-21 10:00:00,104.99,45.0,88.0,310.0,40.0,83.0,3.0
37715,2023-04-21 11:00:00,105.28,45.0,88.0,276.0,60.0,83.0,3.0
37716,2023-04-21 12:00:00,110.1,45.0,88.0,203.0,81.0,83.0,3.0
37717,2023-04-21 13:00:00,115.43,45.0,88.0,128.0,107.0,84.0,3.0
37718,2023-04-21 14:00:00,117.67,44.0,88.0,75.0,129.0,83.0,3.0
37719,2023-04-21 15:00:00,116.93,44.0,92.0,36.0,156.0,84.0,3.0
37720,2023-04-21 16:00:00,122.51,44.0,98.0,10.0,148.0,84.0,3.0
37721,2023-04-21 17:00:00,127.39,44.0,98.0,1.0,139.0,85.0,3.0
37722,2023-04-21 18:00:00,122.24,44.0,74.0,0.0,179.0,86.0,3.0
37723,2023-04-21 19:00:00,118.85,42.0,55.0,0.0,202.0,87.0,3.0
37724,2023-04-21 20:00:00,115.92,40.0,49.0,0.0,211.0,87.0,3.0
37725,2023-04-21 21:00:00,104.5,41.0,47.0,0.0,243.0,71.0,3.0
37726,2023-04-21 22:00:00,113.88,47.0,47.0,0.0,228.0,71.0,3.0
37727,2023-04-21 23:00:00,122.54,46.0,47.0,0.0,193.0,70.0,3.0
