Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
39048,2023-06-16 00:00:00,2024-07-17 00:00:00,3.1,65.99,36.0,24.0,0.0,98.0,67.0,3.0
39049,2023-06-16 01:00:00,2024-07-17 00:00:00,3.1,80.03,36.0,24.0,5.0,53.0,67.0,3.0
39050,2023-06-16 02:00:00,2024-07-17 00:00:00,3.1,77.24,35.0,24.0,22.0,39.0,67.0,3.0
39051,2023-06-16 03:00:00,2024-07-17 00:00:00,3.1,79.6,36.0,24.0,41.0,18.0,67.0,3.0
39052,2023-06-16 04:00:00,2024-07-17 00:00:00,3.1,60.18,36.0,24.0,112.0,8.0,67.0,3.0
39053,2023-06-16 05:00:00,2024-07-17 00:00:00,3.1,48.38,36.0,24.0,180.0,1.0,67.0,3.0
39054,2023-06-16 06:00:00,2024-07-17 00:00:00,3.1,41.11,36.0,24.0,250.0,0.0,66.0,4.0
39055,2023-06-16 07:00:00,2024-07-17 00:00:00,3.1,35.4,36.0,24.0,296.0,0.0,66.0,3.0
39056,2023-06-16 08:00:00,2024-07-17 00:00:00,3.1,31.34,36.0,24.0,351.0,0.0,66.0,3.0
39057,2023-06-16 09:00:00,2024-07-17 00:00:00,3.1,30.64,36.0,24.0,361.0,2.0,65.0,3.0
39058,2023-06-16 10:00:00,2024-07-17 00:00:00,3.1,30.21,36.0,24.0,362.0,7.0,66.0,3.0
39059,2023-06-16 11:00:00,2024-07-17 00:00:00,3.1,31.61,36.0,24.0,331.0,16.0,66.0,3.0
39060,2023-06-16 12:00:00,2024-07-17 00:00:00,3.1,38.49,41.0,24.0,285.0,20.0,66.0,3.0
39061,2023-06-16 13:00:00,2024-07-17 00:00:00,3.1,110.42,155.0,24.0,257.0,30.0,66.0,3.0
39062,2023-06-16 14:00:00,2024-07-17 00:00:00,3.1,173.74,286.0,24.0,177.0,63.0,66.0,3.0
39063,2023-06-16 15:00:00,2024-07-17 00:00:00,3.1,215.16,421.0,24.0,148.0,70.0,66.0,3.0
39064,2023-06-16 16:00:00,2024-07-17 00:00:00,3.1,230.48,432.0,24.0,104.0,71.0,67.0,3.0
39065,2023-06-16 17:00:00,2024-07-17 00:00:00,3.1,242.57,430.0,24.0,45.0,94.0,67.0,3.0
39066,2023-06-16 18:00:00,2024-07-17 00:00:00,3.1,262.28,432.0,24.0,2.0,88.0,67.0,3.0
39067,2023-06-16 19:00:00,2024-07-17 00:00:00,3.1,259.35,411.0,24.0,0.0,88.0,67.0,3.0
39068,2023-06-16 20:00:00,2024-07-17 00:00:00,3.1,269.5,436.0,24.0,0.0,75.0,67.0,3.0
39069,2023-06-16 21:00:00,2024-07-17 00:00:00,3.1,245.71,340.0,24.0,0.0,85.0,67.0,3.0
39070,2023-06-16 22:00:00,2024-07-17 00:00:00,3.1,62.66,37.0,24.0,0.0,115.0,67.0,3.0
39071,2023-06-16 23:00:00,2024-07-17 00:00:00,3.1,74.45,39.0,24.0,0.0,84.0,67.0,3.0
