UTC time,solar,nat_gas,other,hydro,coal,wind
2019-01-01 00:00:00,86.0,1275.0,106.0,40.0,4312.0,489.0
2019-01-01 01:00:00,2.0,1527.0,104.0,41.0,4336.0,406.0
2019-01-01 02:00:00,0.0,1669.0,101.0,38.0,4398.0,323.0
2019-01-01 03:00:00,0.0,1510.0,102.0,40.0,4454.0,313.0
2019-01-01 04:00:00,0.0,1411.0,102.0,38.0,4465.0,353.0
2019-01-01 05:00:00,0.0,1313.0,102.0,43.0,4442.0,355.0
2019-01-01 06:00:00,0.0,1308.0,101.0,39.0,4411.0,352.0
2019-01-01 07:00:00,0.0,1354.0,101.0,41.0,4463.0,415.0
2019-01-01 08:00:00,0.0,1339.0,101.0,43.0,4484.0,408.0
2019-01-01 09:00:00,0.0,1065.0,100.0,42.0,4340.0,413.0
2019-01-01 10:00:00,0.0,1057.0,102.0,41.0,4406.0,373.0
2019-01-01 11:00:00,0.0,1022.0,101.0,40.0,4413.0,301.0
2019-01-01 12:00:00,0.0,1108.0,100.0,44.0,4417.0,247.0
2019-01-01 13:00:00,0.0,1125.0,99.0,39.0,4407.0,206.0
2019-01-01 14:00:00,0.0,1123.0,101.0,42.0,4416.0,193.0
2019-01-01 15:00:00,0.0,1151.0,100.0,41.0,4398.0,320.0
2019-01-01 16:00:00,74.0,1029.0,98.0,40.0,4389.0,422.0
2019-01-01 17:00:00,350.0,925.0,101.0,42.0,4145.0,461.0
2019-01-01 18:00:00,517.0,922.0,102.0,40.0,3638.0,395.0
2019-01-01 19:00:00,526.0,887.0,103.0,42.0,3531.0,422.0
2019-01-01 20:00:00,516.0,878.0,104.0,45.0,2970.0,544.0
2019-01-01 21:00:00,561.0,877.0,105.0,43.0,2619.0,680.0
2019-01-01 22:00:00,638.0,960.0,103.0,40.0,2369.0,778.0
2019-01-01 23:00:00,591.0,1126.0,102.0,44.0,2625.0,880.0
2019-01-02 00:00:00,228.0,1353.0,103.0,45.0,3648.0,923.0
2019-01-02 01:00:00,5.0,1563.0,101.0,43.0,4211.0,1031.0
