UTC time,coal,nat_gas,nuclear,hydro,solar,wind,biomass,unknown
2023-10-29 00:00:00,7488.0,6761.0,3845.0,0.0,8.0,31520.0,2879.0,30634.0
2023-10-29 01:00:00,4942.25,5519.75,2403.5,0.0,5.0,18745.25,1785.5,17323.5
2023-10-29 02:00:00,3712.0,3438.0,1924.0,0.0,4.0,15401.0,1440.0,15452.0
2023-10-29 03:00:00,3563.0,3441.0,1925.0,0.0,4.0,15602.0,1449.0,15510.0
2023-10-29 04:00:00,3543.0,3460.0,1922.0,0.0,4.0,15628.0,1429.0,16025.0
2023-10-29 05:00:00,3525.0,3439.0,1920.0,0.0,4.0,15848.0,1422.0,15959.0
2023-10-29 06:00:00,3525.0,3539.0,1924.0,0.0,5.0,15880.0,1408.0,16556.0
2023-10-29 07:00:00,3500.0,3740.0,1924.0,0.0,119.0,15874.0,1424.0,19052.0
2023-10-29 08:00:00,3500.0,3779.0,1924.0,0.0,344.0,15740.0,1440.0,24595.0
2023-10-29 09:00:00,3508.0,3921.0,1924.0,0.0,460.0,15985.0,1420.0,28181.0
2023-10-29 10:00:00,3505.0,4282.0,1924.0,0.0,520.0,16191.0,1416.0,28226.0
2023-10-29 11:00:00,3503.0,4093.0,1924.0,0.0,549.0,18865.0,1366.0,26626.0
2023-10-29 12:00:00,3508.0,3859.0,1924.0,0.0,379.0,17571.0,1360.0,23660.0
2023-10-29 13:00:00,3503.0,3751.0,1924.0,0.0,281.0,19167.0,1359.0,18808.0
2023-10-29 14:00:00,3500.0,3784.0,1924.0,0.0,147.0,19404.0,1353.0,16726.0
2023-10-29 15:00:00,3503.0,3858.0,1924.0,0.0,36.0,19346.0,1395.0,15179.0
2023-10-29 16:00:00,3494.0,4133.0,1924.0,0.0,4.0,20495.0,1420.0,17865.0
2023-10-29 17:00:00,3710.0,3922.0,1924.0,0.0,4.0,21120.0,1436.0,18701.0
2023-10-29 18:00:00,3771.0,3851.0,1924.0,0.0,4.0,21199.0,1431.0,17758.0
2023-10-29 19:00:00,3752.0,3254.0,1924.0,0.0,4.0,21622.0,1384.0,17923.0
2023-10-29 20:00:00,3753.0,3144.0,1924.0,0.0,4.0,21377.0,1388.0,17166.0
2023-10-29 21:00:00,3771.0,3532.0,1924.0,0.0,4.0,20695.0,1388.0,15752.0
2023-10-29 22:00:00,3795.0,4417.0,1924.0,0.0,4.0,19625.0,1410.0,15042.0
2023-10-29 23:00:00,3787.0,4490.0,1924.0,0.0,4.0,20131.0,1416.0,14390.0
