UTC time,wind,biomass,unknown,hydro,nat_gas,coal
2023-01-01 00:00:00,105.0,30.0,27.0,1001.0,237.0,1947.0
2023-01-01 01:00:00,157.0,30.0,27.0,909.0,239.0,1945.0
2023-01-01 02:00:00,76.0,30.0,27.0,764.0,239.0,1924.0
2023-01-01 03:00:00,38.0,30.0,27.0,876.0,237.0,1934.0
2023-01-01 04:00:00,95.0,30.0,27.0,996.0,238.0,1943.0
2023-01-01 05:00:00,121.0,30.0,27.0,844.0,242.0,1946.0
2023-01-01 06:00:00,116.0,30.0,27.0,890.0,233.0,1956.0
2023-01-01 07:00:00,111.0,30.0,27.0,1099.0,240.0,1931.0
2023-01-01 08:00:00,70.0,30.0,27.0,1314.0,233.0,1932.0
2023-01-01 09:00:00,92.0,30.0,27.0,1493.0,233.0,1954.0
2023-01-01 10:00:00,66.0,30.0,27.0,1487.0,233.0,1948.0
2023-01-01 11:00:00,61.0,30.0,27.0,1382.0,235.0,1957.0
2023-01-01 12:00:00,49.0,30.0,27.0,1357.0,235.0,1959.0
2023-01-01 13:00:00,40.0,30.0,27.0,1355.0,233.0,1938.0
2023-01-01 14:00:00,39.0,30.0,27.0,1347.0,231.0,1911.0
2023-01-01 15:00:00,48.0,30.0,27.0,1453.0,232.0,1896.0
2023-01-01 16:00:00,88.0,30.0,27.0,1420.0,235.0,1896.0
2023-01-01 17:00:00,111.0,30.0,27.0,1224.0,235.0,1936.0
2023-01-01 18:00:00,63.0,30.0,27.0,1256.0,235.0,1942.0
2023-01-01 19:00:00,50.0,30.0,27.0,1280.0,236.0,1926.0
2023-01-01 20:00:00,81.0,30.0,27.0,1196.0,235.0,1935.0
2023-01-01 21:00:00,97.0,30.0,27.0,1220.0,237.0,1934.0
2023-01-01 22:00:00,96.0,30.0,27.0,1322.0,235.0,1947.0
2023-01-01 23:00:00,72.0,30.0,27.0,1262.0,234.0,1911.0
2023-01-02 00:00:00,45.0,30.0,27.0,1156.0,233.0,1900.0
2023-01-02 01:00:00,28.0,30.0,27.0,1041.0,233.0,1906.0
2023-01-02 02:00:00,23.0,30.0,27.0,993.0,232.0,1886.0
2023-01-02 03:00:00,34.0,30.0,27.0,891.0,232.0,1923.0
2023-01-02 04:00:00,43.0,30.0,27.0,770.0,232.0,1930.0
2023-01-02 05:00:00,56.0,30.0,27.0,962.0,225.0,1943.0
2023-01-02 06:00:00,93.0,30.0,27.0,1076.0,225.0,1952.0
2023-01-02 07:00:00,105.0,30.0,27.0,1336.0,232.0,1943.0
2023-01-02 08:00:00,86.0,30.0,27.0,1483.0,233.0,1951.0
2023-01-02 09:00:00,66.0,30.0,27.0,1471.0,233.0,1951.0
2023-01-02 10:00:00,52.0,30.0,27.0,1464.0,230.0,1972.0
2023-01-02 11:00:00,40.0,30.0,27.0,1403.0,235.0,1974.0
2023-01-02 12:00:00,41.0,30.0,27.0,1369.0,225.0,1980.0
2023-01-02 13:00:00,44.0,30.0,27.0,1386.0,232.0,1981.0
2023-01-02 14:00:00,33.0,30.0,27.0,1446.0,230.0,2035.0
2023-01-02 15:00:00,46.0,30.0,27.0,1483.0,229.0,2129.0
2023-01-02 16:00:00,59.0,30.0,27.0,1493.0,229.0,2134.0
2023-01-02 17:00:00,57.0,30.0,27.0,1473.0,230.0,2143.0
2023-01-02 18:00:00,50.0,30.0,27.0,1459.0,231.0,2144.0
2023-01-02 19:00:00,24.0,30.0,27.0,1469.0,230.0,2137.0
2023-01-02 20:00:00,16.0,30.0,27.0,1187.0,228.0,2125.0
2023-01-02 21:00:00,23.0,30.0,27.0,1098.0,230.0,2107.0
2023-01-02 22:00:00,24.0,30.0,27.0,1023.0,233.0,2131.0
