,UTC time,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
0,2019-01-01 00:00:00,179.83,0.0,48.0,54.0,76.0,81.0
1,2019-01-01 01:00:00,196.52,0.0,25.0,54.0,77.0,81.0
2,2019-01-01 02:00:00,216.98,0.0,4.0,52.0,76.0,80.0
3,2019-01-01 03:00:00,180.39,0.0,48.0,50.0,77.0,80.0
4,2019-01-01 04:00:00,178.84,0.0,48.0,50.0,77.0,79.0
5,2019-01-01 05:00:00,182.87,1.0,48.0,51.0,80.0,83.0
6,2019-01-01 06:00:00,183.57,1.0,48.0,50.0,80.0,83.0
7,2019-01-01 07:00:00,183.57,1.0,48.0,50.0,80.0,83.0
8,2019-01-01 08:00:00,212.81,1.0,12.0,50.0,80.0,83.0
9,2019-01-01 09:00:00,182.18,1.0,52.0,48.0,80.0,83.0
10,2019-01-01 10:00:00,193.93,1.0,37.0,47.0,80.0,83.0
11,2019-01-01 11:00:00,182.87,1.0,52.0,47.0,80.0,83.0
12,2019-01-01 12:00:00,194.72,1.0,39.0,45.0,79.0,83.0
13,2019-01-01 13:00:00,189.35,1.0,52.0,39.0,79.0,83.0
14,2019-01-01 14:00:00,184.98,1.0,61.0,36.0,79.0,83.0
15,2019-01-01 15:00:00,229.02,1.0,21.0,26.0,79.0,83.0
16,2019-01-01 16:00:00,214.41,1.0,48.0,14.0,80.0,84.0
17,2019-01-01 17:00:00,207.99,1.0,48.0,21.0,80.0,84.0
18,2019-01-01 18:00:00,206.81,1.0,48.0,19.0,78.0,81.0
19,2019-01-01 19:00:00,208.88,1.0,48.0,19.0,81.0,84.0
20,2019-01-01 20:00:00,203.64,1.0,48.0,25.0,81.0,84.0
21,2019-01-01 21:00:00,197.14,0.0,48.0,32.0,81.0,84.0
22,2019-01-01 22:00:00,234.47,0.0,6.0,35.0,81.0,84.0
23,2019-01-01 23:00:00,232.8,0.0,0.0,44.0,78.0,83.0
24,2019-01-02 00:00:00,227.78,0.0,0.0,47.0,78.0,82.0
25,2019-01-02 01:00:00,232.21,0.0,0.0,45.0,79.0,84.0
26,2019-01-02 02:00:00,228.35,0.0,0.0,46.0,80.0,83.0
27,2019-01-02 03:00:00,229.93,4.0,0.0,47.0,80.0,83.0
28,2019-01-02 04:00:00,186.07,42.0,89.0,45.0,81.0,83.0
29,2019-01-02 05:00:00,232.83,90.0,48.0,45.0,82.0,83.0
30,2019-01-02 06:00:00,199.44,154.0,164.0,41.0,83.0,83.0
31,2019-01-02 07:00:00,164.2,100.0,218.0,31.0,84.0,83.0
32,2019-01-02 08:00:00,163.63,143.0,272.0,33.0,84.0,83.0
33,2019-01-02 09:00:00,225.07,222.0,144.0,42.0,86.0,83.0
34,2019-01-02 10:00:00,309.55,348.0,8.0,46.0,86.0,84.0
35,2019-01-02 11:00:00,318.82,352.0,0.0,38.0,86.0,84.0
36,2019-01-02 12:00:00,315.73,355.0,0.0,44.0,86.0,84.0
37,2019-01-02 13:00:00,288.11,441.0,78.0,45.0,86.0,84.0
38,2019-01-02 14:00:00,286.38,443.0,85.0,42.0,87.0,84.0
39,2019-01-02 15:00:00,268.28,443.0,134.0,43.0,87.0,84.0
40,2019-01-02 16:00:00,219.07,442.0,311.0,43.0,87.0,84.0
41,2019-01-02 17:00:00,206.27,442.0,368.0,45.0,88.0,84.0
42,2019-01-02 18:00:00,239.89,443.0,224.0,47.0,88.0,85.0
43,2019-01-02 19:00:00,289.5,443.0,70.0,49.0,88.0,85.0
44,2019-01-02 20:00:00,305.29,443.0,37.0,47.0,85.0,85.0
45,2019-01-02 21:00:00,306.07,442.0,37.0,46.0,84.0,85.0
46,2019-01-02 22:00:00,265.91,356.0,108.0,45.0,84.0,84.0
