,Solar,Wind Offshore,Wind Onshore
2019-01-01 00:00:00+00:00,0.0,3865.0,7806.0
2019-01-01 00:30:00+00:00,0.0,3865.0,7806.0
2019-01-01 01:00:00+00:00,0.0,3969.0,7447.0
2019-01-01 01:30:00+00:00,0.0,3969.0,7447.0
2019-01-01 02:00:00+00:00,0.0,3976.0,7055.0
2019-01-01 02:30:00+00:00,0.0,3976.0,7055.0
2019-01-01 03:00:00+00:00,0.0,3971.0,6560.0
2019-01-01 03:30:00+00:00,0.0,3971.0,6560.0
2019-01-01 04:00:00+00:00,0.0,3905.0,6155.0
2019-01-01 04:30:00+00:00,0.0,3905.0,6155.0
2019-01-01 05:00:00+00:00,0.0,3849.0,5759.0
2019-01-01 05:30:00+00:00,0.0,3849.0,5759.0
2019-01-01 06:00:00+00:00,0.0,3753.0,5412.0
2019-01-01 06:30:00+00:00,0.0,3753.0,5412.0
2019-01-01 07:00:00+00:00,0.0,3591.0,5072.0
2019-01-01 07:30:00+00:00,0.0,3591.0,5072.0
2019-01-01 08:00:00+00:00,58.0,3386.0,4783.0
2019-01-01 08:30:00+00:00,205.0,3386.0,4783.0
2019-01-01 09:00:00+00:00,469.0,3165.0,4456.0
2019-01-01 09:30:00+00:00,797.0,3165.0,4456.0
2019-01-01 10:00:00+00:00,1131.0,3001.0,4248.0
2019-01-01 10:30:00+00:00,1459.0,3001.0,4248.0
2019-01-01 11:00:00+00:00,1769.0,2914.0,4090.0
2019-01-01 11:30:00+00:00,2000.0,2914.0,4090.0
2019-01-01 12:00:00+00:00,2093.0,2912.0,4002.0
2019-01-01 12:30:00+00:00,2023.0,2912.0,4002.0
2019-01-01 13:00:00+00:00,1790.0,2947.0,3853.0
2019-01-01 13:30:00+00:00,1455.0,2947.0,3853.0
2019-01-01 14:00:00+00:00,1081.0,3004.0,3653.0
2019-01-01 14:30:00+00:00,688.0,3004.0,3653.0
2019-01-01 15:00:00+00:00,304.0,3013.0,3380.0
2019-01-01 15:30:00+00:00,36.0,3013.0,3380.0
2019-01-01 16:00:00+00:00,0.0,3095.0,3162.0
2019-01-01 16:30:00+00:00,0.0,3095.0,3162.0
2019-01-01 17:00:00+00:00,0.0,3200.0,3015.0
2019-01-01 17:30:00+00:00,0.0,3200.0,3015.0
2019-01-01 18:00:00+00:00,0.0,3197.0,2834.0
2019-01-01 18:30:00+00:00,0.0,3197.0,2834.0
2019-01-01 19:00:00+00:00,0.0,3224.0,2697.0
2019-01-01 19:30:00+00:00,0.0,3224.0,2697.0
2019-01-01 20:00:00+00:00,0.0,3214.0,2594.0
2019-01-01 20:30:00+00:00,0.0,3214.0,2594.0
2019-01-01 21:00:00+00:00,0.0,3204.0,2501.0
2019-01-01 21:30:00+00:00,0.0,3204.0,2501.0
2019-01-01 22:00:00+00:00,0.0,3095.0,2310.0
2019-01-01 22:30:00+00:00,0.0,3095.0,2310.0
2019-01-01 23:00:00+00:00,0.0,2962.0,2119.0
2019-01-01 23:30:00+00:00,0.0,2962.0,2119.0
2019-01-02 00:00:00+00:00,0.0,2883.0,2030.0
2019-01-02 00:30:00+00:00,0.0,2883.0,2030.0
2019-01-02 01:00:00+00:00,0.0,2758.0,1877.0
2019-01-02 01:30:00+00:00,0.0,2758.0,1877.0
2019-01-02 02:00:00+00:00,0.0,2605.0,1730.0
2019-01-02 02:30:00+00:00,0.0,2605.0,1730.0
2019-01-02 03:00:00+00:00,0.0,2513.0,1654.0
2019-01-02 03:30:00+00:00,0.0,2513.0,1654.0
2019-01-02 04:00:00+00:00,0.0,2451.0,1612.0
2019-01-02 04:30:00+00:00,0.0,2451.0,1612.0
2019-01-02 05:00:00+00:00,0.0,2385.0,1583.0
2019-01-02 05:30:00+00:00,0.0,2385.0,1583.0
2019-01-02 06:00:00+00:00,0.0,2326.0,1550.0
2019-01-02 06:30:00+00:00,0.0,2326.0,1550.0
2019-01-02 07:00:00+00:00,0.0,2266.0,1518.0
2019-01-02 07:30:00+00:00,0.0,2266.0,1518.0
2019-01-02 08:00:00+00:00,95.0,2147.0,1475.0
2019-01-02 08:30:00+00:00,357.0,2147.0,1475.0
2019-01-02 09:00:00+00:00,838.0,2115.0,1453.0
2019-01-02 09:30:00+00:00,1420.0,2115.0,1453.0
2019-01-02 10:00:00+00:00,1960.0,1950.0,1414.0
2019-01-02 10:30:00+00:00,2395.0,1950.0,1414.0
2019-01-02 11:00:00+00:00,2684.0,1844.0,1380.0
2019-01-02 11:30:00+00:00,2805.0,1844.0,1380.0
2019-01-02 12:00:00+00:00,2748.0,1738.0,1333.0
2019-01-02 12:30:00+00:00,2543.0,1738.0,1333.0
2019-01-02 13:00:00+00:00,2219.0,1576.0,1263.0
2019-01-02 13:30:00+00:00,1801.0,1576.0,1263.0
2019-01-02 14:00:00+00:00,1314.0,1448.0,1202.0
2019-01-02 14:30:00+00:00,815.0,1448.0,1202.0
2019-01-02 15:00:00+00:00,369.0,1345.0,1147.0
2019-01-02 15:30:00+00:00,71.0,1345.0,1147.0
2019-01-02 16:00:00+00:00,0.0,1299.0,1158.0
2019-01-02 16:30:00+00:00,0.0,1299.0,1158.0
2019-01-02 17:00:00+00:00,0.0,1267.0,1196.0
2019-01-02 17:30:00+00:00,0.0,1267.0,1196.0
2019-01-02 18:00:00+00:00,0.0,1231.0,1225.0
2019-01-02 18:30:00+00:00,0.0,1231.0,1225.0
2019-01-02 19:00:00+00:00,0.0,1202.0,1250.0
2019-01-02 19:30:00+00:00,0.0,1202.0,1250.0
2019-01-02 20:00:00+00:00,0.0,1190.0,1286.0
2019-01-02 20:30:00+00:00,0.0,1190.0,1286.0
2019-01-02 21:00:00+00:00,0.0,1164.0,1307.0
2019-01-02 21:30:00+00:00,0.0,1164.0,1307.0
2019-01-02 22:00:00+00:00,0.0,1082.0,1288.0
2019-01-02 22:30:00+00:00,0.0,1082.0,1288.0
2019-01-02 23:00:00+00:00,0.0,1027.0,1287.0
2019-01-02 23:30:00+00:00,0.0,1027.0,1287.0
2019-01-03 00:00:00+00:00,0.0,1034.0,1312.0
2019-01-03 00:30:00+00:00,0.0,1034.0,1312.0
2019-01-03 01:00:00+00:00,0.0,1009.0,1320.0
2019-01-03 01:30:00+00:00,0.0,1009.0,1320.0
2019-01-03 02:00:00+00:00,0.0,974.0,1319.0
