UTC time,coal,nat_gas,hydro,solar,wind
2023-07-20 00:00:00,3484.0,606.0,1507.0,182.0,166.0
2023-07-20 01:00:00,3511.0,637.0,1503.0,118.0,232.0
2023-07-20 02:00:00,3529.0,616.0,1493.0,32.0,232.0
2023-07-20 03:00:00,3516.0,614.0,1479.0,1.0,231.0
2023-07-20 04:00:00,3507.0,508.0,1394.0,0.0,136.0
2023-07-20 05:00:00,3482.0,474.0,1237.0,0.0,101.0
2023-07-20 06:00:00,3398.0,477.0,1154.0,0.0,110.0
2023-07-20 07:00:00,3356.0,433.0,1101.0,0.0,70.0
2023-07-20 08:00:00,3300.0,443.0,1186.0,0.0,50.0
2023-07-20 09:00:00,3338.0,429.0,1135.0,0.0,96.0
2023-07-20 10:00:00,3337.0,409.0,1119.0,0.0,111.0
2023-07-20 11:00:00,3352.0,377.0,1025.0,0.0,127.0
2023-07-20 12:00:00,3371.0,401.0,1048.0,0.0,220.0
2023-07-20 13:00:00,3321.0,356.0,1141.0,14.0,301.0
2023-07-20 14:00:00,3233.0,316.0,1167.0,96.0,241.0
2023-07-20 15:00:00,3277.0,350.0,1226.0,172.0,275.0
2023-07-20 16:00:00,3228.0,348.0,1256.0,173.0,430.0
2023-07-20 17:00:00,3205.0,344.0,1220.0,192.0,472.0
2023-07-20 18:00:00,3155.0,307.0,1271.0,192.0,465.0
2023-07-20 19:00:00,3144.0,312.0,1267.0,182.0,549.0
2023-07-20 20:00:00,3126.0,285.0,1323.0,172.0,681.0
2023-07-20 21:00:00,3191.0,301.0,1358.0,154.0,606.0
2023-07-20 22:00:00,3272.0,296.0,1436.0,104.0,585.0
2023-07-20 23:00:00,3068.0,278.0,1508.0,112.0,641.0
