,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind
0,2023-06-26 00:00:00,512.22,2869.0,208.0,1389.0,199.0,214.0
1,2023-06-26 01:00:00,521.31,2961.0,204.0,1394.0,149.0,223.0
2,2023-06-26 02:00:00,538.69,3091.0,243.0,1384.0,54.0,225.0
3,2023-06-26 03:00:00,540.1,3119.0,228.0,1363.0,2.0,297.0
4,2023-06-26 04:00:00,509.24,2822.0,177.0,1330.0,0.0,458.0
5,2023-06-26 05:00:00,465.66,2371.0,173.0,1291.0,0.0,603.0
6,2023-06-26 06:00:00,422.69,1964.0,218.0,1234.0,0.0,736.0
7,2023-06-26 07:00:00,411.63,1845.0,208.0,1130.0,0.0,828.0
8,2023-06-26 08:00:00,399.62,1783.0,172.0,1173.0,0.0,835.0
9,2023-06-26 09:00:00,401.19,1798.0,171.0,1146.0,0.0,861.0
10,2023-06-26 10:00:00,398.34,1772.0,170.0,1124.0,0.0,883.0
11,2023-06-26 11:00:00,406.3,1780.0,171.0,1061.0,0.0,873.0
12,2023-06-26 12:00:00,408.45,1765.0,171.0,1108.0,1.0,790.0
13,2023-06-26 13:00:00,396.67,1730.0,170.0,1174.0,49.0,761.0
14,2023-06-26 14:00:00,386.56,1752.0,169.0,1271.0,149.0,706.0
15,2023-06-26 15:00:00,380.05,1733.0,205.0,1285.0,203.0,703.0
16,2023-06-26 16:00:00,391.45,1879.0,241.0,1308.0,216.0,719.0
17,2023-06-26 17:00:00,405.83,1954.0,282.0,1326.0,227.0,620.0
18,2023-06-26 18:00:00,410.03,2034.0,276.0,1334.0,229.0,645.0
19,2023-06-26 19:00:00,409.64,2072.0,275.0,1330.0,226.0,695.0
20,2023-06-26 20:00:00,402.44,2084.0,275.0,1365.0,220.0,764.0
21,2023-06-26 21:00:00,408.41,2227.0,278.0,1343.0,216.0,867.0
22,2023-06-26 22:00:00,404.8,2261.0,279.0,1354.0,198.0,954.0
23,2023-06-26 23:00:00,422.32,2504.0,296.0,1354.0,163.0,1009.0
