,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind
0,2023-06-26 00:00:00,462.68,2869.0,208.0,1389.0,199.0,214.0
1,2023-06-26 01:00:00,471.68,2961.0,204.0,1394.0,149.0,223.0
2,2023-06-26 02:00:00,488.11,3091.0,243.0,1384.0,54.0,225.0
3,2023-06-26 03:00:00,490.08,3119.0,228.0,1363.0,2.0,297.0
4,2023-06-26 04:00:00,461.71,2822.0,177.0,1330.0,0.0,458.0
5,2023-06-26 05:00:00,420.45,2371.0,173.0,1291.0,0.0,603.0
6,2023-06-26 06:00:00,378.93,1964.0,218.0,1234.0,0.0,736.0
7,2023-06-26 07:00:00,368.78,1845.0,208.0,1130.0,0.0,828.0
8,2023-06-26 08:00:00,357.99,1783.0,172.0,1173.0,0.0,835.0
9,2023-06-26 09:00:00,359.6,1798.0,171.0,1146.0,0.0,861.0
10,2023-06-26 10:00:00,356.96,1772.0,170.0,1124.0,0.0,883.0
11,2023-06-26 11:00:00,364.5,1780.0,171.0,1061.0,0.0,873.0
12,2023-06-26 12:00:00,366.28,1765.0,171.0,1108.0,1.0,790.0
13,2023-06-26 13:00:00,354.71,1730.0,170.0,1174.0,49.0,761.0
14,2023-06-26 14:00:00,344.47,1752.0,169.0,1271.0,149.0,706.0
15,2023-06-26 15:00:00,337.35,1733.0,205.0,1285.0,203.0,703.0
16,2023-06-26 16:00:00,347.74,1879.0,241.0,1308.0,216.0,719.0
17,2023-06-26 17:00:00,360.49,1954.0,282.0,1326.0,227.0,620.0
18,2023-06-26 18:00:00,364.75,2034.0,276.0,1334.0,229.0,645.0
19,2023-06-26 19:00:00,364.61,2072.0,275.0,1330.0,226.0,695.0
20,2023-06-26 20:00:00,358.03,2084.0,275.0,1365.0,220.0,764.0
21,2023-06-26 21:00:00,364.1,2227.0,278.0,1343.0,216.0,867.0
22,2023-06-26 22:00:00,361.0,2261.0,279.0,1354.0,198.0,954.0
23,2023-06-26 23:00:00,377.87,2504.0,296.0,1354.0,163.0,1009.0
