,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
0,2019-01-01 00:00:00,672.95,4312.0,1275.0,40.0,86.0,489.0,106.0
1,2019-01-01 01:00:00,682.99,4336.0,1527.0,41.0,2.0,406.0,104.0
2,2019-01-01 02:00:00,689.13,4398.0,1669.0,38.0,0.0,323.0,101.0
3,2019-01-01 03:00:00,696.06,4454.0,1510.0,40.0,0.0,313.0,102.0
4,2019-01-01 04:00:00,695.38,4465.0,1411.0,38.0,0.0,353.0,102.0
5,2019-01-01 05:00:00,697.39,4442.0,1313.0,43.0,0.0,355.0,102.0
6,2019-01-01 06:00:00,697.71,4411.0,1308.0,39.0,0.0,352.0,101.0
7,2019-01-01 07:00:00,690.21,4463.0,1354.0,41.0,0.0,415.0,101.0
8,2019-01-01 08:00:00,691.64,4484.0,1339.0,43.0,0.0,408.0,101.0
9,2019-01-01 09:00:00,697.35,4340.0,1065.0,42.0,0.0,413.0,100.0
10,2019-01-01 10:00:00,703.69,4406.0,1057.0,41.0,0.0,373.0,102.0
11,2019-01-01 11:00:00,713.7,4413.0,1022.0,40.0,0.0,301.0,101.0
12,2019-01-01 12:00:00,716.47,4417.0,1108.0,44.0,0.0,247.0,100.0
13,2019-01-01 13:00:00,721.15,4407.0,1125.0,39.0,0.0,206.0,99.0
14,2019-01-01 14:00:00,722.59,4416.0,1123.0,42.0,0.0,193.0,101.0
15,2019-01-01 15:00:00,706.3,4398.0,1151.0,41.0,0.0,320.0,100.0
16,2019-01-01 16:00:00,690.8,4389.0,1029.0,40.0,74.0,422.0,98.0
17,2019-01-01 17:00:00,654.83,4145.0,925.0,42.0,350.0,461.0,101.0
18,2019-01-01 18:00:00,629.66,3638.0,922.0,40.0,517.0,395.0,102.0
19,2019-01-01 19:00:00,622.66,3531.0,887.0,42.0,526.0,422.0,103.0
20,2019-01-01 20:00:00,587.05,2970.0,878.0,45.0,516.0,544.0,104.0
21,2019-01-01 21:00:00,549.55,2619.0,877.0,43.0,561.0,680.0,105.0
22,2019-01-01 22:00:00,516.23,2369.0,960.0,40.0,638.0,778.0,103.0
23,2019-01-01 23:00:00,524.03,2625.0,1126.0,44.0,591.0,880.0,102.0
24,2019-01-02 00:00:00,594.91,3648.0,1353.0,45.0,228.0,923.0,103.0
25,2019-01-02 01:00:00,618.66,4211.0,1563.0,43.0,5.0,1031.0,101.0
26,2019-01-02 02:00:00,623.77,4327.0,1614.0,43.0,0.0,1004.0,103.0
27,2019-01-02 03:00:00,621.63,4315.0,1642.0,46.0,0.0,1016.0,103.0
28,2019-01-02 04:00:00,623.14,4292.0,1646.0,41.0,0.0,995.0,102.0
29,2019-01-02 05:00:00,616.35,4127.0,1747.0,45.0,0.0,994.0,103.0
30,2019-01-02 06:00:00,616.3,4108.0,1650.0,42.0,0.0,1011.0,101.0
31,2019-01-02 07:00:00,620.06,4106.0,1504.0,43.0,0.0,998.0,102.0
