UTC time,nat_gas,coal,solar,hydro,biomass,oil,unknown,wind,geothermal
2019-01-01 00:00:00,207.0,200.0,0.0,173.0,40.0,17.0,46.0,409.0,0.0
2019-01-01 01:00:00,205.0,200.0,0.0,150.0,40.0,17.0,46.0,405.0,0.0
2019-01-01 02:00:00,206.0,200.0,0.0,157.0,40.0,17.0,46.0,380.0,0.0
2019-01-01 03:00:00,205.0,200.0,0.0,123.0,40.0,17.0,46.0,424.0,0.0
2019-01-01 04:00:00,214.0,200.0,0.0,154.0,40.0,18.0,46.0,374.0,0.0
2019-01-01 05:00:00,213.0,200.0,0.0,234.0,40.0,19.0,46.0,345.0,0.0
2019-01-01 06:00:00,215.0,200.0,0.0,282.0,40.0,18.0,46.0,345.0,0.0
2019-01-01 07:00:00,215.0,200.0,3.0,383.0,40.0,18.0,46.0,326.0,0.0
2019-01-01 08:00:00,216.0,199.0,8.0,382.0,40.0,17.0,46.0,276.0,0.0
2019-01-01 09:00:00,216.0,200.0,11.0,448.0,40.0,18.0,46.0,213.0,0.0
2019-01-01 10:00:00,216.0,200.0,13.0,468.0,40.0,19.0,46.0,132.0,0.0
2019-01-01 11:00:00,215.0,200.0,13.0,478.0,40.0,18.0,46.0,97.0,0.0
2019-01-01 12:00:00,214.0,200.0,12.0,449.0,40.0,18.0,46.0,92.0,0.0
2019-01-01 13:00:00,214.0,200.0,9.0,419.0,40.0,18.0,46.0,74.0,0.0
2019-01-01 14:00:00,214.0,200.0,3.0,418.0,40.0,18.0,46.0,59.0,0.0
2019-01-01 15:00:00,213.0,200.0,0.0,494.0,40.0,17.0,46.0,56.0,0.0
2019-01-01 16:00:00,215.0,199.0,0.0,682.0,40.0,17.0,46.0,61.0,0.0
2019-01-01 17:00:00,215.0,200.0,0.0,744.0,40.0,17.0,46.0,61.0,0.0
2019-01-01 18:00:00,215.0,201.0,0.0,762.0,40.0,16.0,46.0,35.0,0.0
2019-01-01 19:00:00,215.0,200.0,0.0,743.0,40.0,16.0,46.0,23.0,0.0
2019-01-01 20:00:00,215.0,200.0,0.0,739.0,40.0,17.0,46.0,24.0,0.0
2019-01-01 21:00:00,215.0,199.0,0.0,622.0,40.0,21.0,46.0,31.0,0.0
2019-01-01 22:00:00,212.0,199.0,0.0,579.0,40.0,21.0,46.0,27.0,0.0
2019-01-01 23:00:00,212.0,200.0,0.0,317.0,40.0,22.0,46.0,21.0,0.0
2019-01-02 00:00:00,211.0,199.0,0.0,235.0,40.0,21.0,46.0,22.0,0.0
2019-01-02 01:00:00,210.0,200.0,0.0,238.0,40.0,21.0,46.0,23.0,0.0
2019-01-02 02:00:00,209.0,200.0,0.0,265.0,40.0,21.0,46.0,31.0,0.0
2019-01-02 03:00:00,213.0,200.0,0.0,256.0,40.0,21.0,46.0,64.0,0.0
2019-01-02 04:00:00,214.0,200.0,0.0,268.0,40.0,25.0,46.0,76.0,0.0
2019-01-02 05:00:00,214.0,200.0,0.0,518.0,40.0,23.0,46.0,79.0,0.0
2019-01-02 06:00:00,214.0,200.0,0.0,716.0,40.0,19.0,46.0,117.0,0.0
2019-01-02 07:00:00,214.0,200.0,4.0,816.0,40.0,17.0,46.0,210.0,0.0
2019-01-02 08:00:00,214.0,199.0,9.0,738.0,40.0,17.0,46.0,341.0,0.0
2019-01-02 09:00:00,215.0,200.0,12.0,744.0,40.0,18.0,46.0,410.0,0.0
2019-01-02 10:00:00,216.0,200.0,14.0,745.0,40.0,18.0,46.0,440.0,0.0
2019-01-02 11:00:00,216.0,200.0,14.0,720.0,40.0,18.0,46.0,460.0,0.0
2019-01-02 12:00:00,214.0,200.0,13.0,701.0,40.0,18.0,46.0,460.0,0.0
2019-01-02 13:00:00,214.0,200.0,10.0,719.0,40.0,18.0,46.0,435.0,0.0
2019-01-02 14:00:00,216.0,199.0,3.0,719.0,40.0,18.0,46.0,459.0,0.0
2019-01-02 15:00:00,215.0,200.0,0.0,753.0,40.0,17.0,46.0,432.0,0.0
2019-01-02 16:00:00,215.0,200.0,0.0,804.0,40.0,19.0,46.0,416.0,0.0
2019-01-02 17:00:00,216.0,199.0,0.0,839.0,40.0,20.0,46.0,400.0,0.0
2019-01-02 18:00:00,217.0,200.0,0.0,848.0,40.0,18.0,46.0,404.0,0.0
2019-01-02 19:00:00,216.0,200.0,0.0,837.0,40.0,16.0,46.0,401.0,0.0
2019-01-02 20:00:00,217.0,200.0,0.0,794.0,40.0,18.0,46.0,412.0,0.0
2019-01-02 21:00:00,214.0,200.0,0.0,714.0,40.0,21.0,46.0,431.0,0.0
2019-01-02 22:00:00,210.0,200.0,0.0,591.0,40.0,21.0,46.0,437.0,0.0
2019-01-02 23:00:00,207.0,199.0,0.0,334.0,40.0,21.0,46.0,403.0,0.0
2019-01-03 00:00:00,205.0,200.0,0.0,241.0,40.0,21.0,46.0,322.0,0.0
2019-01-03 01:00:00,205.0,200.0,0.0,216.0,40.0,20.0,46.0,304.0,0.0
2019-01-03 02:00:00,205.0,199.0,0.0,230.0,40.0,20.0,46.0,272.0,0.0
2019-01-03 03:00:00,206.0,199.0,0.0,264.0,40.0,22.0,46.0,264.0,0.0
2019-01-03 04:00:00,215.0,199.0,0.0,264.0,40.0,28.0,46.0,289.0,0.0
2019-01-03 05:00:00,215.0,199.0,0.0,552.0,40.0,27.0,46.0,326.0,0.0
2019-01-03 06:00:00,216.0,199.0,0.0,681.0,40.0,24.0,46.0,331.0,0.0
2019-01-03 07:00:00,241.0,199.0,6.0,770.0,40.0,22.0,46.0,339.0,0.0
2019-01-03 08:00:00,243.0,199.0,14.0,846.0,40.0,19.0,46.0,338.0,0.0
2019-01-03 09:00:00,239.0,199.0,19.0,868.0,40.0,17.0,46.0,319.0,0.0
2019-01-03 10:00:00,266.0,199.0,22.0,851.0,40.0,17.0,46.0,325.0,0.0
2019-01-03 11:00:00,286.0,199.0,21.0,776.0,40.0,17.0,46.0,340.0,0.0
2019-01-03 12:00:00,272.0,199.0,18.0,686.0,40.0,17.0,46.0,406.0,0.0
2019-01-03 13:00:00,256.0,199.0,12.0,739.0,40.0,17.0,46.0,430.0,0.0
2019-01-03 14:00:00,266.0,200.0,4.0,689.0,40.0,17.0,46.0,433.0,0.0
2019-01-03 15:00:00,279.0,199.0,0.0,759.0,40.0,18.0,46.0,428.0,0.0
2019-01-03 16:00:00,278.0,199.0,0.0,824.0,40.0,20.0,46.0,398.0,0.0
2019-01-03 17:00:00,302.0,199.0,0.0,843.0,40.0,20.0,46.0,345.0,0.0
2019-01-03 18:00:00,308.0,199.0,0.0,879.0,40.0,21.0,46.0,317.0,0.0
