UTC Time,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Water Reservoir,Solar,Wind Onshore
2019-04-30 21:00:00+00:00,False,False,False,False,True,True
2019-04-30 22:00:00+00:00,False,False,False,False,True,True
2019-04-30 23:00:00+00:00,False,False,False,False,True,True
2019-05-01 00:00:00+00:00,False,False,False,False,True,True
2019-05-01 01:00:00+00:00,False,False,False,False,True,True
2019-05-01 02:00:00+00:00,False,False,False,False,True,True
2019-05-01 18:00:00+00:00,False,False,False,False,True,True
2019-05-01 19:00:00+00:00,False,False,False,False,True,True
2019-05-01 20:00:00+00:00,False,False,False,False,True,True
2019-05-01 21:00:00+00:00,False,False,False,False,True,True
2019-05-01 22:00:00+00:00,False,False,False,False,True,True
2019-05-01 23:00:00+00:00,False,False,False,False,True,True
2019-05-02 00:00:00+00:00,False,False,False,False,True,True
2019-05-02 01:00:00+00:00,False,False,False,False,True,True
2019-05-02 02:00:00+00:00,False,False,False,False,True,True
2019-05-02 18:00:00+00:00,False,False,False,False,True,True
2019-05-02 19:00:00+00:00,False,False,False,False,True,True
2019-05-02 20:00:00+00:00,False,False,False,False,True,True
2020-01-28 04:00:00+00:00,True,True,True,True,False,False
2022-08-14 11:00:00+00:00,True,True,True,True,False,False
2022-08-16 12:00:00+00:00,True,True,True,True,False,False
