,UTC time,carbon_intensity,coal,solar,wind,nuclear,other,nat_gas,hydro
0,2019-01-01 00:00:00,376.17,9400.0,161.0,5020.0,3915.0,26.0,19491.0,189.0
1,2019-01-01 01:00:00,381.61,10389.0,0.0,5597.0,3915.0,24.0,20168.0,188.0
2,2019-01-01 02:00:00,368.07,9953.0,0.0,6637.0,3915.0,23.0,19096.0,159.0
3,2019-01-01 03:00:00,332.87,8359.0,0.0,8692.0,3915.0,23.0,17909.0,133.0
4,2019-01-01 04:00:00,298.23,7253.0,0.0,11110.0,3914.0,23.0,16086.0,99.0
5,2019-01-01 05:00:00,280.3,6908.0,0.0,12431.0,3915.0,24.0,14365.0,99.0
6,2019-01-01 06:00:00,258.32,6114.0,0.0,13676.0,3915.0,24.0,13386.0,99.0
7,2019-01-01 07:00:00,252.15,6215.0,0.0,14318.0,3915.0,26.0,12517.0,168.0
8,2019-01-01 08:00:00,255.93,6412.0,0.0,14127.0,3915.0,22.0,12459.0,168.0
9,2019-01-01 09:00:00,259.1,6322.0,0.0,13687.0,3915.0,22.0,12903.0,169.0
10,2019-01-01 10:00:00,266.08,6584.0,0.0,13345.0,3914.0,22.0,13266.0,169.0
11,2019-01-01 11:00:00,268.9,6607.0,0.0,13238.0,3914.0,23.0,13905.0,168.0
12,2019-01-01 12:00:00,283.44,6996.0,0.0,12348.0,3914.0,22.0,15322.0,203.0
13,2019-01-01 13:00:00,300.5,7572.0,0.0,11367.0,3914.0,21.0,16812.0,205.0
14,2019-01-01 14:00:00,312.58,7823.0,1.0,10412.0,3914.0,16.0,18070.0,204.0
15,2019-01-01 15:00:00,325.65,8272.0,28.0,9485.0,3914.0,12.0,19010.0,204.0
16,2019-01-01 16:00:00,347.96,9357.0,73.0,8162.0,3914.0,12.0,19984.0,205.0
17,2019-01-01 17:00:00,364.43,10055.0,136.0,6986.0,3914.0,13.0,20859.0,204.0
18,2019-01-01 18:00:00,376.59,10598.0,204.0,6126.0,3914.0,13.0,21260.0,181.0
19,2019-01-01 19:00:00,385.26,10966.0,250.0,5501.0,3914.0,14.0,21210.0,168.0
20,2019-01-01 20:00:00,391.16,11090.0,199.0,5043.0,3914.0,14.0,21071.0,168.0
21,2019-01-01 21:00:00,398.39,11369.0,156.0,4596.0,3914.0,14.0,20911.0,169.0
22,2019-01-01 22:00:00,407.7,11686.0,87.0,3943.0,3915.0,14.0,21252.0,194.0
23,2019-01-01 23:00:00,414.86,12097.0,38.0,3493.0,3915.0,13.0,22126.0,230.0
24,2019-01-02 00:00:00,417.52,12394.0,7.0,3253.0,3915.0,14.0,24321.0,229.0
25,2019-01-02 01:00:00,419.37,12439.0,0.0,2934.0,3915.0,14.0,25977.0,202.0
26,2019-01-02 02:00:00,421.19,12487.0,0.0,2779.0,3915.0,14.0,25947.0,202.0
27,2019-01-02 03:00:00,422.21,12527.0,0.0,2783.0,3915.0,14.0,25495.0,177.0
28,2019-01-02 04:00:00,424.6,12538.0,0.0,2651.0,3915.0,16.0,24631.0,176.0
29,2019-01-02 05:00:00,426.74,12287.0,0.0,2427.0,3915.0,13.0,23453.0,140.0
30,2019-01-02 06:00:00,422.63,11681.0,0.0,2500.0,3915.0,13.0,22266.0,141.0
31,2019-01-02 07:00:00,414.95,10684.0,0.0,2403.0,3914.0,13.0,21958.0,194.0
32,2019-01-02 08:00:00,411.0,10317.0,0.0,2535.0,3914.0,15.0,21539.0,169.0
33,2019-01-02 09:00:00,404.19,9983.0,0.0,2904.0,3914.0,15.0,21362.0,169.0
34,2019-01-02 10:00:00,398.3,9833.0,0.0,3325.0,3914.0,14.0,21504.0,169.0
35,2019-01-02 11:00:00,397.29,9988.0,0.0,3501.0,3914.0,13.0,22415.0,170.0
36,2019-01-02 12:00:00,408.75,11224.0,0.0,3279.0,3914.0,16.0,23759.0,206.0
37,2019-01-02 13:00:00,416.69,11936.0,0.0,2736.0,3914.0,13.0,26407.0,230.0
38,2019-01-02 14:00:00,420.27,12284.0,0.0,2373.0,3914.0,14.0,28564.0,231.0
39,2019-01-02 15:00:00,421.59,12296.0,11.0,2044.0,3914.0,15.0,30036.0,231.0
40,2019-01-02 16:00:00,420.36,12312.0,53.0,2036.0,3914.0,19.0,30945.0,245.0
41,2019-01-02 17:00:00,421.3,12285.0,121.0,1677.0,3914.0,18.0,32193.0,251.0
42,2019-01-02 18:00:00,424.95,12332.0,129.0,1130.0,3914.0,17.0,33586.0,213.0
43,2019-01-02 19:00:00,422.85,12256.0,150.0,1346.0,3914.0,15.0,33244.0,213.0
44,2019-01-02 20:00:00,422.19,12172.0,194.0,1281.0,3914.0,15.0,33512.0,213.0
45,2019-01-02 21:00:00,418.09,11957.0,154.0,1711.0,3913.0,15.0,32978.0,213.0
46,2019-01-02 22:00:00,415.73,11937.0,99.0,2027.0,3913.0,14.0,32754.0,249.0
47,2019-01-02 23:00:00,416.71,11861.0,47.0,1800.0,3912.0,15.0,33317.0,283.0
48,2019-01-03 00:00:00,417.07,11716.0,6.0,1550.0,3913.0,15.0,34850.0,237.0
49,2019-01-03 01:00:00,419.39,11711.0,0.0,1203.0,3913.0,16.0,35442.0,227.0
50,2019-01-03 02:00:00,424.0,11808.0,0.0,759.0,3914.0,14.0,35037.0,227.0
51,2019-01-03 03:00:00,425.76,11816.0,0.0,634.0,3914.0,14.0,34188.0,256.0
52,2019-01-03 04:00:00,424.89,11675.0,0.0,878.0,3914.0,17.0,32241.0,257.0
53,2019-01-03 05:00:00,428.12,11708.0,0.0,871.0,3913.0,16.0,29767.0,256.0
54,2019-01-03 06:00:00,433.35,11846.0,0.0,755.0,3914.0,16.0,27429.0,256.0
55,2019-01-03 07:00:00,425.93,11223.0,0.0,1187.0,3915.0,17.0,25876.0,309.0
56,2019-01-03 08:00:00,417.37,10744.0,0.0,1825.0,3914.0,15.0,24692.0,284.0
57,2019-01-03 09:00:00,406.65,10229.0,0.0,2525.0,3915.0,15.0,24114.0,281.0
58,2019-01-03 10:00:00,396.1,9781.0,0.0,3230.0,3915.0,15.0,23809.0,279.0
59,2019-01-03 11:00:00,396.72,9950.0,0.0,3295.0,3914.0,16.0,24622.0,251.0
60,2019-01-03 12:00:00,400.26,10855.0,0.0,3625.0,3915.0,13.0,25679.0,280.0
