UTC time,coal,nat_gas,oil,hydro,solar,wind
2023-09-30 00:00:00,0.0,2094.0,0.0,178.0,0.0,798.0
2023-09-30 01:00:00,0.0,1968.0,0.0,145.0,0.0,895.0
2023-09-30 02:00:00,0.0,1786.0,0.0,277.0,17.0,987.0
2023-09-30 03:00:00,0.0,1751.0,0.0,435.0,30.0,1046.0
2023-09-30 04:00:00,0.0,1916.0,0.0,522.0,45.0,1081.0
2023-09-30 05:00:00,0.0,1936.0,0.0,547.0,549.0,1114.0
2023-09-30 06:00:00,0.0,2044.0,0.0,697.0,1368.0,1095.0
2023-09-30 07:00:00,0.0,1607.0,0.0,596.0,2283.0,1226.0
2023-09-30 08:00:00,0.0,1216.0,0.0,157.0,3143.0,1243.0
2023-09-30 09:00:00,0.0,965.0,0.0,58.0,3781.0,1250.0
2023-09-30 10:00:00,0.0,881.0,0.0,58.0,3878.0,1320.0
2023-09-30 11:00:00,0.0,884.0,0.0,36.0,3711.0,1244.0
2023-09-30 12:00:00,0.0,856.0,0.0,42.0,3259.0,1238.0
2023-09-30 13:00:00,0.0,863.0,0.0,85.0,2512.0,1168.0
2023-09-30 14:00:00,0.0,1479.0,0.0,348.0,1514.0,1083.0
2023-09-30 15:00:00,0.0,2480.0,0.0,620.0,411.0,859.0
2023-09-30 16:00:00,0.0,3096.0,0.0,1051.0,13.0,758.0
2023-09-30 17:00:00,0.0,3120.0,0.0,985.0,40.0,797.0
2023-09-30 18:00:00,0.0,2882.0,0.0,907.0,29.0,872.0
2023-09-30 19:00:00,0.0,2660.0,0.0,746.0,0.0,940.0
2023-09-30 20:00:00,0.0,2561.0,0.0,642.0,0.0,1006.0
2023-09-30 21:00:00,0.0,2186.0,0.0,755.0,0.0,1011.0
2023-09-30 22:00:00,0.0,1672.0,0.0,299.0,0.0,995.0
2023-09-30 23:00:00,0.0,1287.0,0.0,331.0,0.0,1004.0
