UTC time,coal,nat_gas,nuclear,hydro,solar,wind,biomass,unknown
2023-10-03 00:00:00,3288.0,4479.0,1896.0,0.0,4.0,16611.0,1151.0,11768.0
2023-10-03 01:00:00,2884.0,3998.0,1896.0,0.0,4.0,18512.0,1153.0,12216.0
2023-10-03 02:00:00,2769.0,3853.0,1899.0,0.0,4.0,19749.0,1133.0,13191.0
2023-10-03 03:00:00,2762.0,3849.0,1900.0,0.0,4.0,20631.0,1106.0,14615.0
2023-10-03 04:00:00,2831.0,3896.0,1900.0,0.0,4.0,20812.0,1073.0,15467.0
2023-10-03 05:00:00,3748.0,4716.0,1900.0,0.0,5.0,18470.0,1075.0,16456.0
2023-10-03 06:00:00,4816.0,5864.0,1900.0,0.0,35.0,18735.0,1115.0,18349.0
2023-10-03 07:00:00,4688.0,6209.0,1900.0,0.0,91.0,19498.0,1152.0,18435.0
2023-10-03 08:00:00,4866.0,6414.0,1900.0,0.0,158.0,17743.0,1187.0,18579.0
2023-10-03 09:00:00,4286.0,5081.0,1899.0,0.0,258.0,17430.0,1170.0,18207.0
2023-10-03 10:00:00,3588.0,4353.0,1897.0,0.0,257.0,17051.0,1147.0,18703.0
2023-10-03 11:00:00,2813.0,3905.0,1896.0,0.0,333.0,16801.0,1162.0,19837.0
2023-10-03 12:00:00,2773.0,3795.0,1896.0,0.0,303.0,17316.0,1143.0,22142.0
2023-10-03 13:00:00,2763.0,3709.0,1896.0,0.0,393.0,15761.0,1146.0,24946.0
2023-10-03 14:00:00,2779.0,3731.0,1894.0,0.0,278.0,16945.0,1147.0,24345.0
2023-10-03 15:00:00,3492.0,3954.0,1896.0,0.0,266.0,20632.0,1046.0,20697.0
2023-10-03 16:00:00,4653.0,5961.0,1896.0,0.0,61.0,20706.0,1202.0,18287.0
2023-10-03 17:00:00,5402.0,8218.0,1897.0,0.0,4.0,20106.0,1232.0,18403.0
2023-10-03 18:00:00,5469.0,8473.0,1898.0,0.0,4.0,19363.0,1263.0,17593.0
2023-10-03 19:00:00,4989.0,8111.0,1898.0,0.0,4.0,19036.0,1275.0,16709.0
2023-10-03 20:00:00,4233.0,6353.0,1896.0,0.0,4.0,19808.0,1251.0,15189.0
2023-10-03 21:00:00,3567.0,4646.0,1896.0,0.0,4.0,19783.0,1236.0,13243.0
2023-10-03 22:00:00,2909.0,3336.0,1896.0,0.0,4.0,19419.0,1202.0,12197.0
2023-10-03 23:00:00,2762.0,3330.0,1849.0,0.0,4.0,18388.0,1173.0,11617.0
