Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass,unknown
38064,2023-05-06 00:00:00,424.4,5005.0,10397.0,1892.0,0.0,4.0,1590.0,1773.0,7422.0
38065,2023-05-06 01:00:00,431.91,5281.0,9586.0,1892.0,0.0,4.0,1350.0,1757.0,7141.0
38066,2023-05-06 02:00:00,436.6,5508.0,9418.0,1893.0,0.0,4.0,1206.0,1790.0,7097.0
38067,2023-05-06 03:00:00,439.83,5500.0,9441.0,1892.0,0.0,4.0,1095.0,1746.0,7263.0
38068,2023-05-06 04:00:00,451.5,5474.0,9878.0,1892.0,0.0,61.0,611.0,1746.0,8601.0
38069,2023-05-06 05:00:00,466.98,5443.0,9266.0,1896.0,0.0,234.0,483.0,1757.0,12446.0
38070,2023-05-06 06:00:00,483.89,5156.0,8848.0,1896.0,0.0,379.0,568.0,1732.0,19731.0
38071,2023-05-06 07:00:00,502.77,4941.0,6828.0,1895.0,0.0,635.0,606.0,1730.0,28828.0
38072,2023-05-06 08:00:00,513.16,4907.0,5726.0,1896.0,0.0,910.0,760.0,1675.0,37163.0
38073,2023-05-06 09:00:00,515.47,4892.0,5114.0,1896.0,0.0,1015.0,1117.0,1670.0,41744.0
38074,2023-05-06 10:00:00,508.18,4773.0,6059.0,1892.0,0.0,1197.0,1495.0,1687.0,42233.0
38075,2023-05-06 11:00:00,512.8,4684.0,5280.0,1894.0,0.0,822.0,1222.0,1642.0,39512.0
38076,2023-05-06 12:00:00,509.22,4748.0,5223.0,1896.0,0.0,753.0,1178.0,1643.0,35295.0
38077,2023-05-06 13:00:00,502.69,4789.0,5833.0,1896.0,0.0,487.0,1334.0,1634.0,30865.0
38078,2023-05-06 14:00:00,494.27,4965.0,6571.0,1896.0,0.0,321.0,1424.0,1622.0,25997.0
38079,2023-05-06 15:00:00,485.52,5274.0,7679.0,1896.0,0.0,195.0,1267.0,1642.0,20866.0
38080,2023-05-06 16:00:00,457.51,5290.0,11498.0,1896.0,0.0,241.0,1734.0,1713.0,16690.0
38081,2023-05-06 17:00:00,439.79,5445.0,12987.0,1896.0,0.0,164.0,2380.0,1687.0,13736.0
38082,2023-05-06 18:00:00,430.09,5442.0,13367.0,1896.0,0.0,42.0,2862.0,1720.0,12505.0
38083,2023-05-06 19:00:00,426.61,5295.0,13995.0,1895.0,0.0,4.0,2922.0,1713.0,12228.0
38084,2023-05-06 20:00:00,424.75,5071.0,13239.0,1893.0,0.0,4.0,2877.0,1731.0,11898.0
38085,2023-05-06 21:00:00,423.34,5420.0,11763.0,1894.0,0.0,4.0,3141.0,1788.0,11162.0
38086,2023-05-06 22:00:00,416.94,5455.0,10845.0,1893.0,0.0,4.0,3478.0,1803.0,10316.0
38087,2023-05-06 23:00:00,410.0,5450.0,9286.0,1895.0,0.0,4.0,3866.0,1774.0,9423.0
