Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass,unknown
42000,2023-10-17 00:00:00,486.18,8670.0,7883.0,1908.0,0.0,4.0,6647.0,1228.0,6806.0
42001,2023-10-17 01:00:00,491.89,8688.0,8362.0,1908.0,0.0,4.0,6485.0,1222.0,7310.0
42002,2023-10-17 02:00:00,500.87,8970.0,9365.0,1910.0,0.0,4.0,6164.0,1220.0,7657.0
42003,2023-10-17 03:00:00,500.11,8756.0,12328.0,1908.0,0.0,4.0,6312.0,1228.0,8383.0
42004,2023-10-17 04:00:00,498.68,8702.0,20414.0,1908.0,0.0,4.0,7356.0,1221.0,11062.0
42005,2023-10-17 05:00:00,492.14,8734.0,25847.0,1909.0,0.0,4.0,8740.0,1196.0,12647.0
42006,2023-10-17 06:00:00,488.73,8718.0,28251.0,1908.0,0.0,44.0,9812.0,1170.0,14178.0
42007,2023-10-17 07:00:00,499.32,8809.0,26671.0,1918.0,0.0,271.0,10507.0,1111.0,19491.0
42008,2023-10-17 08:00:00,520.58,8645.0,17867.0,1916.0,0.0,602.0,10501.0,1106.0,27261.0
42009,2023-10-17 09:00:00,537.56,8420.0,7172.0,1908.0,0.0,873.0,10747.0,1158.0,33309.0
42010,2023-10-17 10:00:00,538.2,7047.0,5290.0,1908.0,0.0,1062.0,11636.0,1114.0,38779.0
42011,2023-10-17 11:00:00,537.64,5816.0,5238.0,1908.0,0.0,1025.0,11659.0,1171.0,40748.0
42012,2023-10-17 12:00:00,532.29,5867.0,5284.0,1908.0,0.0,1007.0,11594.0,1188.0,38293.0
42013,2023-10-17 13:00:00,521.66,6975.0,5844.0,1909.0,0.0,820.0,11755.0,1217.0,32666.0
42014,2023-10-17 14:00:00,503.7,8138.0,9078.0,1912.0,0.0,533.0,12113.0,1110.0,25505.0
42015,2023-10-17 15:00:00,478.13,8551.0,14240.0,1912.0,0.0,206.0,12409.0,1070.0,17804.0
42016,2023-10-17 16:00:00,467.2,8820.0,18216.0,1912.0,0.0,15.0,13567.0,1066.0,16287.0
42017,2023-10-17 17:00:00,461.34,8849.0,17996.0,1911.0,0.0,4.0,14863.0,1066.0,17224.0
42018,2023-10-17 18:00:00,450.89,8849.0,16823.0,1911.0,0.0,4.0,15873.0,1102.0,16626.0
42019,2023-10-17 19:00:00,440.21,8797.0,11281.0,1908.0,0.0,4.0,16373.0,1090.0,16062.0
42020,2023-10-17 20:00:00,420.76,8345.0,6995.0,1908.0,0.0,4.0,16707.0,1113.0,14409.0
42021,2023-10-17 21:00:00,401.21,7147.0,5559.0,1908.0,0.0,4.0,16641.0,1131.0,13202.0
42022,2023-10-17 22:00:00,371.2,5438.0,4191.0,1908.0,0.0,4.0,16109.0,1108.0,11275.0
42023,2023-10-17 23:00:00,352.95,3708.0,4250.0,1909.0,0.0,4.0,15489.0,1097.0,10861.0
