UTC time,coal,nat_gas,oil,hydro,solar,wind,biomass
2024-01-03 00:00:00,8196.0,1776.0,369.0,260.0,0.0,4730.0,274.0
2024-01-03 01:00:00,8230.0,1775.0,368.0,244.0,0.0,4840.0,277.0
2024-01-03 02:00:00,8272.0,1733.0,369.0,243.0,0.0,4820.0,275.0
2024-01-03 03:00:00,8414.0,1803.0,368.0,283.0,0.0,4843.0,276.0
2024-01-03 04:00:00,8971.0,2139.0,367.0,288.0,0.0,4919.0,277.0
2024-01-03 05:00:00,10242.0,2224.0,369.0,315.0,0.0,4937.0,284.0
2024-01-03 06:00:00,11310.0,2263.0,370.0,329.0,55.0,4941.0,282.0
2024-01-03 07:00:00,11732.0,2264.0,367.0,331.0,615.0,4812.0,282.0
2024-01-03 08:00:00,11758.0,2247.0,359.0,329.0,822.0,4936.0,278.0
2024-01-03 09:00:00,11689.0,2242.0,359.0,328.0,1082.0,4983.0,277.0
2024-01-03 10:00:00,11740.0,2240.0,362.0,325.0,1297.0,4882.0,275.0
2024-01-03 11:00:00,11893.0,2257.0,359.0,323.0,1265.0,4456.0,275.0
2024-01-03 12:00:00,12148.0,2250.0,360.0,322.0,949.0,4125.0,275.0
2024-01-03 13:00:00,12198.0,2345.0,360.0,330.0,460.0,3735.0,277.0
2024-01-03 14:00:00,12374.0,2449.0,362.0,334.0,164.0,3558.0,276.0
2024-01-03 15:00:00,12520.0,2417.0,362.0,345.0,9.0,3739.0,276.0
2024-01-03 16:00:00,12483.0,2285.0,366.0,356.0,0.0,3828.0,275.0
2024-01-03 17:00:00,12276.0,2273.0,366.0,360.0,0.0,3850.0,276.0
2024-01-03 18:00:00,12034.0,2420.0,367.0,356.0,0.0,3728.0,276.0
2024-01-03 19:00:00,11512.0,2267.0,367.0,354.0,0.0,3504.0,276.0
2024-01-03 20:00:00,11001.0,2203.0,366.0,336.0,0.0,3476.0,276.0
2024-01-03 21:00:00,10602.0,2215.0,366.0,330.0,0.0,3304.0,266.0
2024-01-03 22:00:00,10318.0,2206.0,366.0,320.0,0.0,3170.0,265.0
2024-01-03 23:00:00,10019.0,2062.0,366.0,282.0,0.0,2956.0,267.0
