datetime,avg_coal_production_forecast
2023-06-27T00:00:00.000000000,2510.81495
2023-06-27T01:00:00.000000000,2452.00432
2023-06-27T02:00:00.000000000,2412.8511
2023-06-27T03:00:00.000000000,2365.02529
2023-06-27T04:00:00.000000000,2299.03496
2023-06-27T05:00:00.000000000,2208.87648
2023-06-27T06:00:00.000000000,2102.24296
2023-06-27T07:00:00.000000000,2036.40594
2023-06-27T08:00:00.000000000,1919.13333
2023-06-27T09:00:00.000000000,1950.1027
2023-06-27T10:00:00.000000000,1966.28213
2023-06-27T11:00:00.000000000,1970.74899
2023-06-27T12:00:00.000000000,1970.6952
2023-06-27T13:00:00.000000000,1995.03231
2023-06-27T14:00:00.000000000,2078.9946
2023-06-27T15:00:00.000000000,2134.68837
2023-06-27T16:00:00.000000000,2228.1114
2023-06-27T17:00:00.000000000,2292.08608
2023-06-27T18:00:00.000000000,2330.02512
2023-06-27T19:00:00.000000000,2414.9264
2023-06-27T20:00:00.000000000,2455.28842
2023-06-27T21:00:00.000000000,2525.00685
2023-06-27T22:00:00.000000000,2537.50976
2023-06-27T23:00:00.000000000,2481.04802
2023-06-28T00:00:00.000000000,2643.47921
2023-06-28T01:00:00.000000000,2571.25589
2023-06-28T02:00:00.000000000,2522.53351
2023-06-28T03:00:00.000000000,2461.46591
2023-06-28T04:00:00.000000000,2387.25825
2023-06-28T05:00:00.000000000,2287.11225
2023-06-28T06:00:00.000000000,2169.91226
2023-06-28T07:00:00.000000000,2104.10433
2023-06-28T08:00:00.000000000,1988.2426
2023-06-28T09:00:00.000000000,2020.59754
2023-06-28T10:00:00.000000000,2037.98919
2023-06-28T11:00:00.000000000,2052.88916
2023-06-28T12:00:00.000000000,2061.43327
2023-06-28T13:00:00.000000000,2093.45716
2023-06-28T14:00:00.000000000,2181.57654
2023-06-28T15:00:00.000000000,2238.66541
2023-06-28T16:00:00.000000000,2338.12021
2023-06-28T17:00:00.000000000,2405.76261
2023-06-28T18:00:00.000000000,2446.61069
2023-06-28T19:00:00.000000000,2534.02786
2023-06-28T20:00:00.000000000,2574.78303
2023-06-28T21:00:00.000000000,2649.48678
2023-06-28T22:00:00.000000000,2660.49385
2023-06-28T23:00:00.000000000,2600.47319
2023-06-29T00:00:00.000000000,2777.35545
2023-06-29T01:00:00.000000000,2694.66028
2023-06-29T02:00:00.000000000,2640.25232
2023-06-29T03:00:00.000000000,2569.86397
2023-06-29T04:00:00.000000000,2490.34238
2023-06-29T05:00:00.000000000,2382.0695
2023-06-29T06:00:00.000000000,2254.03115
2023-06-29T07:00:00.000000000,2184.7445
2023-06-29T08:00:00.000000000,2061.40613
2023-06-29T09:00:00.000000000,2091.2134
2023-06-29T10:00:00.000000000,2107.25469
2023-06-29T11:00:00.000000000,2122.83485
2023-06-29T12:00:00.000000000,2130.06246
2023-06-29T13:00:00.000000000,2160.68807
2023-06-29T14:00:00.000000000,2252.67638
2023-06-29T15:00:00.000000000,2309.09093
2023-06-29T16:00:00.000000000,2414.50366
2023-06-29T17:00:00.000000000,2487.34703
2023-06-29T18:00:00.000000000,2534.21025
2023-06-29T19:00:00.000000000,2629.46726
2023-06-29T20:00:00.000000000,2674.49161
2023-06-29T21:00:00.000000000,2758.21246
2023-06-29T22:00:00.000000000,2773.92392
2023-06-29T23:00:00.000000000,2712.63481
2023-06-30T00:00:00.000000000,2898.11656
2023-06-30T01:00:00.000000000,2806.32556
2023-06-30T02:00:00.000000000,2747.23131
2023-06-30T03:00:00.000000000,2668.88551
2023-06-30T04:00:00.000000000,2584.92481
2023-06-30T05:00:00.000000000,2469.55831
2023-06-30T06:00:00.000000000,2331.76912
2023-06-30T07:00:00.000000000,2259.03554
2023-06-30T08:00:00.000000000,2128.09499
2023-06-30T09:00:00.000000000,2155.20226
2023-06-30T10:00:00.000000000,2169.75602
2023-06-30T11:00:00.000000000,2184.93716
2023-06-30T12:00:00.000000000,2189.94889
2023-06-30T13:00:00.000000000,2218.35274
2023-06-30T14:00:00.000000000,2313.74202
2023-06-30T15:00:00.000000000,2369.28836
2023-06-30T16:00:00.000000000,2479.99912
2023-06-30T17:00:00.000000000,2557.63856
2023-06-30T18:00:00.000000000,2610.20398
2023-06-30T19:00:00.000000000,2713.02307
2023-06-30T20:00:00.000000000,2762.26991
2023-06-30T21:00:00.000000000,2854.52106
2023-06-30T22:00:00.000000000,2875.10634
2023-06-30T23:00:00.000000000,2812.92164
