UTC time,coal,nat_gas,nuclear,hydro,solar,wind,biomass
2023-11-26 00:00:00,3832.0,6191.0,3817.0,4871.0,0.0,10228.0,169.0
2023-11-26 01:00:00,3853.0,6183.0,3907.0,4892.0,0.0,8637.0,172.0
2023-11-26 02:00:00,3774.0,6240.0,3912.0,5425.0,0.0,5840.0,173.0
2023-11-26 03:00:00,3808.0,6339.0,3324.0,7872.0,0.0,3346.0,169.0
2023-11-26 04:00:00,3846.0,6241.0,3036.0,9851.0,0.0,2091.0,169.0
2023-11-26 05:00:00,3857.0,6217.0,2778.0,10599.0,0.0,1745.0,173.0
2023-11-26 06:00:00,3892.0,6203.0,2710.0,11072.0,47.0,2397.0,173.0
2023-11-26 07:00:00,4176.0,6257.0,2737.0,11260.0,268.0,1987.0,173.0
2023-11-26 08:00:00,4157.0,6194.0,2754.0,11467.0,553.0,1520.0,171.0
2023-11-26 09:00:00,3818.0,6057.0,2764.0,11312.0,786.0,1435.0,167.0
2023-11-26 10:00:00,3837.0,6101.0,2725.0,10837.0,928.0,1696.0,171.0
2023-11-26 11:00:00,3852.0,6176.0,2717.0,10039.0,929.0,1864.0,172.0
2023-11-26 12:00:00,3987.0,6228.0,2715.0,8035.0,770.0,2162.0,171.0
2023-11-26 13:00:00,4112.0,6421.0,2715.0,7505.0,441.0,2381.0,172.0
2023-11-26 14:00:00,4142.0,6609.0,2774.0,7915.0,95.0,2382.0,172.0
2023-11-26 15:00:00,4068.0,6615.0,3462.0,9578.0,8.0,2279.0,177.0
2023-11-26 16:00:00,4017.0,6626.0,4007.0,9932.0,0.0,2444.0,177.0
2023-11-26 17:00:00,4075.0,6634.0,4406.0,9081.0,0.0,2321.0,180.0
2023-11-26 18:00:00,4068.0,6645.0,4404.0,9016.0,0.0,2453.0,176.0
2023-11-26 19:00:00,4009.0,6646.0,4451.0,8561.0,0.0,2268.0,175.0
2023-11-26 20:00:00,4109.0,6657.0,4493.0,8610.0,0.0,2364.0,173.0
2023-11-26 21:00:00,3969.0,6661.0,4496.0,8041.0,0.0,2281.0,173.0
2023-11-26 22:00:00,4057.0,6629.0,4493.0,6889.0,0.0,2188.0,168.0
2023-11-26 23:00:00,4045.0,6370.0,4488.0,6420.0,0.0,1583.0,167.0
