Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass
41424,2023-09-23 00:00:00,177.26,2909.0,4570.0,5528.0,3995.0,0.0,4865.0,144.0
41425,2023-09-23 01:00:00,179.7,2917.0,4588.0,5528.0,4413.0,0.0,4193.0,144.0
41426,2023-09-23 02:00:00,190.9,3186.0,4603.0,5524.0,4597.0,0.0,3553.0,142.0
41427,2023-09-23 03:00:00,198.37,3390.0,4632.0,5523.0,4692.0,0.0,3250.0,141.0
41428,2023-09-23 04:00:00,196.64,3347.0,4615.0,5523.0,4784.0,53.0,3158.0,140.0
41429,2023-09-23 05:00:00,192.87,3406.0,4639.0,5524.0,5267.0,643.0,2701.0,141.0
41430,2023-09-23 06:00:00,182.45,3382.0,4683.0,5526.0,5229.0,1536.0,3093.0,136.0
41431,2023-09-23 07:00:00,179.28,3366.0,4566.0,5523.0,5224.0,2216.0,2660.0,138.0
41432,2023-09-23 08:00:00,178.2,3399.0,4509.0,5524.0,5400.0,2563.0,2324.0,139.0
41433,2023-09-23 09:00:00,175.37,3373.0,4436.0,5521.0,5274.0,2879.0,2353.0,141.0
41434,2023-09-23 10:00:00,172.98,3403.0,4404.0,5520.0,5220.0,2991.0,2694.0,139.0
41435,2023-09-23 11:00:00,172.31,3386.0,4337.0,5516.0,4936.0,2906.0,3022.0,144.0
41436,2023-09-23 12:00:00,170.01,3403.0,4310.0,5518.0,4746.0,2504.0,3970.0,142.0
41437,2023-09-23 13:00:00,160.32,3192.0,4326.0,5517.0,4998.0,1889.0,5049.0,144.0
41438,2023-09-23 14:00:00,155.37,3047.0,4373.0,5520.0,5503.0,1056.0,5674.0,145.0
41439,2023-09-23 15:00:00,168.49,3423.0,4580.0,5518.0,5322.0,259.0,6252.0,143.0
41440,2023-09-23 16:00:00,174.09,3484.0,4675.0,5518.0,5582.0,3.0,5747.0,136.0
41441,2023-09-23 17:00:00,175.9,3531.0,4934.0,5516.0,6124.0,0.0,5391.0,139.0
41442,2023-09-23 18:00:00,181.29,3481.0,4934.0,5518.0,5465.0,0.0,5126.0,139.0
41443,2023-09-23 19:00:00,189.27,3413.0,4673.0,5519.0,4546.0,0.0,4552.0,137.0
41444,2023-09-23 20:00:00,192.72,3407.0,4742.0,5520.0,4328.0,0.0,4408.0,135.0
41445,2023-09-23 21:00:00,196.42,3415.0,4760.0,5520.0,4294.0,0.0,4057.0,134.0
41446,2023-09-23 22:00:00,206.07,3596.0,4745.0,5517.0,3941.0,0.0,3847.0,136.0
41447,2023-09-23 23:00:00,209.69,3600.0,4761.0,5516.0,3842.0,0.0,3595.0,135.0
