Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass
35352,2023-01-13 00:00:00,229.37,285.0,56.0,698.0,0.0,152.0,0.0,0.0,16.0
35353,2023-01-13 01:00:00,229.35,284.0,59.0,698.0,0.0,153.0,0.0,0.0,18.0
35354,2023-01-13 02:00:00,230.38,284.0,63.0,698.0,0.0,152.0,0.0,0.0,16.0
35355,2023-01-13 03:00:00,229.14,284.0,58.0,698.0,0.0,153.0,0.0,0.0,17.0
35356,2023-01-13 04:00:00,226.11,285.0,61.0,698.0,0.0,178.0,0.0,0.0,17.0
35357,2023-01-13 05:00:00,193.38,288.0,66.0,698.0,0.0,437.0,0.0,0.0,16.0
35358,2023-01-13 06:00:00,172.42,289.0,73.0,697.0,0.0,670.0,0.0,0.0,16.0
35359,2023-01-13 07:00:00,169.63,288.0,73.0,698.0,0.0,691.0,8.0,0.0,16.0
35360,2023-01-13 08:00:00,169.91,288.0,77.0,698.0,0.0,681.0,26.0,0.0,16.0
35361,2023-01-13 09:00:00,185.33,285.0,71.0,698.0,0.0,475.0,40.0,0.0,16.0
35362,2023-01-13 10:00:00,198.42,286.0,70.0,698.0,0.0,350.0,49.0,0.0,16.0
35363,2023-01-13 11:00:00,198.49,287.0,68.0,698.0,0.0,347.0,52.0,0.0,16.0
35364,2023-01-13 12:00:00,211.26,334.0,70.0,698.0,0.0,415.0,38.0,0.0,15.0
35365,2023-01-13 13:00:00,227.14,417.0,71.0,698.0,0.0,551.0,21.0,0.0,15.0
35366,2023-01-13 14:00:00,249.22,512.0,74.0,698.0,0.0,633.0,8.0,0.0,15.0
35367,2023-01-13 15:00:00,250.98,524.0,69.0,698.0,0.0,649.0,1.0,0.0,16.0
35368,2023-01-13 16:00:00,256.72,561.0,69.0,698.0,0.0,691.0,0.0,0.0,18.0
35369,2023-01-13 17:00:00,242.94,507.0,70.0,698.0,0.0,678.0,0.0,0.0,18.0
35370,2023-01-13 18:00:00,249.55,503.0,67.0,698.0,0.0,607.0,0.0,0.0,17.0
35371,2023-01-13 19:00:00,238.53,446.0,69.0,698.0,0.0,552.0,0.0,0.0,18.0
35372,2023-01-13 20:00:00,221.89,377.0,71.0,698.0,0.0,496.0,0.0,0.0,17.0
35373,2023-01-13 21:00:00,205.82,290.0,64.0,698.0,0.0,338.0,0.0,0.0,18.0
35374,2023-01-13 22:00:00,214.8,285.0,60.0,698.0,0.0,250.0,0.0,0.0,17.0
35375,2023-01-13 23:00:00,232.61,282.0,57.0,698.0,0.0,126.0,0.0,0.0,17.0
