UTC Time,Biomass,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Onshore,Wind Offshore
2019-01-01 00:00:00+00:00,320.0,445.0,1472.0,656.0,284.0,22.0,0.0,543.0,
2019-01-01 01:00:00+00:00,320.0,438.0,1470.0,493.0,304.0,21.0,0.0,441.0,
2019-01-01 02:00:00+00:00,331.0,439.0,1470.0,422.0,295.0,25.0,0.0,367.0,
2019-01-01 03:00:00+00:00,339.0,439.0,1407.0,118.0,221.0,29.0,0.0,346.0,
2019-01-01 04:00:00+00:00,335.0,442.0,1289.0,116.0,131.0,31.0,0.0,413.0,
2019-01-01 05:00:00+00:00,336.0,447.0,1289.0,123.0,114.0,30.0,0.0,449.0,
2019-01-01 06:00:00+00:00,331.0,456.0,1433.0,222.0,116.0,29.0,0.0,404.0,
2019-01-01 07:00:00+00:00,324.0,566.0,1469.0,189.0,116.0,29.0,0.0,405.0,
2019-01-01 08:00:00+00:00,332.0,892.0,1456.0,196.0,116.0,31.0,53.0,373.0,
2019-01-01 09:00:00+00:00,326.0,1098.0,1432.0,221.0,185.0,28.0,196.0,341.0,
2019-01-01 10:00:00+00:00,330.0,1157.0,1430.0,221.0,179.0,28.0,303.0,304.0,
2019-01-01 11:00:00+00:00,334.0,1081.0,1381.0,228.0,185.0,29.0,348.0,223.0,
2019-01-01 12:00:00+00:00,335.0,1174.0,1427.0,624.0,129.0,31.0,358.0,149.0,
2019-01-01 13:00:00+00:00,340.0,1193.0,1471.0,459.0,105.0,32.0,351.0,97.0,
2019-01-01 14:00:00+00:00,339.0,1150.0,1329.0,250.0,66.0,31.0,310.0,82.0,
2019-01-01 15:00:00+00:00,330.0,1160.0,1315.0,240.0,67.0,30.0,235.0,104.0,
2019-01-01 16:00:00+00:00,333.0,1266.0,1470.0,257.0,148.0,32.0,87.0,164.0,
2019-01-01 17:00:00+00:00,334.0,1387.0,1490.0,444.0,304.0,32.0,1.0,253.0,
2019-01-01 18:00:00+00:00,334.0,1389.0,1624.0,734.0,479.0,31.0,0.0,272.0,
2019-01-01 19:00:00+00:00,337.0,1391.0,1717.0,848.0,771.0,31.0,0.0,285.0,
2019-01-01 20:00:00+00:00,340.0,1383.0,1748.0,855.0,876.0,32.0,0.0,308.0,
2019-01-01 21:00:00+00:00,337.0,1397.0,1661.0,714.0,407.0,31.0,0.0,398.0,
2019-01-01 22:00:00+00:00,333.0,1195.0,1636.0,379.0,149.0,31.0,0.0,449.0,
2019-01-01 23:00:00+00:00,335.0,952.0,1566.0,285.0,113.0,31.0,0.0,535.0,
2019-01-02 00:00:00+00:00,333.0,634.0,1366.0,112.0,113.0,32.0,0.0,785.0,
2019-01-02 01:00:00+00:00,331.0,649.0,1303.0,101.0,71.0,32.0,0.0,951.0,
2019-01-02 02:00:00+00:00,328.0,674.0,1140.0,113.0,63.0,31.0,0.0,976.0,
2019-01-02 03:00:00+00:00,328.0,679.0,1140.0,118.0,63.0,29.0,0.0,1074.0,
2019-01-02 04:00:00+00:00,322.0,735.0,1139.0,118.0,63.0,31.0,0.0,1071.0,
2019-01-02 05:00:00+00:00,314.0,815.0,1140.0,120.0,63.0,28.0,0.0,1106.0,
2019-01-02 06:00:00+00:00,320.0,948.0,1271.0,112.0,93.0,28.0,0.0,1047.0,
2019-01-02 07:00:00+00:00,323.0,1368.0,1604.0,377.0,233.0,28.0,0.0,866.0,
2019-01-02 08:00:00+00:00,318.0,1623.0,1740.0,692.0,338.0,24.0,56.0,697.0,
2019-01-02 09:00:00+00:00,316.0,1639.0,1756.0,957.0,420.0,21.0,198.0,574.0,
2019-01-02 10:00:00+00:00,319.0,1605.0,1757.0,786.0,370.0,20.0,297.0,529.0,
2019-01-02 11:00:00+00:00,320.0,1673.0,1757.0,613.0,287.0,20.0,352.0,445.0,
2019-01-02 12:00:00+00:00,325.0,1675.0,1757.0,581.0,192.0,20.0,370.0,436.0,
2019-01-02 13:00:00+00:00,324.0,1636.0,1756.0,490.0,113.0,21.0,362.0,452.0,
2019-01-02 14:00:00+00:00,322.0,1617.0,1756.0,383.0,113.0,22.0,326.0,514.0,
2019-01-02 15:00:00+00:00,325.0,1634.0,1756.0,583.0,113.0,22.0,239.0,555.0,
2019-01-02 16:00:00+00:00,328.0,1679.0,1756.0,827.0,193.0,22.0,89.0,675.0,
2019-01-02 17:00:00+00:00,322.0,1655.0,1756.0,1414.0,143.0,24.0,2.0,977.0,
2019-01-02 18:00:00+00:00,324.0,1608.0,1756.0,1376.0,181.0,24.0,0.0,1470.0,
2019-01-02 19:00:00+00:00,326.0,1636.0,1756.0,1217.0,204.0,24.0,0.0,1894.0,
2019-01-02 20:00:00+00:00,324.0,1644.0,1757.0,1166.0,204.0,24.0,0.0,2271.0,
2019-01-02 21:00:00+00:00,327.0,1619.0,1758.0,1031.0,140.0,24.0,0.0,2453.0,
2019-01-02 22:00:00+00:00,327.0,1601.0,1757.0,646.0,133.0,23.0,0.0,2619.0,
2019-01-02 23:00:00+00:00,326.0,1383.0,1757.0,378.0,113.0,23.0,0.0,2589.0,
2019-01-03 00:00:00+00:00,330.0,953.0,1587.0,227.0,66.0,24.0,0.0,2509.0,
2019-01-03 01:00:00+00:00,326.0,955.0,1268.0,140.0,63.0,23.0,0.0,2391.0,
2019-01-03 02:00:00+00:00,325.0,975.0,1179.0,99.0,63.0,23.0,0.0,2329.0,
2019-01-03 03:00:00+00:00,330.0,972.0,1233.0,101.0,63.0,23.0,0.0,2273.0,
2019-01-03 04:00:00+00:00,329.0,1046.0,1480.0,157.0,63.0,22.0,0.0,2155.0,
2019-01-03 05:00:00+00:00,329.0,1197.0,1709.0,216.0,73.0,21.0,0.0,2109.0,
2019-01-03 06:00:00+00:00,325.0,1734.0,1758.0,407.0,393.0,21.0,0.0,2233.0,
2019-01-03 07:00:00+00:00,321.0,2243.0,1758.0,827.0,421.0,23.0,0.0,2393.0,
2019-01-03 08:00:00+00:00,321.0,2595.0,1758.0,965.0,453.0,22.0,28.0,2509.0,
2019-01-03 09:00:00+00:00,325.0,2715.0,1757.0,1208.0,523.0,22.0,108.0,2466.0,
2019-01-03 10:00:00+00:00,332.0,2719.0,1710.0,1192.0,449.0,24.0,176.0,2246.0,
2019-01-03 11:00:00+00:00,332.0,2707.0,1672.0,1189.0,366.0,24.0,223.0,1789.0,
2019-01-03 12:00:00+00:00,336.0,2650.0,1710.0,1300.0,214.0,24.0,227.0,1277.0,
2019-01-03 13:00:00+00:00,335.0,2680.0,1734.0,1240.0,213.0,24.0,231.0,891.0,
2019-01-03 14:00:00+00:00,327.0,2601.0,1754.0,1186.0,208.0,24.0,216.0,638.0,
2019-01-03 15:00:00+00:00,331.0,2740.0,1757.0,1091.0,629.0,25.0,149.0,613.0,
2019-01-03 16:00:00+00:00,324.0,2702.0,1757.0,1371.0,735.0,24.0,54.0,803.0,
2019-01-03 17:00:00+00:00,331.0,2638.0,1757.0,1701.0,894.0,24.0,1.0,1167.0,
2019-01-03 18:00:00+00:00,332.0,3069.0,1759.0,1580.0,796.0,25.0,0.0,1514.0,
2019-01-03 19:00:00+00:00,333.0,3002.0,1758.0,1536.0,459.0,24.0,0.0,1846.0,
2019-01-03 20:00:00+00:00,336.0,3008.0,1758.0,1517.0,433.0,22.0,0.0,1979.0,
2019-01-03 21:00:00+00:00,330.0,2871.0,1758.0,1396.0,281.0,22.0,0.0,2013.0,
2019-01-03 22:00:00+00:00,333.0,2088.0,1758.0,1025.0,223.0,22.0,0.0,2168.0,
2019-01-03 23:00:00+00:00,335.0,1692.0,1752.0,939.0,204.0,22.0,0.0,2149.0,
2019-01-04 00:00:00+00:00,332.0,1336.0,1554.0,464.0,157.0,23.0,0.0,2274.0,
2019-01-04 01:00:00+00:00,326.0,1120.0,1393.0,291.0,85.0,23.0,0.0,2363.0,
2019-01-04 02:00:00+00:00,328.0,1154.0,1402.0,244.0,64.0,24.0,0.0,2228.0,
2019-01-04 03:00:00+00:00,326.0,1235.0,1455.0,286.0,112.0,24.0,0.0,1948.0,
2019-01-04 04:00:00+00:00,326.0,1175.0,1541.0,234.0,86.0,24.0,0.0,1794.0,
2019-01-04 05:00:00+00:00,328.0,1311.0,1545.0,190.0,114.0,23.0,0.0,1675.0,
2019-01-04 06:00:00+00:00,325.0,1769.0,1724.0,378.0,170.0,21.0,0.0,1490.0,
2019-01-04 07:00:00+00:00,323.0,2286.0,1756.0,521.0,177.0,20.0,0.0,1356.0,
2019-01-04 08:00:00+00:00,324.0,3015.0,1756.0,1115.0,199.0,23.0,39.0,1202.0,
2019-01-04 09:00:00+00:00,328.0,2968.0,1756.0,1212.0,248.0,23.0,160.0,1082.0,
2019-01-04 10:00:00+00:00,328.0,2954.0,1756.0,1244.0,394.0,23.0,258.0,1052.0,
2019-01-04 11:00:00+00:00,331.0,3000.0,1757.0,1442.0,210.0,24.0,312.0,908.0,
2019-01-04 12:00:00+00:00,333.0,2969.0,1755.0,1060.0,121.0,24.0,326.0,808.0,
2019-01-04 13:00:00+00:00,333.0,2814.0,1755.0,1111.0,138.0,24.0,317.0,780.0,
2019-01-04 14:00:00+00:00,332.0,3014.0,1756.0,1086.0,148.0,23.0,277.0,590.0,
2019-01-04 15:00:00+00:00,330.0,2982.0,1756.0,1017.0,160.0,24.0,182.0,553.0,
2019-01-04 16:00:00+00:00,327.0,2915.0,1756.0,1091.0,286.0,23.0,73.0,618.0,
2019-01-04 17:00:00+00:00,330.0,2872.0,1756.0,1386.0,562.0,26.0,2.0,791.0,
2019-01-04 18:00:00+00:00,339.0,2913.0,1755.0,1496.0,595.0,32.0,0.0,978.0,
2019-01-04 19:00:00+00:00,336.0,2863.0,1755.0,1370.0,482.0,33.0,0.0,1131.0,
2019-01-04 20:00:00+00:00,338.0,2668.0,1756.0,1223.0,402.0,32.0,0.0,1178.0,
2019-01-04 21:00:00+00:00,335.0,2609.0,1756.0,1319.0,222.0,31.0,0.0,1277.0,
2019-01-04 22:00:00+00:00,331.0,2182.0,1755.0,1194.0,221.0,31.0,0.0,1308.0,
2019-01-04 23:00:00+00:00,328.0,1857.0,1755.0,1086.0,210.0,31.0,0.0,1258.0,
2019-01-05 00:00:00+00:00,334.0,1342.0,1755.0,536.0,114.0,31.0,0.0,1153.0,
2019-01-05 01:00:00+00:00,334.0,1294.0,1755.0,294.0,113.0,33.0,0.0,1006.0,
2019-01-05 02:00:00+00:00,331.0,1210.0,1659.0,178.0,113.0,33.0,0.0,1037.0,
2019-01-05 03:00:00+00:00,335.0,1222.0,1632.0,186.0,113.0,32.0,0.0,979.0,
2019-01-05 04:00:00+00:00,338.0,1198.0,1638.0,251.0,113.0,33.0,0.0,1012.0,
2019-01-05 05:00:00+00:00,337.0,1185.0,1637.0,224.0,113.0,30.0,0.0,1177.0,
2019-01-05 06:00:00+00:00,336.0,1319.0,1630.0,317.0,113.0,29.0,0.0,1379.0,
2019-01-05 07:00:00+00:00,341.0,1501.0,1630.0,445.0,113.0,32.0,0.0,1537.0,
2019-01-05 08:00:00+00:00,336.0,1781.0,1630.0,743.0,224.0,32.0,54.0,1674.0,
2019-01-05 09:00:00+00:00,339.0,1787.0,1675.0,1030.0,262.0,31.0,207.0,1525.0,
2019-01-05 10:00:00+00:00,343.0,2007.0,1709.0,1036.0,261.0,31.0,314.0,1300.0,
2019-01-05 11:00:00+00:00,344.0,2059.0,1757.0,964.0,153.0,32.0,368.0,981.0,
