UTC time,nat_gas,hydro,wind,biomass,unknown
2023-09-24 00:00:00,150.0,0.0,22.0,12.0,9.0
2023-09-24 01:00:00,151.0,0.0,30.0,12.0,8.0
2023-09-24 02:00:00,151.0,0.0,30.0,12.0,9.0
2023-09-24 03:00:00,150.0,0.0,27.0,12.0,9.0
2023-09-24 04:00:00,156.0,0.0,23.0,16.0,13.0
2023-09-24 05:00:00,157.0,132.0,25.0,14.0,10.0
2023-09-24 06:00:00,155.0,198.0,26.0,18.0,15.0
2023-09-24 07:00:00,152.0,139.0,41.0,15.0,12.0
2023-09-24 08:00:00,151.0,22.0,65.0,15.0,12.0
2023-09-24 09:00:00,152.0,0.0,72.0,16.0,13.0
2023-09-24 10:00:00,151.0,0.0,28.0,16.0,13.0
2023-09-24 11:00:00,151.0,0.0,24.0,15.0,12.0
2023-09-24 12:00:00,151.0,0.0,49.0,16.0,13.0
2023-09-24 13:00:00,151.0,0.0,78.0,18.0,12.0
2023-09-24 14:00:00,151.0,0.0,74.0,19.0,11.0
2023-09-24 15:00:00,155.0,17.0,55.0,23.0,15.0
2023-09-24 16:00:00,155.0,202.0,37.0,23.0,15.0
2023-09-24 17:00:00,156.0,418.0,33.0,22.0,14.0
2023-09-24 18:00:00,156.0,260.0,29.0,20.0,14.0
2023-09-24 19:00:00,155.0,122.0,24.0,18.0,13.0
2023-09-24 20:00:00,149.0,7.0,19.0,16.0,13.0
2023-09-24 21:00:00,150.0,0.0,15.0,15.0,13.0
2023-09-24 22:00:00,151.0,0.0,9.0,15.0,13.0
2023-09-24 23:00:00,153.0,0.0,3.0,12.0,9.0
