Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
38880,2023-06-09 00:00:00,138.54,1.0,44.0,13.0,8.0,10.0
38881,2023-06-09 01:00:00,94.46,1.0,88.0,16.0,8.0,10.0
38882,2023-06-09 02:00:00,87.21,1.0,90.0,18.0,8.0,9.0
38883,2023-06-09 03:00:00,82.64,1.0,114.0,15.0,8.0,10.0
38884,2023-06-09 04:00:00,81.79,6.0,166.0,14.0,9.0,11.0
38885,2023-06-09 05:00:00,73.19,6.0,204.0,25.0,10.0,12.0
38886,2023-06-09 06:00:00,82.47,6.0,175.0,24.0,10.0,13.0
38887,2023-06-09 07:00:00,115.4,6.0,94.0,23.0,10.0,13.0
38888,2023-06-09 08:00:00,270.38,6.0,2.0,23.0,11.0,13.0
38889,2023-06-09 09:00:00,219.31,6.0,16.0,21.0,10.0,12.0
38890,2023-06-09 10:00:00,242.43,6.0,7.0,23.0,10.0,12.0
38891,2023-06-09 11:00:00,254.86,6.0,1.0,24.0,9.0,11.0
38892,2023-06-09 12:00:00,274.7,6.0,0.0,24.0,11.0,13.0
38893,2023-06-09 13:00:00,255.63,6.0,4.0,21.0,9.0,11.0
38894,2023-06-09 14:00:00,233.32,6.0,2.0,28.0,9.0,11.0
38895,2023-06-09 15:00:00,103.56,6.0,91.0,30.0,9.0,11.0
38896,2023-06-09 16:00:00,64.19,6.0,255.0,30.0,10.0,12.0
38897,2023-06-09 17:00:00,52.91,6.0,380.0,28.0,10.0,12.0
38898,2023-06-09 18:00:00,52.05,5.0,388.0,21.0,10.0,12.0
38899,2023-06-09 19:00:00,51.25,5.0,360.0,28.0,9.0,11.0
38900,2023-06-09 20:00:00,55.25,5.0,293.0,38.0,9.0,11.0
38901,2023-06-09 21:00:00,73.55,2.0,118.0,40.0,8.0,10.0
38902,2023-06-09 22:00:00,81.65,1.0,81.0,44.0,8.0,10.0
38903,2023-06-09 23:00:00,78.55,1.0,83.0,49.0,8.0,10.0
