UTC time,nat_gas,hydro,wind,biomass,unknown
2023-05-25 00:00:00,0.0,246.0,11.0,16.0,14.0
2023-05-25 01:00:00,0.0,246.0,15.0,17.0,15.0
2023-05-25 02:00:00,0.0,246.0,13.0,17.0,15.0
2023-05-25 03:00:00,0.0,246.0,14.0,18.0,16.0
2023-05-25 04:00:00,0.0,265.0,9.0,19.0,17.0
2023-05-25 05:00:00,0.0,367.0,4.0,19.0,17.0
2023-05-25 06:00:00,0.0,283.0,3.0,19.0,17.0
2023-05-25 07:00:00,0.0,301.0,3.0,19.0,18.0
2023-05-25 08:00:00,0.0,186.0,6.0,19.0,18.0
2023-05-25 09:00:00,0.0,188.0,11.0,19.0,17.0
2023-05-25 10:00:00,0.0,144.0,11.0,18.0,17.0
2023-05-25 11:00:00,0.0,140.0,6.0,18.0,16.0
2023-05-25 12:00:00,0.0,126.0,11.0,18.0,16.0
2023-05-25 13:00:00,0.0,125.0,11.0,18.0,16.0
2023-05-25 14:00:00,0.0,140.0,13.0,19.0,18.0
2023-05-25 15:00:00,0.0,143.0,8.0,19.0,17.0
2023-05-25 16:00:00,0.0,192.0,4.0,19.0,17.0
2023-05-25 17:00:00,0.0,277.0,5.0,19.0,17.0
2023-05-25 18:00:00,0.0,282.0,5.0,18.0,16.0
2023-05-25 19:00:00,0.0,282.0,3.0,18.0,15.0
2023-05-25 20:00:00,0.0,248.0,0.0,18.0,15.0
2023-05-25 21:00:00,0.0,247.0,0.0,18.0,15.0
2023-05-25 22:00:00,0.0,246.0,0.0,17.0,14.0
2023-05-25 23:00:00,0.0,246.0,0.0,17.0,14.0
