Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,wind,biomass,unknown
41568,2023-09-29 00:00:00,413.79,151.0,0.0,30.0,14.0,11.0
41569,2023-09-29 01:00:00,415.39,150.0,0.0,29.0,14.0,11.0
41570,2023-09-29 02:00:00,423.48,150.0,0.0,25.0,14.0,11.0
41571,2023-09-29 03:00:00,411.64,150.0,0.0,30.0,16.0,11.0
41572,2023-09-29 04:00:00,383.62,152.0,19.0,27.0,20.0,12.0
41573,2023-09-29 05:00:00,411.59,152.0,1.0,27.0,23.0,12.0
41574,2023-09-29 06:00:00,430.77,151.0,0.0,18.0,23.0,12.0
41575,2023-09-29 07:00:00,444.62,152.0,0.0,11.0,23.0,11.0
41576,2023-09-29 08:00:00,420.21,153.0,0.0,25.0,20.0,12.0
41577,2023-09-29 09:00:00,427.05,152.0,0.0,23.0,18.0,13.0
41578,2023-09-29 10:00:00,450.33,151.0,0.0,13.0,16.0,13.0
41579,2023-09-29 11:00:00,464.42,151.0,0.0,7.0,16.0,13.0
41580,2023-09-29 12:00:00,476.88,151.0,0.0,2.0,16.0,13.0
41581,2023-09-29 13:00:00,472.94,151.0,0.0,3.0,32.0,29.0
41582,2023-09-29 14:00:00,466.59,151.0,0.0,3.0,21.0,12.0
41583,2023-09-29 15:00:00,454.48,156.0,0.0,8.0,22.0,12.0
41584,2023-09-29 16:00:00,423.17,156.0,5.0,18.0,21.0,11.0
41585,2023-09-29 17:00:00,256.27,95.0,91.0,22.0,21.0,11.0
41586,2023-09-29 18:00:00,86.02,6.0,180.0,22.0,21.0,12.0
41587,2023-09-29 19:00:00,73.71,0.0,180.0,27.0,20.0,12.0
41588,2023-09-29 20:00:00,68.32,0.0,180.0,30.0,17.0,11.0
41589,2023-09-29 21:00:00,66.42,0.0,179.0,33.0,15.0,11.0
41590,2023-09-29 22:00:00,173.08,0.0,4.0,37.0,14.0,11.0
41591,2023-09-29 23:00:00,227.28,0.0,0.0,33.0,17.0,15.0
