Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,biomass,unknown
43680,2023-12-26 00:00:00,100.72,0.0,186.0,1561.0,0.0,86.0,324.0,22.0
43681,2023-12-26 01:00:00,99.63,0.0,184.0,1565.0,0.0,85.0,318.0,21.0
43682,2023-12-26 02:00:00,110.95,0.0,186.0,1287.0,0.0,93.0,322.0,21.0
43683,2023-12-26 03:00:00,107.41,0.0,185.0,1304.0,0.0,157.0,327.0,22.0
43684,2023-12-26 04:00:00,103.33,0.0,187.0,1418.0,0.0,150.0,323.0,22.0
43685,2023-12-26 05:00:00,89.42,0.0,191.0,1854.0,0.0,150.0,311.0,21.0
43686,2023-12-26 06:00:00,79.48,0.0,193.0,2282.0,0.0,189.0,310.0,22.0
43687,2023-12-26 07:00:00,79.84,0.0,219.0,2391.0,1.0,217.0,304.0,21.0
43688,2023-12-26 08:00:00,73.6,0.0,230.0,2817.0,128.0,209.0,304.0,21.0
43689,2023-12-26 09:00:00,74.5,0.0,238.0,2678.0,429.0,187.0,307.0,21.0
43690,2023-12-26 10:00:00,89.36,0.0,240.0,1622.0,780.0,149.0,308.0,21.0
43691,2023-12-26 11:00:00,102.23,0.0,326.0,1395.0,986.0,152.0,312.0,22.0
43692,2023-12-26 12:00:00,100.57,0.0,372.0,1605.0,1114.0,155.0,314.0,22.0
43693,2023-12-26 13:00:00,96.99,0.0,389.0,1873.0,1116.0,140.0,310.0,21.0
43694,2023-12-26 14:00:00,95.93,0.0,433.0,2291.0,979.0,133.0,318.0,21.0
43695,2023-12-26 15:00:00,139.33,0.0,805.0,2111.0,580.0,207.0,332.0,22.0
43696,2023-12-26 16:00:00,148.29,0.0,1169.0,3141.0,160.0,233.0,334.0,22.0
43697,2023-12-26 17:00:00,153.39,0.0,1308.0,3290.0,4.0,369.0,344.0,22.0
43698,2023-12-26 18:00:00,152.5,0.0,1341.0,3466.0,0.0,320.0,343.0,21.0
43699,2023-12-26 19:00:00,157.58,0.0,1509.0,3584.0,0.0,401.0,346.0,20.0
43700,2023-12-26 20:00:00,154.76,0.0,1512.0,3640.0,0.0,467.0,344.0,19.0
43701,2023-12-26 21:00:00,145.16,0.0,1272.0,3353.0,0.0,549.0,349.0,21.0
43702,2023-12-26 22:00:00,136.68,0.0,990.0,2784.0,0.0,645.0,349.0,22.0
43703,2023-12-26 23:00:00,104.76,0.0,585.0,2651.0,0.0,726.0,349.0,22.0
