,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
0,2019-01-01 00:00:00,526.19,664.0,494.0,0.0,154.0,1.0,71.0
1,2019-01-01 01:00:00,534.49,663.0,491.0,0.0,134.0,0.0,71.0
2,2019-01-01 02:00:00,565.65,746.0,490.0,0.0,87.0,1.0,70.0
3,2019-01-01 03:00:00,557.37,785.0,490.0,0.0,123.0,0.0,74.0
4,2019-01-01 04:00:00,545.5,824.0,488.0,0.0,171.0,0.0,74.0
5,2019-01-01 05:00:00,548.39,854.0,489.0,0.0,174.0,0.0,73.0
6,2019-01-01 06:00:00,529.89,736.0,486.0,0.0,179.0,0.0,71.0
7,2019-01-01 07:00:00,555.48,861.0,487.0,0.0,157.0,0.0,74.0
8,2019-01-01 08:00:00,580.04,857.0,484.0,0.0,90.0,0.0,72.0
9,2019-01-01 09:00:00,567.22,751.0,478.0,0.0,90.0,0.0,69.0
10,2019-01-01 10:00:00,565.0,740.0,480.0,0.0,91.0,0.0,71.0
11,2019-01-01 11:00:00,562.11,715.0,478.0,0.0,90.0,0.0,72.0
12,2019-01-01 12:00:00,549.7,638.0,478.0,0.0,91.0,0.0,69.0
13,2019-01-01 13:00:00,540.45,579.0,478.0,0.0,89.0,0.0,71.0
14,2019-01-01 14:00:00,533.38,545.0,480.0,0.0,90.0,0.0,70.0
15,2019-01-01 15:00:00,531.84,526.0,462.0,0.0,91.0,0.0,73.0
16,2019-01-01 16:00:00,540.02,487.0,362.0,0.0,89.0,0.0,71.0
17,2019-01-01 17:00:00,536.91,500.0,398.0,0.0,89.0,0.0,70.0
18,2019-01-01 18:00:00,537.95,504.0,419.0,0.0,83.0,0.0,84.0
19,2019-01-01 19:00:00,541.43,505.0,396.0,0.0,83.0,0.0,73.0
20,2019-01-01 20:00:00,530.7,505.0,463.0,0.0,83.0,1.0,72.0
21,2019-01-01 21:00:00,508.94,507.0,481.0,0.0,127.0,1.0,71.0
22,2019-01-01 22:00:00,519.12,607.0,476.0,0.0,153.0,0.0,75.0
23,2019-01-01 23:00:00,523.96,642.0,484.0,0.0,153.0,1.0,72.0
