UTC Time,Solar,Wind Offshore,Wind Onshore
2020-07-15 22:00:00+00:00,True,False,False
2020-07-15 23:00:00+00:00,True,False,False
2020-07-16 00:00:00+00:00,True,False,False
2020-07-16 01:00:00+00:00,True,False,False
2020-07-16 02:00:00+00:00,True,False,False
2020-07-16 03:00:00+00:00,True,False,False
2020-07-16 04:00:00+00:00,True,False,False
2020-07-16 05:00:00+00:00,True,False,False
2020-07-16 06:00:00+00:00,True,False,False
2020-07-16 07:00:00+00:00,True,False,False
2020-07-16 08:00:00+00:00,True,False,False
2020-07-16 09:00:00+00:00,True,False,False
2020-07-16 10:00:00+00:00,True,False,False
2020-07-16 11:00:00+00:00,True,False,False
2020-07-16 12:00:00+00:00,True,False,False
2020-07-16 13:00:00+00:00,True,False,False
2020-07-16 14:00:00+00:00,True,False,False
2020-07-16 15:00:00+00:00,True,False,False
2020-07-16 16:00:00+00:00,True,False,False
2020-07-16 17:00:00+00:00,True,False,False
2020-07-16 18:00:00+00:00,True,False,False
2020-07-16 19:00:00+00:00,True,False,False
2020-07-16 20:00:00+00:00,True,False,False
2020-07-16 21:00:00+00:00,True,False,False
2020-08-03 22:00:00+00:00,True,False,False
2020-08-03 23:00:00+00:00,True,False,False
2020-08-04 00:00:00+00:00,True,False,False
2020-08-04 01:00:00+00:00,True,False,False
2020-08-04 02:00:00+00:00,True,False,False
2020-08-04 03:00:00+00:00,True,False,False
2020-08-04 04:00:00+00:00,True,False,False
2020-08-04 05:00:00+00:00,True,False,False
2020-08-04 06:00:00+00:00,True,False,False
2020-08-04 07:00:00+00:00,True,False,False
2020-08-04 08:00:00+00:00,True,False,False
2020-08-04 09:00:00+00:00,True,False,False
2020-08-04 10:00:00+00:00,True,False,False
2020-08-04 11:00:00+00:00,True,False,False
2020-08-04 12:00:00+00:00,True,False,False
2020-08-04 13:00:00+00:00,True,False,False
2020-08-04 14:00:00+00:00,True,False,False
2020-08-04 15:00:00+00:00,True,False,False
2020-08-04 16:00:00+00:00,True,False,False
2020-08-04 17:00:00+00:00,True,False,False
2020-08-04 18:00:00+00:00,True,False,False
2020-08-04 19:00:00+00:00,True,False,False
2020-08-04 20:00:00+00:00,True,False,False
2020-08-04 21:00:00+00:00,True,False,False
2021-01-14 23:00:00+00:00,False,False,True
2021-01-15 00:00:00+00:00,False,False,True
2021-01-15 01:00:00+00:00,False,False,True
2021-01-15 02:00:00+00:00,False,False,True
2021-01-15 03:00:00+00:00,False,False,True
2021-01-15 04:00:00+00:00,False,False,True
2021-01-15 05:00:00+00:00,False,False,True
2021-01-15 06:00:00+00:00,False,False,True
2021-01-15 07:00:00+00:00,False,False,True
2021-01-15 08:00:00+00:00,False,False,True
2021-01-15 09:00:00+00:00,False,False,True
2021-01-15 10:00:00+00:00,False,False,True
2021-01-15 11:00:00+00:00,False,False,True
2021-01-15 12:00:00+00:00,False,False,True
2021-01-15 13:00:00+00:00,False,False,True
2021-01-15 14:00:00+00:00,False,False,True
2021-01-15 15:00:00+00:00,False,False,True
2021-01-15 16:00:00+00:00,False,False,True
2021-01-15 17:00:00+00:00,False,False,True
2021-01-15 18:00:00+00:00,False,False,True
2021-01-15 19:00:00+00:00,False,False,True
2021-01-15 20:00:00+00:00,False,False,True
2021-01-15 21:00:00+00:00,False,False,True
2021-01-15 22:00:00+00:00,False,False,True
2021-06-29 22:00:00+00:00,False,False,True
2021-06-29 23:00:00+00:00,False,False,True
2021-06-30 00:00:00+00:00,False,False,True
2021-06-30 01:00:00+00:00,False,False,True
2021-06-30 02:00:00+00:00,False,False,True
2021-06-30 03:00:00+00:00,False,False,True
2021-06-30 04:00:00+00:00,False,False,True
2021-06-30 05:00:00+00:00,False,False,True
2021-06-30 06:00:00+00:00,False,False,True
2021-06-30 07:00:00+00:00,False,False,True
2021-06-30 08:00:00+00:00,False,False,True
2021-06-30 09:00:00+00:00,False,False,True
2021-06-30 10:00:00+00:00,False,False,True
2021-06-30 11:00:00+00:00,False,False,True
2021-06-30 12:00:00+00:00,False,False,True
2021-06-30 13:00:00+00:00,False,False,True
2021-06-30 14:00:00+00:00,False,False,True
2021-06-30 15:00:00+00:00,False,False,True
2021-06-30 16:00:00+00:00,False,False,True
2021-06-30 17:00:00+00:00,False,False,True
2021-06-30 18:00:00+00:00,False,False,True
2021-06-30 19:00:00+00:00,False,False,True
2021-06-30 20:00:00+00:00,False,False,True
2021-06-30 21:00:00+00:00,False,False,True
2022-04-30 22:00:00+00:00,True,False,False
2022-04-30 23:00:00+00:00,True,False,False
2022-05-01 00:00:00+00:00,True,False,False
2022-05-01 01:00:00+00:00,True,False,False
2022-05-01 02:00:00+00:00,True,False,False
2022-05-01 03:00:00+00:00,True,False,False
2022-05-01 04:00:00+00:00,True,False,False
2022-05-01 05:00:00+00:00,True,False,False
2022-05-01 06:00:00+00:00,True,False,False
2022-05-01 07:00:00+00:00,True,False,False
2022-05-01 08:00:00+00:00,True,False,False
2022-05-01 09:00:00+00:00,True,False,False
2022-05-01 10:00:00+00:00,True,False,False
2022-05-01 11:00:00+00:00,True,False,False
2022-05-01 12:00:00+00:00,True,False,False
2022-05-01 13:00:00+00:00,True,False,False
2022-05-01 14:00:00+00:00,True,False,False
2022-05-01 15:00:00+00:00,True,False,False
2022-05-01 16:00:00+00:00,True,False,False
2022-05-01 17:00:00+00:00,True,False,False
2022-05-01 18:00:00+00:00,True,False,False
2022-05-01 19:00:00+00:00,True,False,False
2022-05-01 20:00:00+00:00,True,False,False
