datetime,avg_wind_production_forecast
2023-06-27T00:00:00.000000000,4055.50011
2023-06-27T01:00:00.000000000,4104.36999
2023-06-27T02:00:00.000000000,4250.09996
2023-06-27T03:00:00.000000000,4194.18999
2023-06-27T04:00:00.000000000,4226.60995
2023-06-27T05:00:00.000000000,4272.15005
2023-06-27T06:00:00.000000000,4312.39992
2023-06-27T07:00:00.000000000,4406.76007
2023-06-27T08:00:00.000000000,4367.38988
2023-06-27T09:00:00.000000000,4311.5499
2023-06-27T10:00:00.000000000,4189.36006
2023-06-27T11:00:00.000000000,3994.89011
2023-06-27T12:00:00.000000000,3730.68002
2023-06-27T13:00:00.000000000,3335.17011
2023-06-27T14:00:00.000000000,2753.97013
2023-06-27T15:00:00.000000000,2145.65005
2023-06-27T16:00:00.000000000,1692.71994
2023-06-27T17:00:00.000000000,1415.59006
2023-06-27T18:00:00.000000000,1301.36004
2023-06-27T19:00:00.000000000,1378.38006
2023-06-27T20:00:00.000000000,1670.57999
2023-06-27T21:00:00.000000000,2076.47001
2023-06-27T22:00:00.000000000,2514.57995
2023-06-27T23:00:00.000000000,2920.32004
2023-06-28T00:00:00.000000000,42.41238
2023-06-28T01:00:00.000000000,43.52849
2023-06-28T02:00:00.000000000,44.00419
2023-06-28T03:00:00.000000000,42.84051
2023-06-28T04:00:00.000000000,39.81621
2023-06-28T05:00:00.000000000,39.11591
2023-06-28T06:00:00.000000000,35.07926
2023-06-28T07:00:00.000000000,36.03618
2023-06-28T08:00:00.000000000,37.56311
2023-06-28T09:00:00.000000000,41.57307
2023-06-28T10:00:00.000000000,36.33715
2023-06-28T11:00:00.000000000,40.27051
2023-06-28T12:00:00.000000000,43.84047
2023-06-28T13:00:00.000000000,41.04993
2023-06-28T14:00:00.000000000,38.48875
2023-06-28T15:00:00.000000000,37.67743
2023-06-28T16:00:00.000000000,33.88015
2023-06-28T17:00:00.000000000,39.25361
2023-06-28T18:00:00.000000000,37.21056
2023-06-28T19:00:00.000000000,38.62457
2023-06-28T20:00:00.000000000,32.88932
2023-06-28T21:00:00.000000000,36.49
2023-06-28T22:00:00.000000000,34.90315
2023-06-28T23:00:00.000000000,30.83184
2023-06-29T00:00:00.000000000,42.41238
2023-06-29T01:00:00.000000000,43.52849
2023-06-29T02:00:00.000000000,44.00419
2023-06-29T03:00:00.000000000,42.84051
2023-06-29T04:00:00.000000000,39.81621
2023-06-29T05:00:00.000000000,39.11591
2023-06-29T06:00:00.000000000,35.07926
2023-06-29T07:00:00.000000000,36.03618
2023-06-29T08:00:00.000000000,37.56311
2023-06-29T09:00:00.000000000,41.57307
2023-06-29T10:00:00.000000000,36.33715
2023-06-29T11:00:00.000000000,40.27051
2023-06-29T12:00:00.000000000,43.84047
2023-06-29T13:00:00.000000000,41.04993
2023-06-29T14:00:00.000000000,38.48875
2023-06-29T15:00:00.000000000,37.67743
2023-06-29T16:00:00.000000000,33.88015
2023-06-29T17:00:00.000000000,39.25361
2023-06-29T18:00:00.000000000,37.21056
2023-06-29T19:00:00.000000000,38.62457
2023-06-29T20:00:00.000000000,32.88932
2023-06-29T21:00:00.000000000,36.49
2023-06-29T22:00:00.000000000,34.90315
2023-06-29T23:00:00.000000000,30.83184
2023-06-30T00:00:00.000000000,42.41238
2023-06-30T01:00:00.000000000,43.52849
2023-06-30T02:00:00.000000000,44.00419
2023-06-30T03:00:00.000000000,42.84051
2023-06-30T04:00:00.000000000,39.81621
2023-06-30T05:00:00.000000000,39.11591
2023-06-30T06:00:00.000000000,35.07926
2023-06-30T07:00:00.000000000,36.03618
2023-06-30T08:00:00.000000000,37.56311
2023-06-30T09:00:00.000000000,41.57307
2023-06-30T10:00:00.000000000,36.33715
2023-06-30T11:00:00.000000000,40.27051
2023-06-30T12:00:00.000000000,43.84047
2023-06-30T13:00:00.000000000,41.04993
2023-06-30T14:00:00.000000000,38.48875
2023-06-30T15:00:00.000000000,37.67743
2023-06-30T16:00:00.000000000,33.88015
2023-06-30T17:00:00.000000000,39.25361
2023-06-30T18:00:00.000000000,37.21056
2023-06-30T19:00:00.000000000,38.62457
2023-06-30T20:00:00.000000000,32.88932
2023-06-30T21:00:00.000000000,36.49
2023-06-30T22:00:00.000000000,34.90315
2023-06-30T23:00:00.000000000,30.83184
