,Wind Onshore
2019-01-01 02:00:00+02:00,255.0
2019-01-01 03:00:00+02:00,252.0
2019-01-01 04:00:00+02:00,246.0
2019-01-01 05:00:00+02:00,240.0
2019-01-01 06:00:00+02:00,239.0
2019-01-01 07:00:00+02:00,240.0
2019-01-01 08:00:00+02:00,238.0
2019-01-01 09:00:00+02:00,233.0
2019-01-01 10:00:00+02:00,219.0
2019-01-01 11:00:00+02:00,199.0
2019-01-01 12:00:00+02:00,183.0
2019-01-01 13:00:00+02:00,160.0
2019-01-01 14:00:00+02:00,137.0
2019-01-01 15:00:00+02:00,126.0
2019-01-01 16:00:00+02:00,120.0
2019-01-01 17:00:00+02:00,123.0
2019-01-01 18:00:00+02:00,122.0
2019-01-01 19:00:00+02:00,127.0
2019-01-01 20:00:00+02:00,137.0
2019-01-01 21:00:00+02:00,139.0
2019-01-01 22:00:00+02:00,144.0
2019-01-01 23:00:00+02:00,151.0
2019-01-02 00:00:00+02:00,155.0
2019-01-02 01:00:00+02:00,172.0
2019-01-02 02:00:00+02:00,178.0
2019-01-02 03:00:00+02:00,184.0
2019-01-02 04:00:00+02:00,192.0
2019-01-02 05:00:00+02:00,198.0
2019-01-02 06:00:00+02:00,200.0
2019-01-02 07:00:00+02:00,202.0
2019-01-02 08:00:00+02:00,202.0
2019-01-02 09:00:00+02:00,205.0
2019-01-02 10:00:00+02:00,212.0
2019-01-02 11:00:00+02:00,217.0
2019-01-02 12:00:00+02:00,223.0
2019-01-02 13:00:00+02:00,229.0
2019-01-02 14:00:00+02:00,234.0
2019-01-02 15:00:00+02:00,236.0
2019-01-02 16:00:00+02:00,235.0
2019-01-02 17:00:00+02:00,235.0
2019-01-02 18:00:00+02:00,235.0
2019-01-02 19:00:00+02:00,236.0
2019-01-02 20:00:00+02:00,236.0
2019-01-02 21:00:00+02:00,236.0
2019-01-02 22:00:00+02:00,236.0
2019-01-02 23:00:00+02:00,236.0
2019-01-03 00:00:00+02:00,237.0
2019-01-03 01:00:00+02:00,244.0
2019-01-03 02:00:00+02:00,242.0
2019-01-03 03:00:00+02:00,239.0
2019-01-03 04:00:00+02:00,237.0
2019-01-03 05:00:00+02:00,233.0
2019-01-03 06:00:00+02:00,229.0
2019-01-03 07:00:00+02:00,225.0
2019-01-03 08:00:00+02:00,222.0
2019-01-03 09:00:00+02:00,218.0
2019-01-03 10:00:00+02:00,211.0
2019-01-03 11:00:00+02:00,208.0
2019-01-03 12:00:00+02:00,199.0
2019-01-03 13:00:00+02:00,189.0
2019-01-03 14:00:00+02:00,178.0
2019-01-03 15:00:00+02:00,166.0
2019-01-03 16:00:00+02:00,150.0
2019-01-03 17:00:00+02:00,131.0
2019-01-03 18:00:00+02:00,108.0
2019-01-03 19:00:00+02:00,83.0
2019-01-03 20:00:00+02:00,61.0
2019-01-03 21:00:00+02:00,42.0
2019-01-03 22:00:00+02:00,27.0
2019-01-03 23:00:00+02:00,16.0
2019-01-04 00:00:00+02:00,9.0
2019-01-04 01:00:00+02:00,11.0
2019-01-04 02:00:00+02:00,25.0
2019-01-04 03:00:00+02:00,42.0
2019-01-04 04:00:00+02:00,60.0
2019-01-04 05:00:00+02:00,82.0
2019-01-04 06:00:00+02:00,109.0
2019-01-04 07:00:00+02:00,130.0
2019-01-04 08:00:00+02:00,134.0
2019-01-04 09:00:00+02:00,131.0
2019-01-04 10:00:00+02:00,123.0
2019-01-04 11:00:00+02:00,103.0
2019-01-04 12:00:00+02:00,87.0
2019-01-04 13:00:00+02:00,79.0
