Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass
38592,2023-05-28 00:00:00,2024-07-17 00:00:00,3.1,608.82,7271.0,702.0,201.0,210.0,0.0,2089.0,234.0
38593,2023-05-28 01:00:00,2024-07-17 00:00:00,3.1,602.04,7276.0,813.0,200.0,210.0,0.0,2192.0,235.0
38594,2023-05-28 02:00:00,2024-07-17 00:00:00,3.1,600.88,7247.0,788.0,201.0,245.0,47.0,2129.0,235.0
38595,2023-05-28 03:00:00,2024-07-17 00:00:00,3.1,582.73,7094.0,772.0,199.0,249.0,472.0,2010.0,235.0
38596,2023-05-28 04:00:00,2024-07-17 00:00:00,3.1,542.53,6797.0,759.0,198.0,252.0,1430.0,1790.0,236.0
38597,2023-05-28 05:00:00,2024-07-17 00:00:00,3.1,499.57,6534.0,654.0,198.0,219.0,3323.0,910.0,215.0
38598,2023-05-28 06:00:00,2024-07-17 00:00:00,3.1,447.49,6396.0,653.0,200.0,220.0,5499.0,245.0,172.0
38599,2023-05-28 07:00:00,2024-07-17 00:00:00,3.1,393.33,5995.0,636.0,201.0,223.0,7090.0,240.0,166.0
38600,2023-05-28 08:00:00,2024-07-17 00:00:00,3.1,357.82,5613.0,646.0,199.0,221.0,8176.0,245.0,167.0
38601,2023-05-28 09:00:00,2024-07-17 00:00:00,3.1,346.07,5570.0,651.0,199.0,220.0,8669.0,280.0,166.0
38602,2023-05-28 10:00:00,2024-07-17 00:00:00,3.1,344.39,5604.0,665.0,197.0,216.0,8789.0,308.0,167.0
38603,2023-05-28 11:00:00,2024-07-17 00:00:00,3.1,347.77,5607.0,672.0,197.0,215.0,8647.0,284.0,166.0
38604,2023-05-28 12:00:00,2024-07-17 00:00:00,3.1,352.81,5526.0,649.0,196.0,212.0,8252.0,289.0,166.0
38605,2023-05-28 13:00:00,2024-07-17 00:00:00,3.1,378.9,5714.0,683.0,195.0,215.0,7324.0,279.0,166.0
38606,2023-05-28 14:00:00,2024-07-17 00:00:00,3.1,428.32,6116.0,760.0,193.0,218.0,5862.0,275.0,178.0
38607,2023-05-28 15:00:00,2024-07-17 00:00:00,3.1,511.78,7106.0,960.0,193.0,257.0,3999.0,279.0,228.0
38608,2023-05-28 16:00:00,2024-07-17 00:00:00,3.1,617.26,8391.0,1038.0,193.0,276.0,2012.0,278.0,237.0
38609,2023-05-28 17:00:00,2024-07-17 00:00:00,3.1,694.11,9377.0,1044.0,194.0,283.0,752.0,251.0,236.0
38610,2023-05-28 18:00:00,2024-07-17 00:00:00,3.1,720.49,9684.0,1086.0,196.0,288.0,193.0,357.0,235.0
38611,2023-05-28 19:00:00,2024-07-17 00:00:00,3.1,718.51,9559.0,1126.0,195.0,281.0,2.0,548.0,236.0
38612,2023-05-28 20:00:00,2024-07-17 00:00:00,3.1,713.16,9164.0,1100.0,195.0,277.0,0.0,593.0,236.0
38613,2023-05-28 21:00:00,2024-07-17 00:00:00,3.1,709.68,8384.0,921.0,195.0,256.0,0.0,603.0,238.0
38614,2023-05-28 22:00:00,2024-07-17 00:00:00,3.1,720.57,8973.0,1075.0,193.0,203.0,0.0,525.0,238.0
38615,2023-05-28 23:00:00,2024-07-17 00:00:00,3.1,726.02,9425.0,1129.0,194.0,195.0,0.0,491.0,235.0
