Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass
38352,2023-05-18 00:00:00,683.76,11141.0,1091.0,254.0,254.0,0.0,1649.0,46.0
38353,2023-05-18 01:00:00,690.82,11178.0,1091.0,258.0,254.0,0.0,1506.0,46.0
38354,2023-05-18 02:00:00,690.23,11128.0,1086.0,260.0,254.0,14.0,1497.0,46.0
38355,2023-05-18 03:00:00,687.44,11178.0,1095.0,263.0,254.0,277.0,1313.0,46.0
38356,2023-05-18 04:00:00,679.13,12347.0,1205.0,264.0,255.0,949.0,1069.0,46.0
38357,2023-05-18 05:00:00,656.65,13023.0,1208.0,258.0,255.0,2104.0,707.0,46.0
38358,2023-05-18 06:00:00,608.02,12587.0,1224.0,254.0,255.0,3522.0,645.0,46.0
38359,2023-05-18 07:00:00,559.66,11397.0,1058.0,251.0,255.0,4609.0,715.0,46.0
38360,2023-05-18 08:00:00,529.16,10838.0,955.0,251.0,265.0,5506.0,640.0,46.0
38361,2023-05-18 09:00:00,524.27,10900.0,985.0,250.0,266.0,5827.0,549.0,46.0
38362,2023-05-18 10:00:00,534.19,11392.0,1002.0,249.0,261.0,5702.0,581.0,46.0
38363,2023-05-18 11:00:00,537.45,11466.0,1033.0,248.0,258.0,5461.0,727.0,46.0
38364,2023-05-18 12:00:00,537.93,11366.0,929.0,246.0,257.0,5185.0,924.0,46.0
38365,2023-05-18 13:00:00,551.87,11698.0,943.0,246.0,272.0,4646.0,1089.0,46.0
38366,2023-05-18 14:00:00,580.32,11939.0,1042.0,246.0,275.0,3615.0,1195.0,46.0
38367,2023-05-18 15:00:00,621.02,12402.0,1079.0,244.0,290.0,2423.0,1224.0,46.0
38368,2023-05-18 16:00:00,661.24,13078.0,1213.0,245.0,292.0,1323.0,1299.0,46.0
38369,2023-05-18 17:00:00,692.48,13484.0,1196.0,245.0,298.0,543.0,1313.0,46.0
38370,2023-05-18 18:00:00,703.51,13286.0,1174.0,249.0,285.0,109.0,1439.0,46.0
38371,2023-05-18 19:00:00,691.28,12624.0,1063.0,250.0,278.0,0.0,1755.0,46.0
38372,2023-05-18 20:00:00,678.6,11522.0,934.0,249.0,255.0,0.0,1885.0,46.0
38373,2023-05-18 21:00:00,670.45,10878.0,842.0,251.0,253.0,0.0,1950.0,46.0
38374,2023-05-18 22:00:00,669.21,10794.0,972.0,251.0,251.0,0.0,1924.0,46.0
38375,2023-05-18 23:00:00,675.3,10829.0,883.0,254.0,251.0,0.0,1826.0,46.0
