Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass
40728,2023-08-25 00:00:00,2024-07-17 00:00:00,3.1,579.37,10308.0,996.0,243.0,134.0,0.0,2361.0,286.0
40729,2023-08-25 01:00:00,2024-07-17 00:00:00,3.1,575.08,10261.0,1002.0,242.0,136.0,0.0,2451.0,284.0
40730,2023-08-25 02:00:00,2024-07-17 00:00:00,3.1,582.34,10470.0,1021.0,241.0,136.0,0.0,2330.0,283.0
40731,2023-08-25 03:00:00,2024-07-17 00:00:00,3.1,587.91,10431.0,997.0,245.0,127.0,23.0,2169.0,289.0
40732,2023-08-25 04:00:00,2024-07-17 00:00:00,3.1,598.25,11915.0,1110.0,243.0,123.0,379.0,1929.0,289.0
40733,2023-08-25 05:00:00,2024-07-17 00:00:00,3.1,575.79,12671.0,1199.0,245.0,163.0,1388.0,1702.0,300.0
40734,2023-08-25 06:00:00,2024-07-17 00:00:00,3.1,545.11,13071.0,1400.0,243.0,174.0,2804.0,1363.0,300.0
40735,2023-08-25 07:00:00,2024-07-17 00:00:00,3.1,532.27,13347.0,1437.0,242.0,144.0,3912.0,868.0,291.0
40736,2023-08-25 08:00:00,2024-07-17 00:00:00,3.1,499.43,13136.0,1413.0,222.0,121.0,5261.0,783.0,281.0
40737,2023-08-25 09:00:00,2024-07-17 00:00:00,3.1,472.06,12610.0,1388.0,219.0,118.0,6254.0,712.0,277.0
40738,2023-08-25 10:00:00,2024-07-17 00:00:00,3.1,460.76,12355.0,1231.0,221.0,118.0,6603.0,760.0,274.0
40739,2023-08-25 11:00:00,2024-07-17 00:00:00,3.1,452.99,12231.0,1181.0,221.0,118.0,6725.0,932.0,275.0
40740,2023-08-25 12:00:00,2024-07-17 00:00:00,3.1,448.37,11638.0,1046.0,221.0,118.0,6539.0,942.0,286.0
40741,2023-08-25 13:00:00,2024-07-17 00:00:00,3.1,476.69,11986.0,1068.0,221.0,118.0,5533.0,915.0,286.0
40742,2023-08-25 14:00:00,2024-07-17 00:00:00,3.1,517.19,12816.0,1308.0,222.0,128.0,4244.0,940.0,285.0
40743,2023-08-25 15:00:00,2024-07-17 00:00:00,3.1,578.33,13554.0,1447.0,220.0,170.0,2438.0,776.0,287.0
40744,2023-08-25 16:00:00,2024-07-17 00:00:00,3.1,642.53,14894.0,1559.0,219.0,190.0,873.0,631.0,287.0
40745,2023-08-25 17:00:00,2024-07-17 00:00:00,3.1,662.27,15534.0,1562.0,222.0,191.0,242.0,798.0,286.0
40746,2023-08-25 18:00:00,2024-07-17 00:00:00,3.1,650.43,14577.0,1566.0,225.0,183.0,18.0,1210.0,285.0
40747,2023-08-25 19:00:00,2024-07-17 00:00:00,3.1,634.54,13294.0,1573.0,224.0,178.0,0.0,1428.0,286.0
40748,2023-08-25 20:00:00,2024-07-17 00:00:00,3.1,617.21,11658.0,1501.0,222.0,134.0,0.0,1600.0,286.0
40749,2023-08-25 21:00:00,2024-07-17 00:00:00,3.1,615.56,11245.0,1454.0,222.0,114.0,0.0,1579.0,290.0
40750,2023-08-25 22:00:00,2024-07-17 00:00:00,3.1,605.9,10460.0,1364.0,219.0,113.0,0.0,1642.0,302.0
40751,2023-08-25 23:00:00,2024-07-17 00:00:00,3.1,610.15,9912.0,1258.0,219.0,126.0,0.0,1461.0,279.0
