UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast
2023-02-07 00:00:00,2024-07-17 00:00:00,3.1,2.0685647337529587,269.65697807884754,267.36391060064847,0.0,0.1323106723876185,14049.79153,1806.85306,297.29639,255.8777,76.26319,1192.99994,266.07947
2023-02-07 01:00:00,2024-07-17 00:00:00,3.1,2.1714884790137385,268.4614510114181,266.49354454043765,0.0,0.0222078038324218,14117.09512,1780.19232,298.464,247.05872,58.10596,1313.00006,262.67012
2023-02-07 02:00:00,2024-07-17 00:00:00,3.1,2.1714884790137385,268.4614510114181,266.49354454043765,0.0,0.0222078038324218,14157.41713,1747.36051,297.33064,242.30841,0.0,1358.99998,265.25067
2023-02-07 03:00:00,2024-07-17 00:00:00,3.1,2.1714884790137385,268.4614510114181,266.49354454043765,0.0,0.0222078038324218,14362.90076,1759.69892,298.98851,239.94784,0.0,1337.99996,265.57687
2023-02-07 04:00:00,2024-07-17 00:00:00,3.1,2.4381667426057554,267.8894827020296,265.9844962345104,0.0018940876069863,0.0286332173513544,14899.14535,1779.19288,302.0085,250.50871,0.0,1270.0,265.58784
2023-02-07 05:00:00,2024-07-17 00:00:00,3.1,2.4381667426057554,267.8894827020296,265.9844962345104,0.0018940876069863,0.0286332173513544,15388.21221,1762.63132,299.45291,255.1204,174.45559,1158.00005,265.867
2023-02-07 06:00:00,2024-07-17 00:00:00,3.1,2.4381667426057554,267.8894827020296,265.9844962345104,0.0018940876069863,0.0286332173513544,15549.26895,1769.57217,299.72058,253.35577,473.03856,1001.00003,261.53323
2023-02-07 07:00:00,2024-07-17 00:00:00,3.1,3.476041994455783,270.8077032592184,267.44550790807705,120.31433847316497,0.0005945247690343,15721.50158,1779.30397,300.44336,254.19397,783.01055,813.00001,260.54763
2023-02-07 08:00:00,2024-07-17 00:00:00,3.1,3.476041994455783,270.8077032592184,267.44550790807705,120.31433847316497,0.0005945247690343,15990.57003,1802.7129,297.90188,251.04856,1131.42135,631.00002,257.48389
2023-02-07 09:00:00,2024-07-17 00:00:00,3.1,3.476041994455783,270.8077032592184,267.44550790807705,120.31433847316497,0.0005945247690343,16094.56938,1816.29955,302.24074,255.84524,1402.20854,505.0,257.83422
