UTC time,avg_coal_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_other_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2021-07-01 00:00:00,43134.33189,1653.57205,53700.33023,30517.09788,1551.51105,2572.16029,237.72912,1534.89769
2021-07-01 01:00:00,41779.29352,885.71991,50555.83947,30501.63276,1341.3785,2322.97735,102.37471,1182.66495
2021-07-01 02:00:00,39929.85461,583.11751,46967.70791,30532.07816,1154.49455,1859.29978,70.06801,1027.31813
2021-07-01 03:00:00,37388.72389,570.93758,43600.66807,30553.61725,997.38333,1441.532,0,1067.6405
2021-07-01 04:00:00,34694.91684,701.37932,38838.31083,30548.15577,820.19707,1214.37984,0,1118.85602
2021-07-01 05:00:00,32425.34304,729.39608,36753.27969,30570.11998,701.78031,1095.34814,0,1084.42819
2021-07-01 06:00:00,30575.1592,539.30273,34254.51071,30568.02017,559.37569,1132.52215,0,989.72501
2021-07-01 07:00:00,30678.36325,557.86486,33447.60078,30567.3298,401.3095,1185.97003,18.89424,1010.16407
2021-07-01 08:00:00,29889.4246,643.3205,33310.99605,30565.87996,288.8906,1091.21175,0,949.23199
2021-07-01 09:00:00,29978.9254,654.04589,34278.89524,30557.592,291.04706,1108.38894,0,1002.21101
2021-07-01 10:00:00,30580.76847,599.05139,35593.38712,30565.72011,347.21834,1107.20885,0,993.29599
2021-07-01 11:00:00,31955.29917,538.69091,38368.6202,30616.62893,402.60679,1230.74178,208.99391,1041.87772
2021-07-01 12:00:00,33099.18421,546.79931,39782.49993,30592.12693,444.50651,1268.55655,692.44396,949.59078
2021-07-01 13:00:00,34092.48296,875.89122,42805.97752,30578.88516,450.68597,1451.22018,1143.82413,974.87599
2021-07-01 14:00:00,36323.18885,1210.6133,46717.14355,30596.5309,464.04932,1653.97844,1394.94747,1040.10007
2021-07-01 15:00:00,38840.88766,1734.53849,49825.00146,30658.90198,418.03387,1827.46608,1521.60386,1068.17538
2021-07-01 16:00:00,39340.42574,2632.81499,53710.73425,30609.49979,412.61896,1907.48437,1685.30629,1371.43133
2021-07-01 17:00:00,40186.41456,3671.00203,55060.38172,30562.18979,515.84092,1953.17141,1790.67172,1524.40211
2021-07-01 18:00:00,41221.67542,4570.75596,57434.78345,30578.20475,563.57022,1957.10572,1829.2578,1798.50088
2021-07-01 19:00:00,41612.06624,5075.94496,57551.11173,30565.11289,676.41376,1943.36228,1711.73732,1910.51317
2021-07-01 20:00:00,40209.45414,4960.48922,57523.6823,30601.54325,780.6954,2077.04086,1483.00689,2030.29556
2021-07-01 21:00:00,42208.70636,4397.18277,57901.77453,30627.39321,875.14937,2187.43295,1176.20287,2425.52179
2021-07-01 22:00:00,41310.26081,3466.94257,56322.81554,30594.54293,961.95054,2193.42636,745.4585,2421.16641
2021-07-01 23:00:00,40931.18429,2694.39085,54714.32967,30633.48007,919.18915,2155.93871,328.22301,2355.98936
2021-07-02 00:00:00,37033.82655,1902.98376,49345.42937,30510.07472,219.54512,1730.18019,79.26786,2027.98927
2021-07-02 01:00:00,37533.13578,1136.45521,46556.15429,30535.28408,197.45635,1617.74827,21.65764,1987.31084
2021-07-02 02:00:00,36442.66492,588.64958,44840.56526,30636.68013,216.20702,1571.228,0,1918.90293
2021-07-02 03:00:00,34866.58343,434.73713,42321.34264,30592.68848,217.56294,1482.19341,0,1919.6767
2021-07-02 04:00:00,33948.87673,479.48727,39730.6733,30594.15998,228.12794,1264.47476,0,1827.74788
2021-07-02 05:00:00,30620.82969,517.66259,37900.77568,30586.04593,251.36309,1086.19587,0,1875.86201
2021-07-02 06:00:00,29142.57183,434.72516,36740.46362,30627.15606,251.51297,978.69704,0,1771.05691
2021-07-02 07:00:00,28005.62949,517.57007,36556.86542,30598.83564,242.34163,858.29422,0,1717.91633
2021-07-02 08:00:00,26664.88752,775.85108,36873.24594,30586.00611,277.07678,832.49344,99.04106,1798.36257
2021-07-02 09:00:00,26082.38968,850.10401,37330.54903,30676.61037,298.26864,865.52331,175.74535,1783.04476
2021-07-02 10:00:00,26649.99096,754.27031,38446.40805,30664.63867,269.29084,946.1058,187.48807,1736.18906
2021-07-02 11:00:00,28346.97071,573.17009,39851.63042,30667.43822,334.94016,1031.61441,282.29962,1621.0162
2021-07-02 12:00:00,30043.27089,404.19973,40430.16003,30707.28999,274.84902,1202.15947,568.33192,1705.8238
2021-07-02 13:00:00,31715.10933,640.04027,41741.8059,30652.22371,276.52773,1288.2044,860.57416,1623.27573
2021-07-02 14:00:00,33579.61527,967.14368,43205.73485,30609.99166,256.20842,1417.53088,1230.52492,1580.72944
2021-07-02 15:00:00,35690.52515,1456.88268,45023.1726,30636.64617,279.93126,1495.81685,1407.5586,1616.48957
2021-07-02 16:00:00,37057.116,2198.83756,46151.89832,30669.16092,272.5451,1694.53606,1535.30578,1564.91447
2021-07-02 17:00:00,36765.63706,2874.03077,46473.9347,30647.13289,276.34548,1800.85457,1512.14151,1475.15881
2021-07-02 18:00:00,37050.14528,3772.69466,47285.10099,30619.1802,264.68671,1848.49304,1341.536,1587.16778
2021-07-02 19:00:00,36936.11734,4416.84636,47989.70293,30580.19622,291.56661,1852.06522,1174.3396,1608.42186
2021-07-02 20:00:00,35894.15898,4674.49286,47473.15444,30665.94446,293.14608,1913.18011,1128.51925,1650.51629
2021-07-02 21:00:00,36297.17416,4470.1694,47586.87539,30570.11178,306.00017,1885.32688,954.87498,1733.78551
2021-07-02 22:00:00,36295.4414,3842.98403,47568.90974,30573.27729,300.81696,1837.52966,626.29613,1768.23499
2021-07-02 23:00:00,36461.82799,3012.93699,45927.19033,30575.69388,310.87003,1697.44306,272.90389,1762.04391
2021-07-03 00:00:00,32578.60552,2221.89846,44359.13802,30516.85546,219.54512,1525.89064,89.18707,1675.60109
2021-07-03 01:00:00,33085.79855,1382.02504,41524.33406,30542.07418,197.45635,1440.58136,29.82018,1624.86977
2021-07-03 02:00:00,32249.41695,732.66159,39741.14603,30643.57739,216.20702,1421.66269,0,1578.69843
2021-07-03 03:00:00,31092.2747,473.22214,37261.40588,30599.57286,217.56294,1365.43605,0,1604.76691
2021-07-03 04:00:00,30392.67339,438.88127,34695.42485,30601.05607,228.12794,1194.31903,0,1529.73905
2021-07-03 05:00:00,27856.64519,480.74982,33007.86012,30592.91919,251.36309,1072.85871,0,1606.37769
2021-07-03 06:00:00,26696.9762,412.38472,31873.5997,30634.04396,251.51297,990.9935,0,1523.84543
2021-07-03 07:00:00,25944.92983,483.46283,31780.26006,30605.70831,242.34163,904.55063,0,1504.39358
2021-07-03 08:00:00,24917.36362,731.0411,32259.53563,30592.88815,277.07678,899.57691,114.44514,1624.94909
2021-07-03 09:00:00,24478.19527,803.6744,33056.91668,30683.51173,298.26864,942.64041,208.89044,1625.90819
2021-07-03 10:00:00,24919.54124,700.44822,34532.84804,30671.59801,269.29084,1027.54342,231.48273,1610.80973
2021-07-03 11:00:00,26243.59668,493.73771,36362.8849,30674.34778,334.94016,1105.69083,357.68986,1523.24823
2021-07-03 12:00:00,27569.23192,258.02071,37583.76049,30714.22005,274.84902,1251.724,726.04421,1638.91945
2021-07-03 13:00:00,28814.83812,398.96495,39096.72611,30659.09873,276.52773,1311.8913,1103.75047,1570.38865
2021-07-03 14:00:00,30193.61665,636.14195,40799.1049,30616.83681,256.20842,1404.68982,1566.19988,1565.99647
