,UTC time,Local time,net_generation,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_wind_production_forecast
0,01/01/2020 00:00:00,2019-12-31 19:00:00,84589,349.51,13695,35193,28879,206,3697,0,2209,710,4.64861847166366,276.707855632411,272.263110159391,177.964563891053,0.000370912084871,11825.646,2898.3586,35485.12,33391.984,197.38805,7010.1416
1,01/01/2020 01:00:00,2019-12-31 20:00:00,81433,346.39,12995,33634,28882,208,2691,0,2310,713,4.56311002644715,276.919473984901,272.321928261034,0,0,11790.291,2524.8687,34569.016,33379.945,199.47221,6735.409
2,01/01/2020 02:00:00,2019-12-31 21:00:00,78851,345.41,12459,32597,28801,212,1753,0,2320,709,4.56311002644715,276.919473984901,272.321928261034,0,0,11818.4375,1801.1403,33505.04,33498.832,196.83212,6641.3784
3,01/01/2020 03:00:00,2019-12-31 22:00:00,76049,342.86,11961,31081,28780,211,964,0,2330,722,4.56311002644715,276.919473984901,272.321928261034,0,0,11345.075,1322.946,32183.008,33440.355,212.58795,6682.2456
4,01/01/2020 04:00:00,2019-12-31 23:00:00,73771,333.82,10988,29768,29015,214,933,0,2144,709,4.3839921980041,276.775478403831,272.238443892558,0,0,10283.92,1086.0695,30567.688,33507.055,205.82419,6726.148
5,01/01/2020 05:00:00,2020-01-01 00:00:00,71786,333.74,11757,27375,28811,212,696,0,2397,538,4.3839921980041,276.775478403831,272.238443892558,0,0,9796.852,1065.0635,28677.219,33429.277,212.67365,6619.0835
6,01/01/2020 06:00:00,2020-01-01 01:00:00,83346,317.71,12177,32353,33093,214,489,0,4964,57,4.3839921980041,276.775478403831,272.238443892558,0,0,9494.497,967.15686,28365.832,33391.383,216.74353,6642.8506
7,01/01/2020 07:00:00,2020-01-01 02:00:00,82507,320.74,13080,30802,33083,213,503,0,4762,64,4.18724888923061,276.706208445506,272.386835094524,0,0.006618037791381,9734.394,687.06445,28529.414,33357.207,217.86768,6570.6094
8,01/01/2020 08:00:00,2020-01-01 03:00:00,80794,319.17,12638,30171,33070,219,492,0,4141,62,4.18724888923061,276.706208445506,272.386835094524,0,0.006618037791381,9286.615,582.5428,28947.416,33460.78,219.68924,6540.5063
9,01/01/2020 09:00:00,2020-01-01 04:00:00,80390,316.14,12382,29844,32942,221,581,0,4369,53,4.18724888923061,276.706208445506,272.386835094524,0,0.006618037791381,10353.041,692.1917,29977.457,33496.266,221.72034,6313.6914
10,01/01/2020 10:00:00,2020-01-01 05:00:00,81409,320.26,13113,29946,32945,221,1020,0,4111,54,4.05199224691753,276.817332607096,272.764668463416,0,0.154519239094363,10394.822,1234.4521,31346.154,33398.277,216.98009,6067.2344
11,01/01/2020 11:00:00,2020-01-01 06:00:00,81785,318.39,12283,31291,32956,218,1136,0,3861,39,4.05199224691753,276.817332607096,272.764668463416,0,0.154519239094363,11424.237,2000.6064,32960.117,33490.355,210.22038,6029.6616
