,UTC time,Local time,net_generation,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_wind_production_forecast
0,01/01/2020 00:00:00,2019-12-31 19:00:00,84589,349.51,13695,35193,28879,206,3697,0,2209,710,4.64861847166366,276.707855632411,272.263110159391,177.964563891053,0.000370912084871,7010.1416
1,01/01/2020 01:00:00,2019-12-31 20:00:00,81433,346.39,12995,33634,28882,208,2691,0,2310,713,4.56311002644715,276.919473984901,272.321928261034,0,0,6735.409
2,01/01/2020 02:00:00,2019-12-31 21:00:00,78851,345.41,12459,32597,28801,212,1753,0,2320,709,4.56311002644715,276.919473984901,272.321928261034,0,0,6641.3784
3,01/01/2020 03:00:00,2019-12-31 22:00:00,76049,342.86,11961,31081,28780,211,964,0,2330,722,4.56311002644715,276.919473984901,272.321928261034,0,0,6682.2456
4,01/01/2020 04:00:00,2019-12-31 23:00:00,73771,333.82,10988,29768,29015,214,933,0,2144,709,4.3839921980041,276.775478403831,272.238443892558,0,0,6726.148
5,01/01/2020 05:00:00,2020-01-01 00:00:00,71786,333.74,11757,27375,28811,212,696,0,2397,538,4.3839921980041,276.775478403831,272.238443892558,0,0,6619.0835
6,01/01/2020 06:00:00,2020-01-01 01:00:00,83346,317.71,12177,32353,33093,214,489,0,4964,57,4.3839921980041,276.775478403831,272.238443892558,0,0,6642.8506
7,01/01/2020 07:00:00,2020-01-01 02:00:00,82507,320.74,13080,30802,33083,213,503,0,4762,64,4.18724888923061,276.706208445506,272.386835094524,0,0.006618037791381,6570.6094
8,01/01/2020 08:00:00,2020-01-01 03:00:00,80794,319.17,12638,30171,33070,219,492,0,4141,62,4.18724888923061,276.706208445506,272.386835094524,0,0.006618037791381,6540.5063
9,01/01/2020 09:00:00,2020-01-01 04:00:00,80390,316.14,12382,29844,32942,221,581,0,4369,53,4.18724888923061,276.706208445506,272.386835094524,0,0.006618037791381,6313.6914
10,01/01/2020 10:00:00,2020-01-01 05:00:00,81409,320.26,13113,29946,32945,221,1020,0,4111,54,4.05199224691753,276.817332607096,272.764668463416,0,0.154519239094363,6067.2344
11,01/01/2020 11:00:00,2020-01-01 06:00:00,81785,318.39,12283,31291,32956,218,1136,0,3861,39,4.05199224691753,276.817332607096,272.764668463416,0,0.154519239094363,6029.6616
12,01/01/2020 12:00:00,2020-01-01 07:00:00,83015,320.8,12272,32508,32961,217,1502,0,3515,40,4.05199224691753,276.817332607096,272.764668463416,0,0.154519239094363,5796.0454
13,01/01/2020 13:00:00,2020-01-01 08:00:00,83966,319.73,12094,33202,32960,215,1782,0,3653,60,4.76653513885226,279.363219612735,274.481247916933,74.4179208416327,0.391826771420285,5649.8545
14,01/01/2020 14:00:00,2020-01-01 09:00:00,85119,315.46,11992,33347,32968,214,1810,368,4369,50,4.76653513885226,279.363219612735,274.481247916933,74.4179208416327,0.391826771420285,5485.1704
15,01/01/2020 15:00:00,2020-01-01 10:00:00,85154,309.86,11843,32583,33026,213,1847,835,4751,57,4.76653513885226,279.363219612735,274.481247916933,74.4179208416327,0.391826771420285,5316.8374
