UTC time,wind,hydro,solar,other,nuclear,nat_gas,coal
2023-03-03T00,22213,25,1781,251,5090,15250,5274
2023-03-03T01,22163,53,355,97,5090,15600,5487
2023-03-03T02,21644,123,0,114,5089,15040,5487
2023-03-03T03,19041,45,0,187,5090,15879,5604
2023-03-03T04,19212,26,0,117,5090,13935,5801
2023-03-03T05,20655,10,0,196,5091,10840,5234
2023-03-03T06,19000,6,0,89,5090,9465,5635
2023-03-03T07,19408,6,0,40,5091,7849,4658
2023-03-03T08,18298,6,0,42,5093,7704,4406
2023-03-03T09,18164,6,0,51,5094,7549,4111
2023-03-03T10,19078,6,0,90,5095,6711,3960
2023-03-03T11,19133,6,0,54,5096,7509,3827
2023-03-03T12,20005,6,0,112,5098,8500,3793
2023-03-03T13,20055,6,2,198,5098,11447,3992
2023-03-03T14,19116,6,1392,181,5098,12461,4029
2023-03-03T15,15308,23,7330,87,5098,10928,3759
2023-03-03T16,13131,26,10134,58,5099,10629,3460
2023-03-03T17,12293,26,10392,93,5099,10844,3376
2023-03-03T18,9307,25,11123,56,5100,12503,3668
2023-03-03T19,6263,25,11281,45,5100,14103,4402
2023-03-03T20,4564,25,11595,46,5100,15052,4953
2023-03-03T21,4124,25,11729,27,5100,15655,4989
2023-03-03T22,4315,26,11693,36,5099,15930,5002
2023-03-03T23,5206,26,11061,41,5099,16308,5001
