UTC time,wind,hydro,solar,other,nuclear,nat_gas,coal
2023-03-01T00,15817,70,2342,156,5090,20057,5860
2023-03-01T01,14419,70,252,284,5090,22427,6498
2023-03-01T02,15766,163,0,153,5091,21302,6449
2023-03-01T03,17299,43,0,69,5091,19346,5899
2023-03-01T04,17775,8,0,63,5091,17444,5662
2023-03-01T05,18199,5,0,90,5091,15052,5302
2023-03-01T06,19046,5,0,56,5092,12291,4965
2023-03-01T07,18845,5,0,71,5091,10990,4201
2023-03-01T08,17430,5,0,64,5091,11266,4114
2023-03-01T09,14788,5,0,105,5091,12043,4805
2023-03-01T10,12604,5,0,90,5091,13107,5311
2023-03-01T11,10849,5,0,89,5091,14973,5543
2023-03-01T12,10004,5,0,96,5091,17383,5451
2023-03-01T13,10632,7,0,119,5092,19387,5777
2023-03-01T14,12801,52,180,250,5091,17901,6093
2023-03-01T15,13306,60,1101,176,5091,17861,5707
2023-03-01T16,12897,23,2197,88,5091,18668,5667
2023-03-01T17,11377,32,3386,47,5090,19983,5792
2023-03-01T18,8451,23,5058,66,5090,21911,6247
2023-03-01T19,6805,23,5879,75,5095,23440,6510
2023-03-01T20,5770,24,6067,202,5093,24652,6964
2023-03-01T21,5293,25,4754,212,5087,26550,7163
2023-03-01T22,5734,25,4258,69,5085,27013,7114
2023-03-01T23,7113,30,3118,100,5085,26991,7160
