Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass
38112,2023-05-08 00:00:00,2024-07-17 00:00:00,3.1,48.93,23.0,28.0,693.0,0.0,308.0,0.0,2.0,18.0
38113,2023-05-08 01:00:00,2024-07-17 00:00:00,3.1,49.07,23.0,28.0,693.0,0.0,302.0,0.0,2.0,18.0
38114,2023-05-08 02:00:00,2024-07-17 00:00:00,3.1,48.38,23.0,28.0,693.0,0.0,332.0,0.0,2.0,18.0
38115,2023-05-08 03:00:00,2024-07-17 00:00:00,3.1,44.3,23.0,29.0,693.0,0.0,574.0,0.0,2.0,18.0
38116,2023-05-08 04:00:00,2024-07-17 00:00:00,3.1,42.96,23.0,30.0,693.0,0.0,693.0,4.0,2.0,18.0
38117,2023-05-08 05:00:00,2024-07-17 00:00:00,3.1,42.24,23.0,33.0,693.0,0.0,828.0,18.0,1.0,18.0
38118,2023-05-08 06:00:00,2024-07-17 00:00:00,3.1,41.81,23.0,31.0,693.0,0.0,818.0,32.0,2.0,18.0
38119,2023-05-08 07:00:00,2024-07-17 00:00:00,3.1,41.92,23.0,29.0,693.0,0.0,771.0,46.0,2.0,19.0
38120,2023-05-08 08:00:00,2024-07-17 00:00:00,3.1,42.18,23.0,28.0,692.0,0.0,729.0,61.0,1.0,19.0
38121,2023-05-08 09:00:00,2024-07-17 00:00:00,3.1,41.19,23.0,26.0,692.0,0.0,756.0,73.0,2.0,18.0
38122,2023-05-08 10:00:00,2024-07-17 00:00:00,3.1,42.02,23.0,26.0,692.0,0.0,684.0,80.0,2.0,18.0
38123,2023-05-08 11:00:00,2024-07-17 00:00:00,3.1,42.44,23.0,26.0,692.0,0.0,659.0,78.0,2.0,19.0
38124,2023-05-08 12:00:00,2024-07-17 00:00:00,3.1,43.43,23.0,27.0,692.0,0.0,596.0,77.0,2.0,18.0
38125,2023-05-08 13:00:00,2024-07-17 00:00:00,3.1,43.13,23.0,25.0,692.0,0.0,581.0,68.0,2.0,19.0
38126,2023-05-08 14:00:00,2024-07-17 00:00:00,3.1,41.57,23.0,25.0,693.0,0.0,693.0,56.0,1.0,18.0
38127,2023-05-08 15:00:00,2024-07-17 00:00:00,3.1,40.66,23.0,25.0,693.0,0.0,768.0,36.0,2.0,18.0
38128,2023-05-08 16:00:00,2024-07-17 00:00:00,3.1,41.48,23.0,27.0,693.0,0.0,743.0,18.0,2.0,18.0
38129,2023-05-08 17:00:00,2024-07-17 00:00:00,3.1,41.08,23.0,28.0,693.0,0.0,802.0,5.0,2.0,18.0
38130,2023-05-08 18:00:00,2024-07-17 00:00:00,3.1,41.57,23.0,30.0,694.0,0.0,806.0,0.0,2.0,18.0
38131,2023-05-08 19:00:00,2024-07-17 00:00:00,3.1,41.39,23.0,28.0,694.0,0.0,782.0,0.0,2.0,19.0
38132,2023-05-08 20:00:00,2024-07-17 00:00:00,3.1,43.01,24.0,28.0,694.0,0.0,681.0,0.0,2.0,18.0
38133,2023-05-08 21:00:00,2024-07-17 00:00:00,3.1,44.68,24.0,28.0,694.0,0.0,564.0,0.0,2.0,18.0
38134,2023-05-08 22:00:00,2024-07-17 00:00:00,3.1,43.19,24.0,26.0,694.0,0.0,621.0,0.0,2.0,18.0
38135,2023-05-08 23:00:00,2024-07-17 00:00:00,3.1,47.15,24.0,28.0,694.0,0.0,422.0,0.0,2.0,18.0
