Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass
38880,2023-06-09 00:00:00,2024-07-17 00:00:00,3.1,158.17,387.0,31.0,693.0,0.0,804.0,0.0,0.0,17.0
38881,2023-06-09 01:00:00,2024-07-17 00:00:00,3.1,131.43,301.0,30.0,693.0,0.0,784.0,0.0,0.0,17.0
38882,2023-06-09 02:00:00,2024-07-17 00:00:00,3.1,129.76,296.0,31.0,693.0,0.0,784.0,0.0,0.0,18.0
38883,2023-06-09 03:00:00,2024-07-17 00:00:00,3.1,156.18,382.0,30.0,693.0,0.0,805.0,2.0,0.0,18.0
38884,2023-06-09 04:00:00,2024-07-17 00:00:00,3.1,183.91,503.0,31.0,693.0,0.0,877.0,19.0,0.0,18.0
38885,2023-06-09 05:00:00,2024-07-17 00:00:00,3.1,182.13,515.0,32.0,693.0,0.0,914.0,42.0,0.0,18.0
38886,2023-06-09 06:00:00,2024-07-17 00:00:00,3.1,177.98,513.0,31.0,693.0,0.0,918.0,82.0,0.0,18.0
38887,2023-06-09 07:00:00,2024-07-17 00:00:00,3.1,167.15,482.0,30.0,693.0,0.0,906.0,129.0,0.0,18.0
38888,2023-06-09 08:00:00,2024-07-17 00:00:00,3.1,132.02,342.0,29.0,693.0,0.0,798.0,170.0,0.0,18.0
38889,2023-06-09 09:00:00,2024-07-17 00:00:00,3.1,120.94,300.0,29.0,693.0,0.0,757.0,177.0,0.0,18.0
38890,2023-06-09 10:00:00,2024-07-17 00:00:00,3.1,120.21,294.0,29.0,693.0,0.0,751.0,163.0,0.0,18.0
38891,2023-06-09 11:00:00,2024-07-17 00:00:00,3.1,107.62,247.0,29.0,693.0,0.0,697.0,160.0,0.0,18.0
38892,2023-06-09 12:00:00,2024-07-17 00:00:00,3.1,102.56,224.0,28.0,693.0,0.0,662.0,136.0,0.0,18.0
38893,2023-06-09 13:00:00,2024-07-17 00:00:00,3.1,105.53,225.0,27.0,693.0,0.0,627.0,125.0,0.0,18.0
38894,2023-06-09 14:00:00,2024-07-17 00:00:00,3.1,126.86,288.0,28.0,693.0,0.0,679.0,101.0,0.0,18.0
38895,2023-06-09 15:00:00,2024-07-17 00:00:00,3.1,158.74,381.0,27.0,692.0,0.0,691.0,75.0,0.0,21.0
38896,2023-06-09 16:00:00,2024-07-17 00:00:00,3.1,151.48,383.0,28.0,693.0,0.0,819.0,49.0,0.0,18.0
38897,2023-06-09 17:00:00,2024-07-17 00:00:00,3.1,178.86,496.0,35.0,693.0,0.0,919.0,19.0,0.0,18.0
38898,2023-06-09 18:00:00,2024-07-17 00:00:00,3.1,187.15,522.0,34.0,693.0,0.0,919.0,1.0,0.0,18.0
38899,2023-06-09 19:00:00,2024-07-17 00:00:00,3.1,188.72,523.0,29.0,692.0,0.0,901.0,0.0,0.0,18.0
38900,2023-06-09 20:00:00,2024-07-17 00:00:00,3.1,193.96,520.0,28.0,692.0,0.0,833.0,0.0,0.0,18.0
38901,2023-06-09 21:00:00,2024-07-17 00:00:00,3.1,168.89,415.0,29.0,693.0,0.0,776.0,0.0,0.0,18.0
38902,2023-06-09 22:00:00,2024-07-17 00:00:00,3.1,138.74,314.0,30.0,692.0,0.0,747.0,0.0,0.0,17.0
38903,2023-06-09 23:00:00,2024-07-17 00:00:00,3.1,113.76,243.0,30.0,692.0,0.0,739.0,0.0,0.0,17.0
