UTC time,coal,nat_gas,oil,solar,wind,biomass
2023-10-18 00:00:00,192.0,113.0,25.0,0.0,1585.0,372.0
2023-10-18 01:00:00,195.0,115.0,26.0,0.0,1357.0,399.0
2023-10-18 02:00:00,224.0,128.0,29.0,0.0,1069.0,374.0
2023-10-18 03:00:00,291.0,146.0,35.0,0.0,728.0,446.0
2023-10-18 04:00:00,350.0,230.0,40.0,0.0,530.0,624.0
2023-10-18 05:00:00,354.0,299.0,42.0,1.0,454.0,847.0
2023-10-18 06:00:00,355.0,299.0,42.0,78.0,444.0,849.0
2023-10-18 07:00:00,378.0,296.0,42.0,340.0,443.0,717.0
2023-10-18 08:00:00,426.0,234.0,41.0,718.0,374.0,737.0
2023-10-18 09:00:00,376.0,259.0,45.0,1015.0,349.0,717.0
2023-10-18 10:00:00,288.0,218.0,41.0,1109.0,355.0,576.0
2023-10-18 11:00:00,280.0,211.0,41.0,1172.0,319.0,549.0
2023-10-18 12:00:00,290.0,225.0,43.0,1103.0,372.0,525.0
2023-10-18 13:00:00,276.0,208.0,40.0,896.0,536.0,613.0
2023-10-18 14:00:00,291.0,213.0,40.0,463.0,783.0,745.0
2023-10-18 15:00:00,308.0,226.0,43.0,124.0,1030.0,756.0
2023-10-18 16:00:00,310.0,224.0,43.0,13.0,1675.0,656.0
2023-10-18 17:00:00,282.0,158.0,38.0,11.0,2220.0,533.0
2023-10-18 18:00:00,275.0,152.0,36.0,12.0,2773.0,417.0
2023-10-18 19:00:00,255.0,150.0,36.0,11.0,3341.0,343.0
2023-10-18 20:00:00,216.0,116.0,29.0,11.0,3916.0,132.0
2023-10-18 21:00:00,186.0,96.0,23.0,11.0,4171.0,110.0
2023-10-18 22:00:00,175.0,89.0,21.0,12.0,4404.0,92.0
2023-10-18 23:00:00,171.0,86.0,20.0,12.0,4576.0,81.0
