Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,solar,wind,biomass
41328,2023-09-19 00:00:00,2024-07-17 00:00:00,3.1,34.54,123.0,84.0,24.0,0.0,3446.0,211.0
41329,2023-09-19 01:00:00,2024-07-17 00:00:00,3.1,38.02,123.0,83.0,24.0,0.0,3057.0,236.0
41330,2023-09-19 02:00:00,2024-07-17 00:00:00,3.1,38.59,124.0,83.0,25.0,0.0,3036.0,233.0
41331,2023-09-19 03:00:00,2024-07-17 00:00:00,3.1,35.03,124.0,82.0,24.0,0.0,3366.0,239.0
41332,2023-09-19 04:00:00,2024-07-17 00:00:00,3.1,31.41,127.0,85.0,25.0,0.0,3891.0,269.0
41333,2023-09-19 05:00:00,2024-07-17 00:00:00,3.1,29.65,129.0,87.0,26.0,54.0,4226.0,227.0
41334,2023-09-19 06:00:00,2024-07-17 00:00:00,3.1,28.46,139.0,85.0,25.0,266.0,4426.0,233.0
41335,2023-09-19 07:00:00,2024-07-17 00:00:00,3.1,28.74,146.0,85.0,25.0,483.0,4269.0,300.0
41336,2023-09-19 08:00:00,2024-07-17 00:00:00,3.1,33.93,169.0,83.0,25.0,476.0,3982.0,255.0
41337,2023-09-19 09:00:00,2024-07-17 00:00:00,3.1,30.47,122.0,83.0,24.0,615.0,3290.0,237.0
41338,2023-09-19 10:00:00,2024-07-17 00:00:00,3.1,38.04,119.0,82.0,24.0,586.0,2360.0,260.0
41339,2023-09-19 11:00:00,2024-07-17 00:00:00,3.1,45.96,121.0,82.0,24.0,415.0,1933.0,298.0
41340,2023-09-19 12:00:00,2024-07-17 00:00:00,3.1,48.22,122.0,83.0,24.0,303.0,1941.0,289.0
41341,2023-09-19 13:00:00,2024-07-17 00:00:00,3.1,49.32,123.0,84.0,24.0,211.0,2000.0,281.0
41342,2023-09-19 14:00:00,2024-07-17 00:00:00,3.1,38.96,125.0,85.0,24.0,149.0,2859.0,254.0
41343,2023-09-19 15:00:00,2024-07-17 00:00:00,3.1,30.33,127.0,86.0,25.0,60.0,4027.0,241.0
41344,2023-09-19 16:00:00,2024-07-17 00:00:00,3.1,28.2,129.0,90.0,25.0,18.0,4533.0,222.0
41345,2023-09-19 17:00:00,2024-07-17 00:00:00,3.1,27.19,127.0,89.0,25.0,1.0,4696.0,197.0
41346,2023-09-19 18:00:00,2024-07-17 00:00:00,3.1,28.31,121.0,86.0,24.0,0.0,4251.0,234.0
41347,2023-09-19 19:00:00,2024-07-17 00:00:00,3.1,28.49,108.0,79.0,21.0,0.0,3731.0,267.0
41348,2023-09-19 20:00:00,2024-07-17 00:00:00,3.1,32.74,111.0,78.0,22.0,0.0,3254.0,266.0
41349,2023-09-19 21:00:00,2024-07-17 00:00:00,3.1,35.87,112.0,79.0,22.0,0.0,3010.0,214.0
41350,2023-09-19 22:00:00,2024-07-17 00:00:00,3.1,35.65,106.0,73.0,21.0,0.0,2834.0,223.0
41351,2023-09-19 23:00:00,2024-07-17 00:00:00,3.1,39.85,100.0,73.0,20.0,0.0,2363.0,233.0
